model,metric,split,size,value
MLP,mae,test,0.1,3.607132975260417
MLP,rmse,test,0.1,5.013487608930646
MLP,mae,cross,0.1,12.14743050268651
MLP,rmse,cross,0.1,13.513243434103478
IDW,mae,test,0.1,3.3869852053494744
IDW,rmse,test,0.1,4.1384922941143945
IDW,mae,cross,0.1,10.84181700229408
IDW,rmse,cross,0.1,12.256217827382745
Kriging,mae,test,0.1,3.8833600283413845
Kriging,rmse,test,0.1,4.519583198583079
Kriging,mae,cross,0.1,11.510139689625621
Kriging,rmse,cross,0.1,12.955166503650883
Ensemble,mae,test,0.1,4.329459468584511
Ensemble,rmse,test,0.1,5.298575527472439
Ensemble,mae,cross,0.1,7.647021857571142
Ensemble,rmse,cross,0.1,9.286951998023516
MLP,mae,test,0.2,3.9784713999430337
MLP,rmse,test,0.2,5.045127305882134
MLP,mae,cross,0.2,18.138343555217194
MLP,rmse,cross,0.2,29.00548852308362
IDW,mae,test,0.2,4.097879532361359
IDW,rmse,test,0.2,4.967244476751449
IDW,mae,cross,0.2,10.836716651508903
IDW,rmse,cross,0.2,12.262725297498982
Kriging,mae,test,0.2,4.560049744349941
Kriging,rmse,test,0.2,5.274930311305823
Kriging,mae,cross,0.2,11.525045386436194
Kriging,rmse,cross,0.2,12.968801085076318
Ensemble,mae,test,0.2,4.246875573104003
Ensemble,rmse,test,0.2,5.390912055674275
Ensemble,mae,cross,0.2,7.623895471041463
Ensemble,rmse,cross,0.2,9.245076502850013
MLP,mae,test,0.3,3.2956618075900606
MLP,rmse,test,0.3,4.298720026817114
MLP,mae,cross,0.3,10.222621804863744
MLP,rmse,cross,0.3,13.250323055678123
IDW,mae,test,0.3,4.066217237453359
IDW,rmse,test,0.3,4.715662623780327
IDW,mae,cross,0.3,10.25968945548998
IDW,rmse,cross,0.3,11.800749817178533
Kriging,mae,test,0.3,4.179698356475327
Kriging,rmse,test,0.3,4.79985618536845
Kriging,mae,cross,0.3,11.209291360880496
Kriging,rmse,cross,0.3,12.6903548091299
Ensemble,mae,test,0.3,3.522861212772926
Ensemble,rmse,test,0.3,4.602265424985082
Ensemble,mae,cross,0.3,7.759403433100906
Ensemble,rmse,cross,0.3,9.397214745306778
MLP,mae,test,0.4,4.25519105024561
MLP,rmse,test,0.4,4.971940647149521
MLP,mae,cross,0.4,9.233948716985639
MLP,rmse,cross,0.4,10.850136973051843
IDW,mae,test,0.4,4.407179177747602
IDW,rmse,test,0.4,5.284262455285964
IDW,mae,cross,0.4,10.125334212238219
IDW,rmse,cross,0.4,11.726491722180196
Kriging,mae,test,0.4,4.211954334215298
Kriging,rmse,test,0.4,4.858121743126771
Kriging,mae,cross,0.4,11.194601958706373
Kriging,rmse,cross,0.4,12.66760687927461
Ensemble,mae,test,0.4,4.483379769084687
Ensemble,rmse,test,0.4,5.24660242698034
Ensemble,mae,cross,0.4,7.645343558155373
Ensemble,rmse,cross,0.4,9.3404403326483
MLP,mae,test,0.5,3.780216757626457
MLP,rmse,test,0.5,4.7511928630348725
MLP,mae,cross,0.5,10.04171744653224
MLP,rmse,cross,0.5,11.570663760717387
IDW,mae,test,0.5,5.048613047809254
IDW,rmse,test,0.5,6.131629281293024
IDW,mae,cross,0.5,9.354328111865328
IDW,rmse,cross,0.5,11.16567570877074
Kriging,mae,test,0.5,11076.952913120705
Kriging,rmse,test,0.5,14233.540097840072
Kriging,mae,cross,0.5,7070.578007957366
Kriging,rmse,cross,0.5,12229.561776346489
Ensemble,mae,test,0.5,5.293116598888027
Ensemble,rmse,test,0.5,5.967951223592718
Ensemble,mae,cross,0.5,7.7585347147189285
Ensemble,rmse,cross,0.5,9.425312393838412
MLP,mae,test,0.1,3.8540749104817706
MLP,rmse,test,0.1,4.465339955815082
MLP,mae,cross,0.1,10.081963247566298
MLP,rmse,cross,0.1,11.716338848842458
IDW,mae,test,0.1,3.3869852053494744
IDW,rmse,test,0.1,4.1384922941143945
IDW,mae,cross,0.1,10.84181700229408
IDW,rmse,cross,0.1,12.256217827382745
Kriging,mae,test,0.1,3.8833600283413845
Kriging,rmse,test,0.1,4.519583198583079
Kriging,mae,cross,0.1,11.510139689625621
Kriging,rmse,cross,0.1,12.955166503650883
Ensemble,mae,test,0.1,4.329459468584511
Ensemble,rmse,test,0.1,5.298575527472439
Ensemble,mae,cross,0.1,7.647021857571142
