Method,Test Size,MAE
IDW,0.1,0.708791952803727
Kriging,0.1,0.5036663096449855
Ensemble,0.1,0.4617785000569925
U-Net,0.1,0.21885170142302904
[OURS] Splatformer,0.1,0.28270530700683594
U-Net,0.1,0.21885170142302904
IDW,0.1,1.1620432414043453
Kriging,0.1,0.8768449656404318
Ensemble,0.1,0.9644672328500258
U-Net,0.1,3.658033586804167
[OURS] Splatformer,0.1,0.2563762664794922
U-Net,0.1,3.658033586804167
IDW,0.1,0.6611745667304461
Kriging,0.1,0.5508344267257317
Ensemble,0.1,0.46725184344136883
U-Net,0.1,1.8160155448225952
[OURS] Splatformer,0.1,0.4551825225353241
U-Net,0.1,1.8160155448225952
IDW,0.1,0.5349670138934309
Kriging,0.1,0.6179934996893596
Ensemble,0.1,0.40236817325934504
U-Net,0.1,0.3401547843364281
[OURS] Splatformer,0.1,0.7648016810417175
U-Net,0.1,0.3401547843364281
IDW,0.1,0.5386538021463014
Kriging,0.1,0.35674456702959984
Ensemble,0.1,0.33455859322348847
U-Net,0.1,5.455650093602205
[OURS] Splatformer,0.1,0.4354340434074402
U-Net,0.1,5.455650093602205
IDW,0.2,0.7940520691902232
Kriging,0.2,0.6292938980197368
Ensemble,0.2,0.6747141605842265
U-Net,0.2,21.866002421805874
[OURS] Splatformer,0.2,0.603961169719696
U-Net,0.2,21.866002421805874
IDW,0.2,0.7463799161221766
Kriging,0.2,0.6762703346048654
Ensemble,0.2,0.7218950207741835
U-Net,0.2,1.7597644529087424
[OURS] Splatformer,0.2,0.4056552052497864
U-Net,0.2,1.7597644529087424
IDW,0.2,0.691828703828449
Kriging,0.2,0.697781853417493
Ensemble,0.2,0.7474209064081879
U-Net,0.2,0.5948707418408989
[OURS] Splatformer,0.2,0.6526324152946472
U-Net,0.2,0.5948707418408989
IDW,0.2,0.6257905450447588
Kriging,0.2,0.5157480668390672
Ensemble,0.2,0.4939526743834752
U-Net,0.2,1.36543300214187
[OURS] Splatformer,0.2,0.5310057401657104
U-Net,0.2,1.36543300214187
IDW,0.2,0.5362430806222451
Kriging,0.2,0.4320233038070899
Ensemble,0.2,0.5079230402951967
U-Net,0.2,0.6401060108560952
[OURS] Splatformer,0.2,0.780856728553772
U-Net,0.2,0.6401060108560952
IDW,0.3,0.7129829753635537
Kriging,0.3,0.5737625168386501
Ensemble,0.3,0.6619230918679436
U-Net,0.3,2.0216407348583214
[OURS] Splatformer,0.3,0.35028016567230225
U-Net,0.3,2.0216407348583214
IDW,0.3,0.6051818146026191
Kriging,0.3,0.5465458500439639
Ensemble,0.3,0.5336350889917293
U-Net,0.3,6.968510413665074
[OURS] Splatformer,0.3,0.4933305084705353
U-Net,0.3,6.968510413665074
IDW,0.3,0.6528569281941212
Kriging,0.3,0.5687638295095968
Ensemble,0.3,0.606148527853248
U-Net,0.3,2.2462735911720793
[OURS] Splatformer,0.3,0.4896185100078583
U-Net,0.3,2.2462735911720793
IDW,0.3,0.5050568593002245
Kriging,0.3,0.5554323700335835
Ensemble,0.3,0.49097505408456243
U-Net,0.3,0.5442116862555056
[OURS] Splatformer,0.3,0.3819984197616577
U-Net,0.3,0.5442116862555056
IDW,0.3,0.611849965424623
Kriging,0.3,0.6050316423153338
Ensemble,0.3,0.5280655472479897
U-Net,0.3,0.4216479702458233
[OURS] Splatformer,0.3,0.4316610097885132
U-Net,0.3,0.4216479702458233
IDW,0.4,0.49855834280047523
Kriging,0.4,0.5042945450962217
Ensemble,0.4,0.5932955528224031
U-Net,0.4,0.533552060847253
[OURS] Splatformer,0.4,0.30685529112815857
U-Net,0.4,0.533552060847253
IDW,0.4,0.6398504658347298
Kriging,0.4,0.6815126489681741
Ensemble,0.4,0.8904382022323728
U-Net,0.4,1.991583362792519
[OURS] Splatformer,0.4,0.5211000442504883
U-Net,0.4,1.991583362792519
IDW,0.4,0.5660042039933073
Kriging,0.4,0.5812265559596445
Ensemble,0.4,0.6149535361952349
U-Net,0.4,1.519883239474677
[OURS] Splatformer,0.4,0.6129431128501892
U-Net,0.4,1.519883239474677
IDW,0.4,0.7176140678115631
Kriging,0.4,0.7216643221120145
Ensemble,0.4,0.8165431794166402
U-Net,0.4,0.870417122562265
[OURS] Splatformer,0.4,0.5291031002998352
U-Net,0.4,0.870417122562265
IDW,0.4,0.580240174672043
Kriging,0.4,0.552179791532241
Ensemble,0.4,0.49808366763961964
U-Net,0.4,0.6932594627623295
[OURS] Splatformer,0.4,0.4476489722728729
U-Net,0.4,0.6932594627623295
IDW,0.5,0.5800271499480791
Kriging,0.5,0.8907803660366491
Ensemble,0.5,0.6064377071591687
U-Net,0.5,0.5284960794653523
[OURS] Splatformer,0.5,0.4843018651008606
U-Net,0.5,0.5284960794653523
IDW,0.5,0.6684754783349627
Kriging,0.5,0.5280950733177875
Ensemble,0.5,0.666589447490651
U-Net,0.5,0.6873919415278359
[OURS] Splatformer,0.5,0.43620404601097107
U-Net,0.5,0.6873919415278359
IDW,0.5,0.5725650852545965
Kriging,0.5,0.6874814176171751
Ensemble,0.5,0.6680604254521658
U-Net,0.5,1.7149626821757122
[OURS] Splatformer,0.5,0.49940675497055054
U-Net,0.5,1.7149626821757122
IDW,0.5,0.5862350554365025
Kriging,0.5,0.519944068483802
Ensemble,0.5,0.6810516018986178
U-Net,0.5,1.8659190172366777
[OURS] Splatformer,0.5,0.4668874442577362
U-Net,0.5,1.8659190172366777
IDW,0.5,0.6347674685881639
Kriging,0.5,0.601142298299878
Ensemble,0.5,0.6952687654310719
U-Net,0.5,2.25088049451794
[OURS] Splatformer,0.5,0.4148923456668854
U-Net,0.5,2.25088049451794
