Method,Test Size,MAE
IDW,0.1,0.2885651432355788
Kriging,0.1,0.4486222014961985
Ensemble,0.1,0.23084280138054866
U-Net,0.1,0.9807673849536109
Splatformer,0.1,0.2576495409011841
U-Net,0.1,0.9807673849536109
IDW,0.1,0.2209037456433213
Kriging,0.1,0.48730358617747327
Ensemble,0.1,0.22758545463974486
U-Net,0.1,0.565793864454607
Splatformer,0.1,0.2927808165550232
U-Net,0.1,0.565793864454607
IDW,0.1,0.3477765456775336
Kriging,0.1,0.5942687570884442
Ensemble,0.1,0.3676025588047343
U-Net,0.1,0.5976927130181968
Splatformer,0.1,0.353546679019928
U-Net,0.1,0.5976927130181968
IDW,0.1,0.24332866236631565
Kriging,0.1,0.491310285667934
Ensemble,0.1,0.23042821284653245
U-Net,0.1,0.4921363949680361
Splatformer,0.1,0.41420507431030273
U-Net,0.1,0.4921363949680361
IDW,0.1,0.19518244976964977
Kriging,0.1,0.36513550133851774
Ensemble,0.1,0.19073331313556144
U-Net,0.1,0.45683996955715533
Splatformer,0.1,0.25103527307510376
U-Net,0.1,0.45683996955715533
IDW,0.1,0.20760876302951758
Kriging,0.1,0.4685629732292108
Ensemble,0.1,0.23420805441086792
U-Net,0.1,0.7298375882687873
Splatformer,0.1,0.30244743824005127
U-Net,0.1,0.7298375882687873
IDW,0.2,0.3335199628135032
Kriging,0.2,0.5173058207300789
Ensemble,0.2,0.30092417464200255
U-Net,0.2,0.35738367467734533
Splatformer,0.2,0.12129133194684982
U-Net,0.2,0.35738367467734533
IDW,0.2,0.24063143446989657
Kriging,0.2,0.49837288657717194
Ensemble,0.2,0.3075286437681804
U-Net,0.2,0.4972440531044025
Splatformer,0.2,0.23569266498088837
U-Net,0.2,0.4972440531044025
IDW,0.2,0.35928913685409725
Kriging,0.2,0.4812175396794349
Ensemble,0.2,0.27936293369605575
U-Net,0.2,1.3261620282267712
Splatformer,0.2,0.237190842628479
U-Net,0.2,1.3261620282267712
IDW,0.2,0.26710311163816397
Kriging,0.2,0.4657732152963888
Ensemble,0.2,0.28837353466685167
U-Net,0.2,0.5206744827436921
Splatformer,0.2,0.48098883032798767
U-Net,0.2,0.5206744827436921
IDW,0.2,0.2796054751307279
Kriging,0.2,0.397901010095853
Ensemble,0.2,0.2235320343016587
U-Net,0.2,0.9199892431196556
Splatformer,0.2,0.12373612821102142
U-Net,0.2,0.9199892431196556
IDW,0.2,0.25144156795008915
Kriging,0.2,0.44561582935855953
Ensemble,0.2,0.2139613816154748
U-Net,0.2,0.9405149567255471
Splatformer,0.2,0.2735499143600464
U-Net,0.2,0.9405149567255471
IDW,0.3,0.2855952276147353
Kriging,0.3,0.5131536423314602
Ensemble,0.3,0.29739766922584976
U-Net,0.3,1.0122010313983387
Splatformer,0.3,0.18390506505966187
U-Net,0.3,1.0122010313983387
IDW,0.3,0.30593562015662934
Kriging,0.3,0.47551000484609846
Ensemble,0.3,0.26494188248219336
U-Net,0.3,0.6124645236810811
Splatformer,0.3,0.2127377837896347
U-Net,0.3,0.6124645236810811
IDW,0.3,0.35096054533148374
Kriging,0.3,0.46120996971073336
Ensemble,0.3,0.305174388533723
U-Net,0.3,0.44271516894008595
Splatformer,0.3,0.09889844059944153
U-Net,0.3,0.44271516894008595
IDW,0.3,0.3540913009141398
Kriging,0.3,0.4839446090890452
Ensemble,0.3,0.3474194675235807
U-Net,0.3,0.3537156731167922
Splatformer,0.3,0.20207273960113525
U-Net,0.3,0.3537156731167922
IDW,0.3,0.30350657774785805
Kriging,0.3,0.53319808978341
Ensemble,0.3,0.2877466219197692
U-Net,0.3,0.4912634120734932
Splatformer,0.3,0.3584538698196411
U-Net,0.3,0.4912634120734932
IDW,0.3,0.2986714473599941
Kriging,0.3,0.5348852709850846
Ensemble,0.3,0.35511528405822035
U-Net,0.3,0.48606303121925265
Splatformer,0.3,0.4038000702857971
U-Net,0.3,0.48606303121925265
IDW,0.4,0.3228491985564334
Kriging,0.4,0.4924146097448567
Ensemble,0.4,0.3270902338273757
U-Net,0.4,0.3342775946120932
Splatformer,0.4,0.28370872139930725
U-Net,0.4,0.3342775946120932
IDW,0.4,0.34736191501977026
Kriging,0.4,0.44327638125524255
Ensemble,0.4,0.33939776651266795
U-Net,0.4,0.4913884907161473
Splatformer,0.4,0.26277974247932434
U-Net,0.4,0.4913884907161473
IDW,0.4,0.358740443255688
Kriging,0.4,0.48528240673029394
Ensemble,0.4,0.3475698171576228
U-Net,0.4,0.3705006654589731
Splatformer,0.4,0.3051474690437317
U-Net,0.4,0.3705006654589731
IDW,0.4,0.3077728392678662
Kriging,0.4,0.5095631562367333
Ensemble,0.4,0.31019829718789294
U-Net,0.4,0.44555830884303615
Splatformer,0.4,0.20276473462581635
U-Net,0.4,0.44555830884303615
IDW,0.4,0.312637265768328
Kriging,0.4,0.49943154618533997
Ensemble,0.4,0.3282788294441253
U-Net,0.4,0.6277861651445141
Splatformer,0.4,0.14098858833312988
U-Net,0.4,0.6277861651445141
IDW,0.4,0.319015957141812
Kriging,0.4,0.4660955741143772
Ensemble,0.4,0.2913220512597116
U-Net,0.4,0.3940848092747551
Splatformer,0.4,0.1955319494009018
U-Net,0.4,0.3940848092747551
IDW,0.5,0.3281731283645842
Kriging,0.5,0.5220029251690538
Ensemble,0.5,0.3483148741649118
U-Net,0.5,0.42749838221542813
Splatformer,0.5,0.2362131029367447
U-Net,0.5,0.42749838221542813
IDW,0.5,0.3268078592491267
Kriging,0.5,0.46473240474424277
Ensemble,0.5,0.33743645842388154
U-Net,0.5,0.3048112664194746
Splatformer,0.5,0.19451485574245453
U-Net,0.5,0.3048112664194746
IDW,0.5,0.3270940960711984
Kriging,0.5,0.49644544028303716
Ensemble,0.5,0.35632767415950917
U-Net,0.5,0.3684801544910901
Splatformer,0.5,0.2226240634918213
U-Net,0.5,0.3684801544910901
IDW,0.5,0.3491939804345438
Kriging,0.5,0.5318601639059717
Ensemble,0.5,0.32558736965998614
U-Net,0.5,0.41260253421480686
Splatformer,0.5,0.11256369948387146
U-Net,0.5,0.41260253421480686
IDW,0.5,0.3759990780531828
Kriging,0.5,0.5405426804074631
Ensemble,0.5,0.4245151848149023
U-Net,0.5,0.40239302002171357
Splatformer,0.5,0.17143933475017548
U-Net,0.5,0.40239302002171357
IDW,0.5,0.3679030663427267
Kriging,0.5,0.4906253724979284
Ensemble,0.5,0.3477585851621346
U-Net,0.5,0.5168354855124546
Splatformer,0.5,0.3107723593711853
U-Net,0.5,0.5168354855124546
