Method,Test Size,MAE
IDW,0.1,0.7588112311494991
Kriging,0.1,0.6791021012824876
Ensemble,0.1,0.8146043583637756
U-Net,0.1,0.4449512825628986
Splatformer,0.1,0.14278434216976166
U-Net,0.1,0.4449512825628986
IDW,0.1,0.48084009154619495
Kriging,0.1,0.5159867709519549
Ensemble,0.1,0.3868310158386341
U-Net,0.1,0.5693501253335598
Splatformer,0.1,0.16316254436969757
U-Net,0.1,0.5693501253335598
IDW,0.1,0.9756376739470412
Kriging,0.1,0.7163558684800124
Ensemble,0.1,0.8268607105137935
U-Net,0.1,4.550345040505453
Splatformer,0.1,0.3131769299507141
U-Net,0.1,4.550345040505453
IDW,0.1,0.42095826593446906
Kriging,0.1,0.5118091275707685
Ensemble,0.1,0.38850121228735723
U-Net,0.1,0.4623327003884086
Splatformer,0.1,0.20900805294513702
U-Net,0.1,0.4623327003884086
IDW,0.1,0.6611745667304461
Kriging,0.1,0.5508344267257317
Ensemble,0.1,0.46725184344136883
U-Net,0.1,1.3363465530502876
Splatformer,0.1,0.233561709523201
U-Net,0.1,1.3363465530502876
IDW,0.1,0.3067276987459998
Kriging,0.1,0.4592929396805045
Ensemble,0.1,0.4771037275249243
U-Net,0.1,0.32783599913927264
Splatformer,0.1,0.15969669818878174
U-Net,0.1,0.32783599913927264
IDW,0.2,0.45012523406756655
Kriging,0.2,0.4517276344021379
Ensemble,0.2,0.7022502381758954
U-Net,0.2,0.372975216888508
Splatformer,0.2,0.3110315203666687
U-Net,0.2,0.372975216888508
IDW,0.2,0.8255216498210538
Kriging,0.2,0.5552351688399383
Ensemble,0.2,0.8678066222070365
U-Net,0.2,0.4691875984786491
Splatformer,0.2,0.31311362981796265
U-Net,0.2,0.4691875984786491
IDW,0.2,0.4794017897988468
Kriging,0.2,0.4981222053363775
Ensemble,0.2,0.5422008307009457
U-Net,0.2,4.938116387643611
Splatformer,0.2,0.4968966841697693
U-Net,0.2,4.938116387643611
IDW,0.2,0.6849301606125818
