,pred,real
0,-81.05214,-85.0
1,-81.068665,-85.0
2,-81.063,-85.0
3,-81.05753,-87.0
4,-81.0537,-85.0
5,-81.0653,-85.0
6,-81.071266,-85.0
7,-81.06951,-85.0
8,-81.06838,-85.0
9,-81.086044,-85.0
10,-81.08402,-85.0
11,-81.075455,-85.0
12,-81.07387,-85.0
13,-81.084,-85.0
14,-81.083565,-85.0
15,-81.084045,-85.0
16,-81.08409,-85.0
17,-81.081406,-83.0
18,-81.07718,-83.0
19,-81.08382,-83.0
20,-81.08438,-83.0
21,-81.081436,-83.0
22,-81.07998,-83.0
23,-81.076935,-83.0
24,-81.07089,-83.0
25,-81.06271,-83.0
26,-81.04878,-83.0
27,-81.0379,-83.0
28,-81.02396,-73.0
29,-81.02461,-73.0
30,-74.24735,-73.0
31,-74.36015,-73.0
32,-74.000885,-73.0
33,-74.29999,-73.0
34,-74.25168,-73.0
35,-74.27633,-73.0
36,-74.24776,-73.0
37,-74.06326,-73.0
38,-68.386154,-67.0
39,-68.15968,-67.0
40,-68.05678,-67.0
41,-67.96396,-67.0
42,-68.01788,-67.0
43,-68.01977,-67.0
44,-68.04823,-67.0
45,-68.01011,-67.0
46,-67.9342,-67.0
47,-67.92769,-67.0
48,-67.91495,-67.0
49,-70.66786,-67.0
50,-73.215004,-73.0
51,-73.85631,-73.0
52,-74.12055,-73.0
53,-74.1366,-73.0
54,-74.11076,-73.0
55,-74.04371,-73.0
56,-74.00257,-73.0
57,-73.9594,-73.0
58,-73.930565,-73.0
59,-73.84927,-73.0
60,-73.86992,-73.0
61,-73.9978,-73.0
62,-74.01935,-73.0
63,-73.85285,-73.0
64,-73.683205,-73.0
65,-73.57339,-73.0
66,-73.40233,-73.0
67,-73.21243,-73.0
68,-73.1302,-73.0
69,-72.96013,-73.0
70,-72.70087,-73.0
71,-71.71135,-73.0
72,-70.46553,-73.0
73,-69.73138,-69.0
74,-69.63513,-69.0
75,-69.52134,-69.0
76,-69.515945,-69.0
77,-69.491844,-69.0
78,-69.48717,-69.0
79,-69.59566,-69.0
80,-69.45546,-69.0
81,-69.30664,-69.0
82,-69.32317,-69.0
83,-69.33384,-69.0
84,-69.28222,-69.0
85,-69.29805,-69.0
86,-69.39104,-69.0
87,-69.408005,-69.0
88,-69.46536,-69.0
89,-69.54079,-69.0
90,-69.810486,-69.0
91,-70.52644,-71.0
92,-71.091446,-71.0
93,-63.641113,-63.0
94,-63.377953,-63.0
95,-63.770134,-63.0
96,-63.80538,-63.0
97,-63.85015,-63.0
98,-63.881298,-63.0
99,-63.9224,-63.0
100,-63.84443,-63.0
101,-63.83142,-63.0
102,-63.92342,-63.0
103,-63.74308,-63.0
104,-63.55081,-63.0
105,-63.8135,-63.0
106,-63.76123,-63.0
107,-63.93864,-63.0
108,-63.984585,-63.0
109,-64.072205,-63.0
110,-63.93328,-63.0
111,-63.896397,-63.0
112,-63.7304,-63.0
113,-63.6596,-63.0
114,-63.46531,-63.0
115,-63.67669,-63.0
116,-63.381092,-63.0
117,-63.084663,-63.0
118,-62.6037,-63.0
119,-62.080658,-61.0
120,-61.70325,-61.0
121,-61.578094,-61.0
122,-61.39491,-61.0
123,-61.38551,-61.0
124,-61.2259,-61.0
125,-61.771763,-61.0
126,-61.54522,-61.0
127,-61.400955,-61.0
128,-64.22659,-61.0
129,-61.533936,-61.0
130,-61.42169,-61.0
131,-61.427162,-61.0
132,-61.74665,-59.0
133,-61.880245,-59.0
134,-62.125843,-63.0
135,-62.460472,-63.0
136,-62.567936,-63.0
137,-62.719585,-63.0
138,-62.827557,-63.0
139,-62.505943,-63.0
140,-62.782234,-63.0
141,-63.502098,-63.0
142,-65.058525,-63.0
143,-62.98601,-63.0
144,-62.863068,-63.0
145,-61.80148,-59.0
146,-61.74906,-63.0
147,-65.45049,-63.0
148,-65.92417,-67.0
149,-66.47149,-67.0
150,-67.133575,-67.0
151,-67.835464,-67.0
152,-67.728386,-67.0
153,-67.69408,-67.0
154,-67.70952,-67.0
155,-67.73822,-67.0
156,-66.985374,-67.0
157,-62.571068,-67.0
158,-66.760315,-67.0
159,-67.85499,-67.0
160,-68.048904,-67.0
161,-64.30364,-65.0
162,-64.51802,-65.0
163,-63.769432,-65.0
164,-64.835464,-65.0
165,-65.000114,-65.0
166,-64.28959,-65.0
167,-63.902832,-65.0
168,-63.571373,-65.0
169,-63.73273,-61.0
170,-63.06374,-61.0
171,-62.536095,-61.0
172,-62.41755,-61.0
173,-62.24445,-61.0
174,-62.127686,-61.0
