,predicted_rsrp,predicted_rsrq,predicted_sinr,true_rsrp,true_rsrq,true_sinr
0,-109.6603,-17.077402,-14.864544,-118.0,-16.0,-20.0
1,-110.16731,-16.340015,-12.4022665,-118.0,-15.0,-10.0
2,-110.19397,-16.394058,-12.385287,-118.0,-15.0,-10.0
3,-110.20681,-16.42993,-12.357671,-118.0,-15.0,-20.0
4,-110.20975,-16.463137,-12.328815,-117.0,-14.0,-9.0
5,-110.20315,-16.50091,-12.27742,-118.0,-16.0,-20.0
6,-110.20038,-16.509426,-12.187133,-118.0,-16.0,-20.0
7,-110.19192,-16.538576,-12.1672125,-117.0,-16.0,-9.0
8,-110.185165,-16.562944,-12.15753,-117.0,-16.0,-9.0
9,-110.1578,-16.558084,-11.60678,-117.0,-16.0,-9.0
10,-110.15074,-16.583027,-11.605184,-117.0,-16.0,-9.0
11,-110.119995,-16.52516,-11.31267,-117.0,-16.0,-9.0
12,-110.12314,-16.53203,-11.344452,-117.0,-16.0,-9.0
13,-110.185135,-16.616558,-11.807526,-117.0,-16.0,-9.0
14,-110.17681,-16.645346,-11.804865,-117.0,-16.0,-9.0
15,-110.16696,-16.67471,-11.814075,-117.0,-16.0,-9.0
16,-110.162445,-16.686287,-11.790386,-117.0,-16.0,-9.0
17,-110.16127,-16.691013,-11.812035,-118.0,-17.0,-20.0
18,-110.16814,-16.68148,-11.852112,-116.0,-16.0,-11.0
19,-110.16764,-16.663107,-11.788379,-116.0,-16.0,-11.0
20,-110.1779,-16.633234,-11.793041,-116.0,-16.0,-11.0
21,-110.16061,-16.690063,-11.823332,-116.0,-16.0,-11.0
22,-110.15227,-16.673037,-11.771838,-116.0,-16.0,-11.0
23,-110.15956,-16.657705,-11.778497,-116.0,-16.0,-11.0
24,-110.163284,-16.6052,-11.661957,-116.0,-16.0,-11.0
25,-110.169914,-16.588934,-11.664368,-116.0,-16.0,-11.0
26,-110.164116,-16.586874,-11.65872,-116.0,-16.0,-11.0
27,-110.165695,-16.574358,-11.645666,-116.0,-16.0,-11.0
28,-99.28138,-8.0861025,-0.0073153228,-98.0,-8.0,0.0
29,-98.93414,-7.9756904,0.22732158,-98.0,-8.0,0.0
30,-98.54989,-7.798901,0.3982572,-98.0,-8.0,0.0
31,-98.48198,-7.8455534,0.4614216,-98.0,-8.0,0.0
32,-98.42493,-7.82114,0.4137584,-98.0,-8.0,0.0
33,-98.34821,-7.8961334,0.45636922,-98.0,-8.0,0.0
34,-98.32765,-7.8578954,0.44723862,-98.0,-8.0,0.0
35,-98.25058,-7.9721546,0.44663048,-98.0,-8.0,0.0
36,-98.25856,-8.012102,0.43400443,-98.0,-8.0,0.0
37,-100.14094,-9.222554,-0.33202934,-98.0,-8.0,0.0
38,-102.6112,-16.94638,-9.265562,-101.0,-17.0,-10.0
39,-102.73045,-16.850483,-9.148996,-101.0,-17.0,-10.0
40,-102.51558,-16.836452,-9.066923,-101.0,-17.0,-10.0
41,-102.34742,-16.852829,-9.104559,-101.0,-17.0,-10.0
42,-102.439415,-16.747864,-8.968627,-101.0,-17.0,-10.0
