,pred,real
0,-71.0404,-69
1,-70.04713,-69
2,-69.783936,-69
3,-69.65325,-69
4,-68.6829,-69
5,-61.233078,-61
6,-60.74122,-61
7,-61.335854,-61
8,-61.362946,-61
9,-61.36934,-61
10,-61.373146,-61
11,-61.294044,-61
12,-61.293037,-61
13,-61.304787,-61
14,-61.153275,-61
15,-60.93782,-61
16,-62.3563,-69
17,-68.27697,-69
18,-73.61376,-73
19,-73.723465,-73
20,-71.96468,-73
21,-70.773186,-69
22,-70.5213,-69
23,-71.40522,-73
24,-71.520134,-73
25,-71.616264,-71
26,-69.614845,-71
27,-69.50858,-69
28,-69.585915,-69
29,-68.759315,-69
30,-69.53727,-69
31,-69.481926,-69
32,-71.837364,-69
33,-72.65755,-69
34,-73.72214,-79
35,-81.63472,-81
36,-81.844154,-81
37,-82.74683,-81
38,-82.69923,-81
39,-82.82745,-81
40,-82.800545,-81
41,-82.58553,-81
42,-81.54967,-81
43,-76.910805,-75
44,-76.60679,-75
45,-76.054245,-75
46,-75.88529,-75
47,-75.8323,-75
48,-76.01233,-75
49,-76.335304,-75
50,-77.196495,-71
51,-77.5861,-77
52,-77.96877,-77
53,-78.179924,-77
54,-78.14792,-77
55,-78.081406,-77
56,-78.01539,-77
57,-77.998116,-77
58,-77.836174,-77
59,-77.56465,-77
60,-77.453514,-77
61,-77.28874,-77
62,-77.22831,-77
63,-77.138985,-77
64,-77.135605,-75
65,-76.588394,-75
66,-76.51253,-75
67,-75.681946,-75
68,-75.631714,-75
69,-75.58097,-75
70,-75.59008,-75
71,-75.163994,-75
72,-75.2152,-75
73,-76.35321,-75
74,-76.429726,-75
75,-76.580444,-79
76,-78.16275,-79
77,-77.795715,-75
78,-77.39293,-75
79,-79.23237,-79
80,-79.24138,-79
81,-79.69106,-79
82,-81.037865,-79
83,-81.05543,-79
84,-81.46449,-83
85,-82.34997,-83
86,-82.638306,-83
87,-81.07299,-77
88,-79.37368,-77
89,-78.87835,-77
90,-78.811485,-77
91,-78.933266,-77
92,-79.42679,-77
93,-79.599785,-81
94,-80.08051,-81
95,-80.214966,-81
96,-80.175995,-81
97,-80.26673,-81
98,-80.32009,-81
99,-80.25952,-79
100,-80.14742,-79
101,-80.200096,-79
102,-80.03465,-79
103,-80.014305,-79
104,-79.95016,-79
105,-79.71645,-79
106,-79.70225,-79
107,-79.409615,-79
108,-79.057144,-79
109,-78.99056,-79
