,predicted_rsrp,predicted_rsrq,predicted_sinr,true_rsrp,true_rsrq,true_sinr
0,-105.55875,-19.421656,-14.949156,-103,-19.0,-15
1,-105.29808,-19.39294,-14.683242,-103,-19.0,-15
2,-105.35898,-19.41407,-15.034874,-103,-19.0,-15
3,-105.54824,-19.358295,-15.23008,-103,-19.0,-15
4,-105.34459,-19.336288,-14.783518,-103,-19.0,-15
5,-90.24126,-13.165475,0.5040531,-89,-13.0,0
6,-90.96556,-13.090408,0.5411986,-89,-13.0,0
7,-91.083984,-13.135607,0.47505486,-89,-13.0,0
8,-91.11358,-13.09424,0.56023186,-89,-13.0,0
9,-91.17978,-13.1172695,0.5237342,-89,-13.0,0
10,-91.246376,-13.131881,0.49736083,-89,-13.0,0
11,-91.32825,-12.995754,0.7760916,-89,-13.0,0
12,-91.29805,-13.076719,0.5932908,-89,-13.0,0
13,-91.297295,-13.082899,0.5624198,-89,-13.0,0
14,-91.36077,-12.917839,0.87478715,-89,-13.0,0
15,-91.4582,-12.862613,0.92955774,-89,-13.0,0
16,-92.194954,-12.456882,1.592609,-95,-12.0,2
17,-93.50543,-11.7379875,2.2943172,-95,-12.0,2
18,-109.74501,-17.47266,-9.888344,-107,-17.0,-9
19,-109.31157,-17.387106,-9.76892,-107,-17.0,-9
20,-102.23758,-13.468131,-2.0643406,-107,-17.0,-9
21,-100.87796,-12.916154,-1.2328783,-96,-10.0,2
22,-99.801956,-12.521211,-0.71879745,-96,-10.0,2
23,-110.18144,-18.494198,-10.927159,-108,-18.0,-9
24,-111.41301,-19.526312,-13.630733,-108,-18.0,-9
25,-111.50233,-20.210693,-16.288242,-109,-19.5,-19
26,-109.53488,-19.080208,-16.419197,-109,-19.5,-19
27,-100.35328,-11.989241,-3.1944509,-95,-10.0,1
28,-96.22395,-9.700635,1.2414596,-95,-10.0,1
29,-96.47515,-9.526372,2.1236336,-95,-10.0,1
30,-95.81798,-9.167211,2.6410236,-95,-10.0,1
31,-95.91686,-9.171215,2.622097,-95,-10.0,1
32,-100.11172,-11.7586975,-3.1343284,-95,-10.0,1
33,-106.89226,-14.765619,-8.147147,-95,-10.0,1
34,-110.9898,-16.557238,-11.018874,-115,-19.0,-20
35,-115.611725,-17.582289,-11.134089,-114,-17.0,-10
36,-115.78561,-17.614422,-11.138376,-114,-17.0,-10
37,-115.830696,-17.545689,-10.699117,-114,-17.0,-10
38,-115.85248,-17.518744,-10.662562,-114,-17.0,-10
39,-115.842026,-17.506973,-10.626374,-114,-17.0,-10
40,-115.81763,-17.503475,-10.610789,-114,-17.0,-10
41,-115.5135,-17.426754,-10.350665,-114,-17.0,-10
42,-115.104614,-17.36159,-10.321536,-114,-17.0,-10
43,-102.55361,-9.169134,-0.24216329,-100,-7.0,0
44,-102.599106,-9.143283,-0.22540455,-100,-7.0,0
45,-102.55159,-9.228929,-0.28339028,-100,-7.0,0
46,-102.365204,-9.337559,-0.33950013,-100,-7.0,0
47,-101.809204,-9.39683,0.22253318,-100,-7.0,0
48,-101.57124,-9.702952,0.0664245,-100,-7.0,0
49,-102.807396,-11.264868,-1.5397718,-100,-7.0,0
50,-102.734955,-11.096424,-1.4058197,-108,-19.5,-13
51,-103.00816,-11.526554,-1.8338624,-100,-11.0,-1
52,-103.909096,-11.99082,-2.3706577,-100,-11.0,-1
53,-103.061844,-11.736912,-2.115299,-100,-11.0,-1
54,-102.62093,-10.954983,-1.3776475,-100,-11.0,-1
55,-102.76172,-10.464995,-1.0778642,-100,-11.0,-1
56,-102.86408,-10.325111,-1.0113447,-100,-11.0,-1
57,-102.887695,-10.34772,-1.0225873,-100,-11.0,-1
58,-102.95187,-10.283797,-0.9989567,-100,-11.0,-1
59,-103.00175,-10.166609,-0.90345067,-100,-11.0,-1
60,-103.095535,-10.131733,-0.87650186,-100,-11.0,-1
61,-103.179,-10.086559,-0.81414753,-100,-11.0,-1
62,-103.26074,-10.294956,-1.0161676,-100,-11.0,-1
63,-107.30446,-12.83121,-4.5025234,-100,-11.0,-1
64,-108.189896,-13.235491,-5.4776697,-105,-13.0,-6
65,-108.431366,-13.5181465,-5.7759686,-105,-13.0,-6
66,-108.74831,-13.617849,-6.184161,-105,-13.0,-6
67,-107.785545,-13.029478,-6.186024,-105,-13.0,-6
68,-106.8612,-12.631389,-5.854575,-105,-13.0,-6
69,-106.81587,-13.010408,-5.271565,-105,-13.0,-6
70,-106.853874,-13.007118,-5.3000255,-105,-13.0,-6
71,-106.26772,-12.777437,-5.16689,-105,-13.0,-6
72,-106.296875,-12.761496,-5.285351,-105,-13.0,-6
73,-106.77666,-12.91634,-5.8618174,-105,-13.0,-6
74,-106.91861,-12.9611845,-6.046695,-105,-13.0,-6
75,-106.94984,-12.98472,-6.184953,-101,-11.0,-4
76,-109.80609,-14.510364,-8.111279,-101,-11.0,-4
77,-109.80326,-14.410761,-8.006031,-115,-19.0,-14
78,-110.92572,-14.976538,-8.7657795,-102,-9.0,-3
79,-113.37171,-16.33419,-10.382653,-115,-19.0,-13
80,-113.07736,-15.797003,-9.531125,-115,-19.0,-13
81,-108.15849,-12.656875,-4.8318024,-107,-11.0,-3
82,-111.764725,-15.110403,-7.767564,-107,-11.0,-3
83,-108.242645,-12.888109,-4.6887393,-107,-11.0,-3
84,-115.91104,-19.058697,-13.384194,-117,-19.5,-13
85,-115.067184,-19.046158,-13.373512,-117,-19.5,-13
86,-116.28812,-19.479322,-13.744626,-117,-19.5,-13
87,-108.23152,-13.282621,-4.3073187,-104,-11.0,-1
88,-105.95708,-11.269215,-1.7422926,-104,-11.0,-1
89,-105.993,-11.249889,-1.6940945,-104,-11.0,-1
90,-105.975685,-11.278967,-1.73561,-104,-11.0,-1
91,-106.0548,-11.402087,-1.8508319,-104,-11.0,-1
92,-106.97525,-11.714059,-2.2753737,-104,-11.0,-1
93,-107.75281,-11.833982,-2.5302968,-104,-11.0,-1
94,-111.4532,-13.692167,-5.1546535,-114,-17.0,-11
95,-112.091965,-14.046624,-5.3453655,-114,-17.0,-11
96,-107.75763,-11.578211,-2.1402771,-105,-8.0,5
97,-106.68436,-11.315124,-1.6489626,-105,-8.0,5
98,-108.98498,-11.926483,-2.4013197,-105,-8.0,5
99,-112.443214,-14.530762,-5.5563793,-111,-15.0,-6
100,-112.13138,-14.651955,-5.4580374,-111,-15.0,-6
101,-112.464294,-15.004432,-5.9669995,-111,-15.0,-6
102,-112.34775,-15.073908,-6.1760364,-111,-15.0,-6
103,-112.24327,-15.014153,-6.101845,-111,-15.0,-6
104,-112.34185,-15.222694,-6.4413366,-111,-15.0,-6
105,-112.160034,-15.218142,-6.570053,-111,-15.0,-6
106,-112.22471,-15.319266,-6.761353,-111,-15.0,-6
107,-111.792465,-15.236271,-6.8676815,-111,-15.0,-6
108,-110.975006,-14.668162,-6.3564005,-111,-15.0,-6
109,-110.763885,-14.510262,-6.166106,-111,-15.0,-6
110,-104.75912,-10.517443,-1.9931551,-111,-17.0,-17
111,-101.57382,-8.748439,-0.046646707,-101,-8.0,1
112,-99.62328,-7.528438,1.2913252,-101,-8.0,1
113,-100.13811,-7.550334,1.0662333,-101,-8.0,1
114,-102.924164,-8.798353,-0.64602774,-101,-8.0,1
115,-106.11108,-10.63048,-2.896263,-101,-8.0,1
116,-106.545654,-10.934662,-3.242517,-101,-8.0,1
117,-108.75116,-12.5768585,-4.9381056,-101,-8.0,1
118,-109.08229,-12.913431,-4.8729978,-109,-18.0,-13
119,-109.06213,-13.040089,-4.667312,-109,-18.0,-13
120,-108.76806,-13.018301,-4.284603,-104,-11.0,-1
121,-108.52826,-12.976505,-4.0467653,-104,-11.0,-1
122,-108.421555,-12.926334,-3.9058251,-104,-11.0,-1
123,-108.26053,-12.885748,-3.7736716,-104,-11.0,-1
124,-108.31573,-12.903753,-3.885609,-104,-11.0,-1
125,-107.82713,-12.252796,-4.411393,-108,-15.0,-11
126,-104.71906,-9.682147,-1.2742507,-103,-8.0,-1
127,-104.51296,-9.251254,-0.822948,-103,-8.0,-1
128,-104.52222,-9.230539,-0.8099163,-103,-8.0,-1
129,-104.51815,-9.225689,-0.78943694,-103,-8.0,-1
130,-104.53645,-9.207683,-0.76182234,-103,-8.0,-1
131,-104.59957,-9.183616,-0.7562451,-103,-8.0,-1
132,-104.644455,-9.169551,-0.7670477,-103,-8.0,-1
133,-104.69561,-9.189005,-0.7947504,-103,-8.0,-1
134,-104.82253,-9.237467,-0.8498681,-103,-8.0,-1
135,-104.80264,-9.230497,-0.845879,-103,-8.0,-1
136,-104.85186,-9.3025465,-0.8507265,-103,-8.0,-1
137,-105.09756,-9.381133,-0.9565651,-103,-8.0,-1
138,-110.432236,-12.907741,-4.637438,-101,-8.0,2
139,-110.61014,-13.17654,-5.005711,-115,-18.0,-12
140,-110.7413,-13.363221,-5.2355967,-115,-18.0,-12
141,-110.55747,-13.2751875,-5.3038216,-115,-18.0,-12
142,-110.526405,-13.245381,-5.2680807,-103,-9.0,1
143,-110.32772,-13.077829,-5.1859436,-103,-9.0,1
144,-110.104935,-12.954285,-5.220772,-103,-9.0,1
145,-110.25499,-13.031776,-5.28059,-109,-13.0,-8
146,-110.23422,-13.317972,-6.115581,-109,-13.0,-8
147,-109.911545,-13.28953,-6.3743696,-109,-13.0,-8
148,-110.02239,-13.437551,-6.6023684,-109,-13.0,-8
149,-109.954346,-13.403173,-6.599737,-109,-13.0,-8
150,-109.53923,-13.086884,-6.314557,-104,-10.0,-1
