Method,Test Size,MAE
IDW,0.1,118.77126367954124
Kriging,0.1,96.47415872047924
U-Net,0.1,0.08798357028023082
Ensemble,0.1,84.1980392232894
U-Net,0.1,0.08798357028023082
Splatformer,0.1,0.17843292653560638
IDW,0.1,118.48652172815862
Kriging,0.1,95.62579542793952
U-Net,0.1,0.7417399784618577
Ensemble,0.1,82.48442677969457
U-Net,0.1,0.7417399784618577
Splatformer,0.1,0.3693826198577881
IDW,0.1,117.14126336610256
Kriging,0.1,94.28053020123201
U-Net,0.1,0.4566247940361833
Ensemble,0.1,81.88575157913778
U-Net,0.1,0.4566247940361833
Splatformer,0.1,0.26977086067199707
IDW,0.1,116.76503543555513
Kriging,0.1,93.9043078853281
U-Net,0.1,0.269842894656839
Ensemble,0.1,81.54640084110866
U-Net,0.1,0.269842894656839
Splatformer,0.1,0.4378887116909027
IDW,0.1,118.77126367954124
Kriging,0.1,96.47415872047924
U-Net,0.1,0.07882530997055207
Ensemble,0.1,84.1980392232894
U-Net,0.1,0.07882530997055207
Splatformer,0.1,0.43998706340789795
IDW,0.1,118.78201313414236
Kriging,0.1,96.10795297315646
U-Net,0.1,0.236957199573087
Ensemble,0.1,83.47183502374293
U-Net,0.1,0.236957199573087
Splatformer,0.1,0.22912603616714478
IDW,0.2,118.39196277676916
Kriging,0.2,95.53123979852042
U-Net,0.2,0.4433044336907055
Ensemble,0.2,82.40611947595353
U-Net,0.2,0.4433044336907055
Splatformer,0.2,0.420517235994339
IDW,0.2,118.08058030558504
Kriging,0.2,95.24338337768988
U-Net,0.2,1.0905902322147212
Ensemble,0.2,82.41358897467319
U-Net,0.2,1.0905902322147212
Splatformer,0.2,0.3278215825557709
IDW,0.2,117.37412055373669
Kriging,0.2,94.59390570398146
U-Net,0.2,0.3926837615596177
Ensemble,0.2,82.21607838544514
U-Net,0.2,0.3926837615596177
Splatformer,0.2,0.22940509021282196
IDW,0.2,117.85464998615474
Kriging,0.2,94.99392141422149
U-Net,0.2,0.4517467330666164
Ensemble,0.2,82.20550596339238
