Method,Test Size,MAE
IDW,0.1,117.95694516610675
Kriging,0.1,95.11190539345796
U-Net,0.1,0.42368976226602345
Ensemble,0.1,82.21994322902482
U-Net,0.1,0.42368976226602345
Splatformer,0.1,0.4645611643791199
IDW,0.1,117.77028370607667
Kriging,0.1,94.92524369190076
U-Net,0.1,2.3176271511550457
Ensemble,0.1,82.08414650060378
U-Net,0.1,2.3176271511550457
Splatformer,0.1,0.29192349314689636
IDW,0.1,117.81960665622165
Kriging,0.1,94.96672407002457
U-Net,0.1,4.8836827067152155
Ensemble,0.1,82.19263585079331
U-Net,0.1,4.8836827067152155
Splatformer,0.1,0.5197364091873169
IDW,0.1,117.86487748171531
Kriging,0.1,95.02375958994483
U-Net,0.1,1.0345090717518777
Ensemble,0.1,82.23456583710576
U-Net,0.1,1.0345090717518777
Splatformer,0.1,0.40847519040107727
IDW,0.1,118.00746851198345
Kriging,0.1,95.1663483897455
U-Net,0.1,0.6449214136074792
Ensemble,0.1,82.32854935201286
U-Net,0.1,0.6449214136074792
Splatformer,0.1,0.30914750695228577
IDW,0.1,117.79980336982646
Kriging,0.1,94.99005678271922
U-Net,0.1,0.6148551061385028
Ensemble,0.1,82.24472670108915
U-Net,0.1,0.6148551061385028
Splatformer,0.1,0.3213515281677246
IDW,0.2,117.69390206981637
Kriging,0.2,94.83709788838762
U-Net,0.2,1.087297359706039
Ensemble,0.2,82.1016687433959
U-Net,0.2,1.087297359706039
Splatformer,0.2,0.3473181128501892
IDW,0.2,117.80471793276251
Kriging,0.2,94.94987266641176
U-Net,0.2,0.5888925952002022
Ensemble,0.2,82.29643973398294
U-Net,0.2,0.5888925952002022
Splatformer,0.2,0.47427308559417725
IDW,0.2,117.68343552237191
Kriging,0.2,94.83839415020401
U-Net,0.2,0.5781865130655485
Ensemble,0.2,82.1290909905945
U-Net,0.2,0.5781865130655485
Splatformer,0.2,0.26185017824172974
IDW,0.2,117.73535058050922
Kriging,0.2,94.88246705196055
U-Net,0.2,0.41802277956358114
Ensemble,0.2,82.03412447063211
U-Net,0.2,0.41802277956358114
Splatformer,0.2,0.2944401502609253
IDW,0.2,117.557729124073
Kriging,0.2,94.70876796856703
U-Net,0.2,0.6314379377283277
Ensemble,0.2,81.95847637394435
U-Net,0.2,0.6314379377283277
Splatformer,0.2,0.3351532816886902
IDW,0.2,117.95368783322313
Kriging,0.2,95.1106091316416
U-Net,0.2,1.3250979473636497
Ensemble,0.2,82.29437674561267
U-Net,0.2,1.3250979473636497
Splatformer,0.2,0.3519341051578522
IDW,0.3,117.81732637524674
Kriging,0.3,94.97882251364403
U-Net,0.3,0.4048601034654788
Ensemble,0.3,82.15394146836906
U-Net,0.3,0.4048601034654788
Splatformer,0.3,0.38315656781196594
IDW,0.3,117.69381602287994
Kriging,0.3,94.84746798291857
U-Net,0.3,0.6001353691427345
Ensemble,0.3,82.11587815210896
U-Net,0.3,0.6001353691427345
Splatformer,0.3,0.4715489447116852
IDW,0.3,117.8385531991135
Kriging,0.3,94.99351348089623
U-Net,0.3,0.5753278944531486
Ensemble,0.3,82.17998265114473
U-Net,0.3,0.5753278944531486
Splatformer,0.3,0.32352393865585327
IDW,0.3,117.79102439195641
Kriging,0.3,94.94598388096269
U-Net,0.3,0.9093379096625547
Ensemble,0.3,82.21769680384828
U-Net,0.3,0.9093379096625547
Splatformer,0.3,0.430074006319046
