Method,Test Size,MAE
IDW,0.1,0.6366999281006616
Kriging,0.1,0.5665162993704794
Ensemble,0.1,0.3771772270432408
U-Net,0.1,0.4876956603332837
Splatformer,0.1,0.26709437370300293
U-Net,0.1,0.4876956603332837
IDW,0.1,1.0894693499083008
Kriging,0.1,0.627508870416914
Ensemble,0.1,0.6983903461672104
U-Net,0.1,4.352839648920064
Splatformer,0.1,0.361945778131485
U-Net,0.1,4.352839648920064
IDW,0.1,0.8988525420680102
Kriging,0.1,0.7884245061468793
Ensemble,0.1,0.8531393054202997
U-Net,0.1,0.5520035460010946
Splatformer,0.1,0.26632198691368103
U-Net,0.1,0.5520035460010946
IDW,0.1,0.5811737056193974
Kriging,0.1,0.7056296252444392
Ensemble,0.1,0.6924464633258817
U-Net,0.1,0.3600856673061755
Splatformer,0.1,0.6109936833381653
U-Net,0.1,0.3600856673061755
IDW,0.1,0.44016545616920527
Kriging,0.1,0.5158543899815704
Ensemble,0.1,0.6434739167307894
U-Net,0.1,5.834559007936238
Splatformer,0.1,0.5413175821304321
U-Net,0.1,5.834559007936238
IDW,0.1,0.8218179490989846
Kriging,0.1,0.7528684961311879
Ensemble,0.1,0.8845906924331657
U-Net,0.1,0.28343867092453845
Splatformer,0.1,0.16903886198997498
U-Net,0.1,0.28343867092453845
IDW,0.2,0.46162536497350676
Kriging,0.2,0.4480891103741519
Ensemble,0.2,0.45092413546456556
U-Net,0.2,0.3001943764450495
Splatformer,0.2,0.38324785232543945
U-Net,0.2,0.3001943764450495
IDW,0.2,0.694488068280907
Kriging,0.2,0.7234341746494164
Ensemble,0.2,0.6753785291148653
U-Net,0.2,1.0138882660892359
Splatformer,0.2,0.36461374163627625
U-Net,0.2,1.0138882660892359
IDW,0.2,0.694601769146512
Kriging,0.2,0.5001773833997321
Ensemble,0.2,0.7841062313784477
U-Net,0.2,2.3872190686264614
Splatformer,0.2,0.23321831226348877
U-Net,0.2,2.3872190686264614
IDW,0.2,0.8606332317000819
Kriging,0.2,0.5966921478171453
Ensemble,0.2,0.7523091274512587
U-Net,0.2,4.046335658523448
Splatformer,0.2,0.2310757040977478
U-Net,0.2,4.046335658523448
IDW,0.2,0.4702590624375512
Kriging,0.2,0.5247112372279207
Ensemble,0.2,0.5268847893187936
U-Net,0.2,0.2592460295790815
Splatformer,0.2,0.18022683262825012
U-Net,0.2,0.2592460295790815
IDW,0.2,0.5712120243038529
Kriging,0.2,0.5656029613773962
Ensemble,0.2,0.6139334107313853
U-Net,0.2,0.8129295945431769
Splatformer,0.2,0.31646764278411865
U-Net,0.2,0.8129295945431769
IDW,0.3,0.5767807245213483
Kriging,0.3,0.651217413402023
Ensemble,0.3,0.5820974050359328
U-Net,0.3,0.7771805101802126
Splatformer,0.3,0.38090819120407104
U-Net,0.3,0.7771805101802126
IDW,0.3,0.5691062367392552
Kriging,0.3,0.5648279132496877
Ensemble,0.3,0.5602843165590425
U-Net,0.3,0.47358540372281555
Splatformer,0.3,0.17986881732940674
U-Net,0.3,0.47358540372281555
IDW,0.3,0.5218419865034278
Kriging,0.3,0.6057051442300191
Ensemble,0.3,0.5395915938446809
U-Net,0.3,0.3779330038688127
Splatformer,0.3,0.13752107322216034
U-Net,0.3,0.3779330038688127
IDW,0.3,0.5436800891354027
Kriging,0.3,0.6043920461451674
Ensemble,0.3,0.6139591637801892
U-Net,0.3,2.361448361852733
Splatformer,0.3,0.32002317905426025
U-Net,0.3,2.361448361852733
IDW,0.3,0.5036373410625475
Kriging,0.3,0.48476114678036203
Ensemble,0.3,0.6443347024269154
U-Net,0.3,1.157616480752804
Splatformer,0.3,0.2826463580131531
U-Net,0.3,1.157616480752804
IDW,0.3,0.5902429606019779
Kriging,0.3,0.6499802423576729
Ensemble,0.3,0.6097332614167883
U-Net,0.3,0.3030159799739228
Splatformer,0.3,0.3517337739467621
U-Net,0.3,0.3030159799739228
IDW,0.4,0.6476384464644154
Kriging,0.4,0.6607727715159258
Ensemble,0.4,0.5953083013880222
U-Net,0.4,0.7939473536528467
Splatformer,0.4,0.14827467501163483
U-Net,0.4,0.7939473536528467
IDW,0.4,0.6532151774119884
Kriging,0.4,0.6062092503945917
Ensemble,0.4,0.6864773182921001
U-Net,0.4,0.5166783275176959
Splatformer,0.4,0.5347188711166382
U-Net,0.4,0.5166783275176959
IDW,0.4,0.816821425889267
Kriging,0.4,1.079792522478694
Ensemble,0.4,0.9287084196351313
U-Net,0.4,0.36823940028695973
Splatformer,0.4,0.3457733690738678
U-Net,0.4,0.36823940028695973
IDW,0.4,0.7132238444096691
Kriging,0.4,0.9153302390313349
Ensemble,0.4,0.6055266478176726
U-Net,0.4,0.2808262607407267
Splatformer,0.4,0.17523637413978577
U-Net,0.4,0.2808262607407267
IDW,0.4,0.6020523528059076
Kriging,0.4,0.5955348546500341
Ensemble,0.4,0.5925134687196402
U-Net,0.4,0.8367977868335457
Splatformer,0.4,0.3181992173194885
U-Net,0.4,0.8367977868335457
IDW,0.4,0.5580332413304138
Kriging,0.4,0.5327128072793568
Ensemble,0.4,0.674125981476
U-Net,0.4,0.69845293242186
Splatformer,0.4,0.5520002841949463
U-Net,0.4,0.69845293242186
IDW,0.5,0.6026064737207417
Kriging,0.5,0.5433366795948498
Ensemble,0.5,0.5720372509741785
U-Net,0.5,0.350522569780343
Splatformer,0.5,0.5564577579498291
U-Net,0.5,0.350522569780343
IDW,0.5,0.7189070877111805
Kriging,0.5,0.7586141804499849
Ensemble,0.5,0.8368015043959848
U-Net,0.5,1.8682529656425373
Splatformer,0.5,0.18786874413490295
U-Net,0.5,1.8682529656425373
IDW,0.5,0.6180803268182496
Kriging,0.5,0.5180885190617252
Ensemble,0.5,0.613424835622411
U-Net,0.5,0.4873277592902
Splatformer,0.5,0.2092202603816986
U-Net,0.5,0.4873277592902
IDW,0.5,0.6600657077239249
Kriging,0.5,0.6275549079359299
Ensemble,0.5,0.7065738134873906
U-Net,0.5,2.1153336241233656
Splatformer,0.5,0.18995821475982666
U-Net,0.5,2.1153336241233656
IDW,0.5,0.6293070727214711
Kriging,0.5,0.67119921837015
Ensemble,0.5,0.7085576098372721
U-Net,0.5,0.926356170545205
Splatformer,0.5,0.3119548261165619
U-Net,0.5,0.926356170545205
IDW,0.5,0.6817652787616303
Kriging,0.5,0.8612246704861506
Ensemble,0.5,0.6136967325115669
U-Net,0.5,0.47611048579674176
Splatformer,0.5,0.3634762167930603
U-Net,0.5,0.47611048579674176
