Method,Test Size,MAE
IDW,0.1,116.76503543555513
Kriging,0.1,93.9043078853281
U-Net,0.1,0.26812206845004655
Ensemble,0.1,81.54640084110866
U-Net,0.1,0.26812206845004655
Splatformer,0.1,0.7081721425056458
IDW,0.1,118.30275621885457
Kriging,0.1,95.44203637454018
U-Net,0.1,0.5035818680903648
Ensemble,0.1,82.33224466110353
U-Net,0.1,0.5035818680903648
Splatformer,0.1,0.7561765909194946
IDW,0.1,117.9794121091585
Kriging,0.1,95.11868583988206
U-Net,0.1,0.8855553553562918
Ensemble,0.1,82.26095733298047
U-Net,0.1,0.8855553553562918
Splatformer,0.1,0.4093845784664154
IDW,0.1,118.77126367954124
Kriging,0.1,96.47415872047924
U-Net,0.1,0.07882530997055207
Ensemble,0.1,84.1980392232894
U-Net,0.1,0.07882530997055207
Splatformer,0.1,0.3880685567855835
IDW,0.1,118.48652172815862
Kriging,0.1,95.62579542793952
U-Net,0.1,0.5058178617153191
Ensemble,0.1,82.48442677969457
U-Net,0.1,0.5058178617153191
Splatformer,0.1,0.5374689698219299
IDW,0.2,117.88666504796969
Kriging,0.2,95.02594141676445
U-Net,0.2,0.40586050684983555
Ensemble,0.2,82.08052466046091
U-Net,0.2,0.40586050684983555
Splatformer,0.2,0.7287896871566772
IDW,0.2,117.55628981919465
Kriging,0.2,94.69556623414597
U-Net,0.2,0.2719166336024982
Ensemble,0.2,81.95076707858172
U-Net,0.2,0.2719166336024982
Splatformer,0.2,1.0460340976715088
IDW,0.2,117.71124204614452
Kriging,0.2,94.85052254046605
U-Net,0.2,0.43852627654245613
Ensemble,0.2,81.89164387969706
U-Net,0.2,0.43852627654245613
Splatformer,0.2,0.8963741660118103
IDW,0.2,117.81211307196152
Kriging,0.2,95.0425553862823
U-Net,0.2,0.25416517900311486
Ensemble,0.2,82.44301954312334
U-Net,0.2,0.25416517900311486
Splatformer,0.2,0.6637777090072632
IDW,0.2,118.77746528796499
Kriging,0.2,96.26288617394674
U-Net,0.2,0.33959579740096146
Ensemble,0.2,83.77907526201261
U-Net,0.2,0.33959579740096146
Splatformer,0.2,0.5519424080848694
IDW,0.3,118.09909807814186
Kriging,0.3,95.23837545936816
U-Net,0.3,0.644934400073217
Ensemble,0.3,82.2410285497393
U-Net,0.3,0.644934400073217
Splatformer,0.3,0.3451730012893677
IDW,0.3,117.260422864025
Kriging,0.3,94.42383621172411
U-Net,0.3,2.489729634727035
Ensemble,0.3,81.85611395804654
U-Net,0.3,2.489729634727035
Splatformer,0.3,0.7742365598678589
IDW,0.3,117.58769672719531
Kriging,0.3,94.7269680838964
U-Net,0.3,0.9766966592135116
Ensemble,0.3,82.02052532847902
U-Net,0.3,0.9766966592135116
Splatformer,0.3,0.9277400374412537
IDW,0.3,117.48169456012054
Kriging,0.3,94.66722954886949
U-Net,0.3,0.30187720073145147
Ensemble,0.3,82.1685442772797
U-Net,0.3,0.30187720073145147
Splatformer,0.3,0.600921094417572
IDW,0.3,117.74542205872503
Kriging,0.3,94.88469726638999
U-Net,0.3,0.5338873274774337
Ensemble,0.3,82.04638208842553
U-Net,0.3,0.5338873274774337
Splatformer,0.3,0.9450122714042664
IDW,0.4,117.5218688269723
Kriging,0.4,94.66114192058173
U-Net,0.4,0.5280918946053869
Ensemble,0.4,81.94402916762813
U-Net,0.4,0.5280918946053869
Splatformer,0.4,0.7721927762031555
IDW,0.4,117.98295585699466
Kriging,0.4,95.17035501717795
U-Net,0.4,0.40229563741080065
Ensemble,0.4,82.42429099956418
U-Net,0.4,0.40229563741080065
Splatformer,0.4,0.554979681968689
IDW,0.4,117.74072107512987
Kriging,0.4,94.87999410967622
U-Net,0.4,0.6526298367500134
Ensemble,0.4,82.10233268472184
U-Net,0.4,0.6526298367500134
Splatformer,0.4,0.6614903211593628
IDW,0.4,117.51310295370845
Kriging,0.4,94.65237750784452
U-Net,0.4,0.41017746344969497
Ensemble,0.4,81.92790311986704
U-Net,0.4,0.41017746344969497
Splatformer,0.4,0.9368572235107422
IDW,0.4,117.65845344717249
Kriging,0.4,94.8314196980399
U-Net,0.4,0.8708186360721999
Ensemble,0.4,82.15070278958183
U-Net,0.4,0.8708186360721999
Splatformer,0.4,0.5401903390884399
IDW,0.5,118.16332423790733
Kriging,0.5,95.35177758006752
U-Net,0.5,1.3640655735290417
Ensemble,0.5,82.44572990929419
U-Net,0.5,1.3640655735290417
Splatformer,0.5,0.4305652976036072
IDW,0.5,117.81928552039923
Kriging,0.5,94.97017718241504
U-Net,0.5,3.228957433526249
Ensemble,0.5,82.17940819179049
U-Net,0.5,3.228957433526249
Splatformer,0.5,0.49031731486320496
IDW,0.5,117.58035113922021
Kriging,0.5,94.74600653674709
U-Net,0.5,0.5606864375520515
Ensemble,0.5,82.04953602129737
U-Net,0.5,0.5606864375520515
Splatformer,0.5,0.5065933465957642
IDW,0.5,117.80757502364543
Kriging,0.5,94.96964065911146
U-Net,0.5,0.42200889208269166
Ensemble,0.5,82.2161995316269
U-Net,0.5,0.42200889208269166
Splatformer,0.5,0.4928485155105591
IDW,0.5,117.83883952974313
Kriging,0.5,95.01724446533743
U-Net,0.5,0.4256494578418867
Ensemble,0.5,82.24286931141437
U-Net,0.5,0.4256494578418867
Splatformer,0.5,0.4185492992401123
