Method,Test Size,MAE
IDW,0.1,117.7015512407086
Kriging,0.1,94.8604306010823
U-Net,0.1,1.2094506924582624
Ensemble,0.1,82.1442103651151
U-Net,0.1,1.2094506924582624
Splatformer,0.1,1.4168612957000732
IDW,0.2,117.81758129492249
Kriging,0.2,94.97450164092277
U-Net,0.2,3.0152679977529964
Ensemble,0.2,82.19209050908051
U-Net,0.2,3.0152679977529964
Splatformer,0.2,1.7394534349441528
IDW,0.3,117.78180893606344
Kriging,0.3,94.95376145186088
U-Net,0.3,0.7850102355622224
Ensemble,0.3,82.24441459967953
U-Net,0.3,0.7850102355622224
Splatformer,0.3,1.5715869665145874
IDW,0.4,117.81790511168657
Kriging,0.4,94.98771968013406
U-Net,0.4,0.5261187682136295
Ensemble,0.4,82.2336937928036
U-Net,0.4,0.5261187682136295
Splatformer,0.4,1.8246475458145142
IDW,0.5,117.85053378252563
Kriging,0.5,95.01421624507628
U-Net,0.5,0.5762352730659293
Ensemble,0.5,82.24774691683287
U-Net,0.5,0.5762352730659293
Splatformer,0.5,0.8176512122154236
