Method,Test Size,MAE
IDW,0.1,0.6727113715960444
Kriging,0.1,0.4984720129694809
Ensemble,0.1,0.40722963046894173
U-Net,0.1,0.7530196011614523
Splatformer,0.1,1.4591190814971924
U-Net,0.1,0.7530196011614523
IDW,0.1,0.4565738251270596
Kriging,0.1,0.43378334599575175
Ensemble,0.1,0.504301679646146
U-Net,0.1,0.20589721298265573
Splatformer,0.1,1.2788851261138916
U-Net,0.1,0.20589721298265573
IDW,0.1,0.4017199482650111
Kriging,0.1,0.45278582196985856
Ensemble,0.1,0.5587725038058508
U-Net,0.1,0.43362332832282385
Splatformer,0.1,0.8626524806022644
U-Net,0.1,0.43362332832282385
IDW,0.1,0.7337097097547768
Kriging,0.1,0.6083726734227999
Ensemble,0.1,0.7400445974510754
U-Net,0.1,0.4427638999944103
Splatformer,0.1,0.68822181224823
U-Net,0.1,0.4427638999944103
IDW,0.1,0.4017199482650111
Kriging,0.1,0.45278582196985856
Ensemble,0.1,0.5587725038058508
U-Net,0.1,0.44195324020112736
Splatformer,0.1,0.5310661196708679
U-Net,0.1,0.44195324020112736
IDW,0.2,0.505034156557471
Kriging,0.2,0.4927001635789518
Ensemble,0.2,0.5821239968058126
U-Net,0.2,0.4502181319501514
Splatformer,0.2,0.743972659111023
U-Net,0.2,0.4502181319501514
IDW,0.2,0.6291868013284643
Kriging,0.2,0.49673291067159914
Ensemble,0.2,0.7441754518787601
U-Net,0.2,1.8798922801603544
Splatformer,0.2,2.3073437213897705
U-Net,0.2,1.8798922801603544
IDW,0.2,0.5158659551328424
Kriging,0.2,0.5296048649220851
Ensemble,0.2,0.5730849459976475
U-Net,0.2,0.5036220725035034
Splatformer,0.2,0.7408390045166016
U-Net,0.2,0.5036220725035034
IDW,0.2,0.9035846099212144
Kriging,0.2,0.6985011852272586
Ensemble,0.2,0.7530944935710316
U-Net,0.2,2.8322123584286056
Splatformer,0.2,2.073452949523926
U-Net,0.2,2.8322123584286056
IDW,0.2,0.5257645444831238
Kriging,0.2,0.5863316249954934
Ensemble,0.2,0.5728563514981551
U-Net,0.2,0.7541472376657632
Splatformer,0.2,1.400044322013855
U-Net,0.2,0.7541472376657632
IDW,0.3,0.6109685632583522
Kriging,0.3,0.646917839480782
Ensemble,0.3,0.5731068828974062
U-Net,0.3,0.8777205180796541
Splatformer,0.3,1.067933440208435
U-Net,0.3,0.8777205180796541
IDW,0.3,0.5990547665718902
Kriging,0.3,0.5704926585279776
Ensemble,0.3,0.5677102700574191
U-Net,0.3,0.9092381169728434
Splatformer,0.3,1.092974066734314
U-Net,0.3,0.9092381169728434
IDW,0.3,0.5647029309600666
Kriging,0.3,0.4449323619226385
Ensemble,0.3,0.5561608447191203
U-Net,0.3,0.4306081614818961
Splatformer,0.3,0.8305795788764954
U-Net,0.3,0.4306081614818961
IDW,0.3,0.5039323671295314
Kriging,0.3,0.45640536681596994
Ensemble,0.3,0.5470690012224286
U-Net,0.3,12.425514354779647
Splatformer,0.3,1.853997826576233
U-Net,0.3,12.425514354779647
IDW,0.3,0.5134880834832722
Kriging,0.3,0.561844233643879
Ensemble,0.3,0.49159059464961663
U-Net,0.3,1.0212549040984584
Splatformer,0.3,1.2460246086120605
U-Net,0.3,1.0212549040984584
IDW,0.4,0.5205327477774049
Kriging,0.4,0.6379315273997427
Ensemble,0.4,0.7016902926474652
U-Net,0.4,1.3213109861566394
Splatformer,0.4,2.1507699489593506
U-Net,0.4,1.3213109861566394
IDW,0.4,0.5377809762164142
Kriging,0.4,0.5111856312708875
Ensemble,0.4,0.6165364400160511
U-Net,0.4,0.7154738890696408
Splatformer,0.4,0.8740126490592957
U-Net,0.4,0.7154738890696408
IDW,0.4,0.5835724378666018
Kriging,0.4,0.47723220031703806
Ensemble,0.4,0.5495951593770202
U-Net,0.4,0.3959382853224165
Splatformer,0.4,1.276457667350769
U-Net,0.4,0.3959382853224165
IDW,0.4,0.6377404948263737
Kriging,0.4,0.6396111414422304
Ensemble,0.4,0.6652636068943601
U-Net,0.4,0.9602832447950158
Splatformer,0.4,1.2546913623809814
U-Net,0.4,0.9602832447950158
IDW,0.4,0.5793177545731066
Kriging,0.4,0.6094197463064859
Ensemble,0.4,0.46630743820661885
U-Net,0.4,0.6286019922802271
Splatformer,0.4,1.415865182876587
U-Net,0.4,0.6286019922802271
IDW,0.5,0.6322031309658989
Kriging,0.5,0.65322065263612
Ensemble,0.5,0.6350157726397015
U-Net,0.5,0.7601678967848353
Splatformer,0.5,1.4226243495941162
U-Net,0.5,0.7601678967848353
IDW,0.5,0.6916454797213648
Kriging,0.5,0.5888062645051911
Ensemble,0.5,0.6741231027124017
U-Net,0.5,0.5102460554340933
Splatformer,0.5,1.074669361114502
U-Net,0.5,0.5102460554340933
IDW,0.5,0.5937090170955329
Kriging,0.5,0.7574310859549185
Ensemble,0.5,0.7009351768038022
U-Net,0.5,0.4646599295869696
Splatformer,0.5,2.1709418296813965
U-Net,0.5,0.4646599295869696
IDW,0.5,0.6245930271876695
Kriging,0.5,0.6970118295207319
Ensemble,0.5,0.8171572012047862
U-Net,0.5,1.300218725459327
Splatformer,0.5,2.1246213912963867
U-Net,0.5,1.300218725459327
IDW,0.5,0.5979702417275385
Kriging,0.5,0.568486581418959
Ensemble,0.5,0.6147425130605482
U-Net,0.5,0.8448891101409793
Splatformer,0.5,1.3453006744384766
U-Net,0.5,0.8448891101409793
