Method,Test Size,MAE
IDW,0.1,0.3940826904014444
Kriging,0.1,0.5030501635254131
Ensemble,0.1,0.3680365147971743
U-Net,0.1,1.1070882627422625
[OURS] Splatformer,0.1,1.723603367805481
U-Net,0.1,1.1070882627422625
IDW,0.2,0.3347251847423868
Kriging,0.2,0.4479576758958457
Ensemble,0.2,0.2582220229499434
U-Net,0.2,2.495781117451814
[OURS] Splatformer,0.2,1.1253424882888794
U-Net,0.2,2.495781117451814
IDW,0.3,0.3409863086557172
Kriging,0.3,0.44964589972127156
Ensemble,0.3,0.3100313094342164
U-Net,0.3,0.8226491357415074
[OURS] Splatformer,0.3,2.622753381729126
U-Net,0.3,0.8226491357415074
IDW,0.4,0.34112933609951285
Kriging,0.4,0.4505802345495508
Ensemble,0.4,0.30961186195939744
U-Net,0.4,0.5450882163055373
[OURS] Splatformer,0.4,1.2538042068481445
U-Net,0.4,0.5450882163055373
IDW,0.5,0.35910619406531813
Kriging,0.5,0.4701048051465322
Ensemble,0.5,0.3472613226598256
U-Net,0.5,0.5681254285375188
[OURS] Splatformer,0.5,0.7125769853591919
U-Net,0.5,0.5681254285375188
