Method,Test Size,MAE
IDW,0.1,103.0128931032508
Kriging,0.1,108.0108491976822
U-Net,0.1,1.57871464858744
Ensemble,0.1,76.79064408966313
U-Net,0.1,1.57871464858744
Splatformer,0.1,0.40907806158065796
IDW,0.1,102.49060337675152
Kriging,0.1,107.4885594711829
U-Net,0.1,0.8394080245157793
Ensemble,0.1,75.4555916585303
U-Net,0.1,0.8394080245157793
Splatformer,0.1,0.5832724571228027
IDW,0.1,101.69040684897189
Kriging,0.1,108.2517360520191
U-Net,0.1,0.31864703433195474
Ensemble,0.1,72.51786012484324
U-Net,0.1,0.31864703433195474
Splatformer,0.1,0.4082731306552887
IDW,0.1,100.2882766216083
Kriging,0.1,104.48625428805326
U-Net,0.1,0.5069270418088514
Ensemble,0.1,74.40941756908637
U-Net,0.1,0.5069270418088514
Splatformer,0.1,0.31299349665641785
IDW,0.1,100.2882766216083
Kriging,0.1,104.48625428805326
U-Net,0.1,0.39489968646318196
Ensemble,0.1,74.40941756908637
U-Net,0.1,0.39489968646318196
Splatformer,0.1,0.44414088129997253
IDW,0.1,101.69040684897189
Kriging,0.1,108.2517360520191
U-Net,0.1,0.3991056268958133
Ensemble,0.1,72.51786012484324
U-Net,0.1,0.3991056268958133
Splatformer,0.1,0.40728864073753357
IDW,0.1,103.17956691565094
Kriging,0.1,108.16476615670581
U-Net,0.1,1.2393765352027186
Ensemble,0.1,76.16383983565494
U-Net,0.1,1.2393765352027186
Splatformer,0.1,0.3622882068157196
IDW,0.1,100.2882766216083
Kriging,0.1,104.48625428805326
U-Net,0.1,0.6337497316002163
Ensemble,0.1,74.40941756908637
U-Net,0.1,0.6337497316002163
Splatformer,0.1,0.2994464635848999
IDW,0.1,100.2882766216083
Kriging,0.1,104.48625428805326
U-Net,0.1,0.3225436881437113
Ensemble,0.1,74.40941756908637
U-Net,0.1,0.3225436881437113
Splatformer,0.1,0.26868611574172974
IDW,0.1,102.49060337675152
Kriging,0.1,107.4885594711829
U-Net,0.1,0.890542823394058
Ensemble,0.1,75.4555916585303
U-Net,0.1,0.890542823394058
Splatformer,0.1,0.4542982876300812
IDW,0.1,102.49060337675152
Kriging,0.1,107.4885594711829
U-Net,0.1,0.8361492330802822
Ensemble,0.1,75.4555916585303
U-Net,0.1,0.8361492330802822
Splatformer,0.1,0.6344656944274902
IDW,0.1,103.00684993763728
Kriging,0.1,108.00480603206866
U-Net,0.1,1.0101131193092332
Ensemble,0.1,75.56129774442772
U-Net,0.1,1.0101131193092332
Splatformer,0.1,0.2971954047679901
IDW,0.1,103.00684993763728
Kriging,0.1,108.00480603206866
U-Net,0.1,1.389028534799306
Ensemble,0.1,75.56129774442772
U-Net,0.1,1.389028534799306
Splatformer,0.1,0.33552688360214233
IDW,0.1,103.30673356364542
Kriging,0.1,108.30468965807681
U-Net,0.1,0.9603719690134939
Ensemble,0.1,76.3232387367197
U-Net,0.1,0.9603719690134939
Splatformer,0.1,0.48357054591178894
IDW,0.1,103.30673356364542
Kriging,0.1,108.30468965807681
U-Net,0.1,0.6346398161744664
Ensemble,0.1,76.3232387367197
U-Net,0.1,0.6346398161744664
Splatformer,0.1,0.5080284476280212
IDW,0.2,102.71355188303455
Kriging,0.2,107.71150797746597
U-Net,0.2,0.35258399527235096
Ensemble,0.2,75.5528426264115
U-Net,0.2,0.35258399527235096
Splatformer,0.2,0.5044702291488647
IDW,0.2,102.62896700566405
Kriging,0.2,108.54169688288819
U-Net,0.2,0.6799197784690787
Ensemble,0.2,74.43002147315045
U-Net,0.2,0.6799197784690787
Splatformer,0.2,0.48062899708747864
IDW,0.2,102.71355188303455
Kriging,0.2,107.71150797746597
U-Net,0.2,0.5052293197334142
Ensemble,0.2,75.5528426264115
U-Net,0.2,0.5052293197334142
Splatformer,0.2,0.44502636790275574
IDW,0.2,103.36110794913047
Kriging,0.2,108.43595530958476
U-Net,0.2,2.1095698125538904
Ensemble,0.2,76.19096386344468
U-Net,0.2,2.1095698125538904
Splatformer,0.2,0.5965339541435242
IDW,0.2,102.71355188303455
Kriging,0.2,107.71150797746597
U-Net,0.2,0.6682916052476151
Ensemble,0.2,75.5528426264115
U-Net,0.2,0.6682916052476151
Splatformer,0.2,0.5019274950027466
IDW,0.2,103.20379725830688
Kriging,0.2,108.1948661739378
U-Net,0.2,0.7322154998354151
Ensemble,0.2,76.19719703059856
U-Net,0.2,0.7322154998354151
Splatformer,0.2,0.48557019233703613
IDW,0.2,103.11916311711595
Kriging,0.2,108.11711921154735
U-Net,0.2,0.6905763997997902
Ensemble,0.2,75.96519263964825
U-Net,0.2,0.6905763997997902
Splatformer,0.2,0.3198491930961609
IDW,0.2,102.53860872167499
Kriging,0.2,107.38391638812068
U-Net,0.2,0.6192942191132391
Ensemble,0.2,75.24301089500631
U-Net,0.2,0.6192942191132391
Splatformer,0.2,0.2542843222618103
IDW,0.2,102.71355188303455
Kriging,0.2,107.71150797746597
U-Net,0.2,1.7088813385738026
Ensemble,0.2,75.5528426264115
U-Net,0.2,1.7088813385738026
Splatformer,0.2,0.4047369062900543
IDW,0.2,101.5639852710948
Kriging,0.2,107.91222540116969
U-Net,0.2,5.387876042209151
Ensemble,0.2,72.68841038620943
U-Net,0.2,5.387876042209151
Splatformer,0.2,0.47666850686073303
IDW,0.2,102.62896700566405
Kriging,0.2,108.54169688288819
U-Net,0.2,0.9320684008583996
Ensemble,0.2,74.43002147315045
U-Net,0.2,0.9320684008583996
Splatformer,0.2,0.35006576776504517
IDW,0.2,103.10406787735754
Kriging,0.2,108.09484346749319
U-Net,0.2,0.45078796238230234
Ensemble,0.2,75.90045317302268
U-Net,0.2,0.45078796238230234
Splatformer,0.2,0.4920298755168915
IDW,0.2,102.65084628910965
Kriging,0.2,107.54404330368568
U-Net,0.2,1.778344295959586
Ensemble,0.2,75.4104562928949
U-Net,0.2,1.778344295959586
Splatformer,0.2,0.3965691030025482
IDW,0.2,103.45841684040663
Kriging,0.2,108.52443179759736
U-Net,0.2,1.6496028378658711
Ensemble,0.2,76.42591953558409
U-Net,0.2,1.6496028378658711
Splatformer,0.2,0.4269879460334778
IDW,0.2,102.37324122101008
Kriging,0.2,108.21185717319248
U-Net,0.2,0.7721571258127288
Ensemble,0.2,74.18967521175202
U-Net,0.2,0.7721571258127288
Splatformer,0.2,0.3196697235107422
IDW,0.3,102.88466198321076
Kriging,0.3,107.88261807764214
U-Net,0.3,0.6048562294736437
Ensemble,0.3,75.77507227361578
U-Net,0.3,0.6048562294736437
Splatformer,0.3,0.38940706849098206
IDW,0.3,102.55279262655132
Kriging,0.3,108.15543388182117
U-Net,0.3,1.3708743439217277
Ensemble,0.3,74.91977173888496
U-Net,0.3,1.3708743439217277
Splatformer,0.3,0.35807886719703674
IDW,0.3,103.34523993780216
Kriging,0.3,108.39764821284118
U-Net,0.3,0.7019778914362858
Ensemble,0.3,76.22956548015917
U-Net,0.3,0.7019778914362858
Splatformer,0.3,0.4274219870567322
IDW,0.3,102.32727477791957
Kriging,0.3,107.92778092462997
U-Net,0.3,0.5820893792279584
Ensemble,0.3,74.69418886079197
U-Net,0.3,0.5820893792279584
Splatformer,0.3,0.2862749993801117
IDW,0.3,103.25969291054618
Kriging,0.3,108.3125282615115
U-Net,0.3,0.6530266892978199
Ensemble,0.3,76.01070650388297
