Method,Test Size,MAE
IDW,0.1,0.6625621539427138
Kriging,0.1,0.7830957119653684
Ensemble,0.1,0.6984252505642339
U-Net,0.1,1.2834058271736675
[OURS] Splatformer,0.1,1.8192005157470703
U-Net,0.1,1.2834058271736675
IDW,0.1,0.36574254706192355
Kriging,0.1,0.374515835858091
Ensemble,0.1,0.5359125117632298
U-Net,0.1,0.4142326812386597
[OURS] Splatformer,0.1,0.6998913288116455
U-Net,0.1,0.4142326812386597
IDW,0.1,0.5569042760836579
Kriging,0.1,0.4129825623123664
Ensemble,0.1,0.33957352101992355
U-Net,0.1,0.41920344597527337
[OURS] Splatformer,0.1,2.1133382320404053
U-Net,0.1,0.41920344597527337
IDW,0.2,0.4662862600013323
Kriging,0.2,0.4129235962353059
Ensemble,0.2,0.6418263137422877
U-Net,0.2,0.47378055349275144
[OURS] Splatformer,0.2,2.359281301498413
U-Net,0.2,0.47378055349275144
IDW,0.2,0.5270985822078316
Kriging,0.2,0.5798673642118903
Ensemble,0.2,0.5411420059703483
U-Net,0.2,0.30253331543104056
[OURS] Splatformer,0.2,0.7988160848617554
U-Net,0.2,0.30253331543104056
IDW,0.2,0.6046210605551268
Kriging,0.2,0.5532791568789436
Ensemble,0.2,0.7484020948745035
U-Net,0.2,0.8520095037759663
[OURS] Splatformer,0.2,1.345394253730774
U-Net,0.2,0.8520095037759663
IDW,0.3,0.6147255185214467
Kriging,0.3,0.54300103080372
Ensemble,0.3,0.8570193680968693
U-Net,0.3,2.0960246619186393
[OURS] Splatformer,0.3,0.9953286051750183
U-Net,0.3,2.0960246619186393
IDW,0.3,0.4680639582919012
Kriging,0.3,0.44468225199530126
Ensemble,0.3,0.5212315831207885
U-Net,0.3,0.6689785311014587
[OURS] Splatformer,0.3,1.1122256517410278
U-Net,0.3,0.6689785311014587
IDW,0.3,0.6939871348915035
Kriging,0.3,0.6081220746363208
Ensemble,0.3,0.6091803163433699
U-Net,0.3,2.8335236788625178
[OURS] Splatformer,0.3,1.1325472593307495
U-Net,0.3,2.8335236788625178
IDW,0.4,0.556752079790792
Kriging,0.4,0.45348282804641127
Ensemble,0.4,0.6330805803556177
U-Net,0.4,0.8344735691526732
[OURS] Splatformer,0.4,1.4258469343185425
U-Net,0.4,0.8344735691526732
IDW,0.4,0.6338830242884693
Kriging,0.4,0.5541512621942555
Ensemble,0.4,0.5902539027698283
U-Net,0.4,2.8890849905925493
[OURS] Splatformer,0.4,1.8662784099578857
U-Net,0.4,2.8890849905925493
IDW,0.4,0.47644750602295405
Kriging,0.4,0.46057969659500153
Ensemble,0.4,0.5848665853031114
U-Net,0.4,0.5024716359746294
[OURS] Splatformer,0.4,0.7914115786552429
U-Net,0.4,0.5024716359746294
IDW,0.5,0.5094126999931912
Kriging,0.5,0.6133597320386298
Ensemble,0.5,0.500311648188508
U-Net,0.5,0.6150592300359208
[OURS] Splatformer,0.5,0.8666562438011169
U-Net,0.5,0.6150592300359208
IDW,0.5,0.5970379597800195
Kriging,0.5,0.864354536687297
Ensemble,0.5,0.6796357446997868
U-Net,0.5,0.8735435304908201
[OURS] Splatformer,0.5,0.9026786684989929
U-Net,0.5,0.8735435304908201
IDW,0.5,0.6043627414218554
Kriging,0.5,0.7151870695656217
Ensemble,0.5,0.6477821811527034
U-Net,0.5,1.0383441357687402
[OURS] Splatformer,0.5,1.8202708959579468
U-Net,0.5,1.0383441357687402
