Method,Test Size,MAE
IDW,0.1,0.3940826904014444
Kriging,0.1,0.5030501635254131
Ensemble,0.1,0.3680365147971743
U-Net,0.1,1.1442544889426323
[OURS] Splatformer,0.1,2.080808401107788
U-Net,0.1,1.1442544889426323
IDW,0.1,0.3940826904014444
Kriging,0.1,0.5030501635254131
Ensemble,0.1,0.3680365147971743
U-Net,0.1,1.084958893560349
[OURS] Splatformer,0.1,1.8561944961547852
U-Net,0.1,1.084958893560349
IDW,0.1,0.3940826904014444
Kriging,0.1,0.5030501635254131
Ensemble,0.1,0.3680365147971743
U-Net,0.1,1.2034895462189883
[OURS] Splatformer,0.1,1.074618935585022
U-Net,0.1,1.2034895462189883
IDW,0.2,0.3347251847423868
Kriging,0.2,0.4479576758958457
Ensemble,0.2,0.2582220229499434
U-Net,0.2,2.6682000186965023
[OURS] Splatformer,0.2,2.302044630050659
U-Net,0.2,2.6682000186965023
IDW,0.2,0.3347251847423868
Kriging,0.2,0.4479576758958457
Ensemble,0.2,0.2582220229499434
U-Net,0.2,2.7047955928968452
[OURS] Splatformer,0.2,0.9280830025672913
U-Net,0.2,2.7047955928968452
IDW,0.2,0.3347251847423868
Kriging,0.2,0.4479576758958457
Ensemble,0.2,0.2582220229499434
U-Net,0.2,2.5149178209715037
[OURS] Splatformer,0.2,0.6425461769104004
U-Net,0.2,2.5149178209715037
IDW,0.3,0.3409863086557172
Kriging,0.3,0.44964589972127156
Ensemble,0.3,0.3100313094342164
U-Net,0.3,0.6765956573452768
[OURS] Splatformer,0.3,0.9871767163276672
U-Net,0.3,0.6765956573452768
IDW,0.3,0.3409863086557172
Kriging,0.3,0.44964589972127156
Ensemble,0.3,0.3100313094342164
U-Net,0.3,0.6781244715559858
[OURS] Splatformer,0.3,1.8042012453079224
U-Net,0.3,0.6781244715559858
IDW,0.3,0.3409863086557172
Kriging,0.3,0.44964589972127156
Ensemble,0.3,0.3100313094342164
U-Net,0.3,0.6916554937037447
[OURS] Splatformer,0.3,0.5691077709197998
U-Net,0.3,0.6916554937037447
IDW,0.4,0.34112933609951285
Kriging,0.4,0.4505802345495508
Ensemble,0.4,0.30961186195939744
U-Net,0.4,0.5771058473680876
[OURS] Splatformer,0.4,0.7069281935691833
U-Net,0.4,0.5771058473680876
IDW,0.4,0.34112933609951285
Kriging,0.4,0.4505802345495508
Ensemble,0.4,0.30961186195939744
U-Net,0.4,0.5530393258421147
[OURS] Splatformer,0.4,1.1991283893585205
U-Net,0.4,0.5530393258421147
IDW,0.4,0.34112933609951285
Kriging,0.4,0.4505802345495508
Ensemble,0.4,0.30961186195939744
U-Net,0.4,0.5735479754590267
[OURS] Splatformer,0.4,1.0194262266159058
U-Net,0.4,0.5735479754590267
IDW,0.5,0.35910619406531813
Kriging,0.5,0.4701048051465322
Ensemble,0.5,0.3472613226598256
U-Net,0.5,0.5846354524401706
[OURS] Splatformer,0.5,1.9989373683929443
U-Net,0.5,0.5846354524401706
IDW,0.5,0.35910619406531813
Kriging,0.5,0.4701048051465322
Ensemble,0.5,0.3472613226598256
U-Net,0.5,0.6750513990540978
[OURS] Splatformer,0.5,1.478277325630188
U-Net,0.5,0.6750513990540978
IDW,0.5,0.35910619406531813
Kriging,0.5,0.4701048051465322
Ensemble,0.5,0.3472613226598256
U-Net,0.5,0.5042526619762965
[OURS] Splatformer,0.5,0.8421032428741455
U-Net,0.5,0.5042526619762965
