model,metric,split,size,value
LinReg,mae,test,0.1,2.6129780122220865
LinReg,rmse,test,0.1,4.335125205424263
LinReg,mae,cross,0.1,18.431876384163033
LinReg,rmse,cross,0.1,19.817694057215352
ANN,mae,test,0.1,1.514892578125
ANN,rmse,test,0.1,2.9164110739411466
ANN,mae,cross,0.1,5.8778533935546875
ANN,rmse,cross,0.1,7.020279440780336
IDW,mae,test,0.1,0.9153490556686279
IDW,rmse,test,0.1,2.7051372254937798
IDW,mae,cross,0.1,11.527010410932505
IDW,rmse,cross,0.1,11.980223459725174
Kriging,mae,test,0.1,2.7678571429071326
Kriging,rmse,test,0.1,4.157525346491646
Kriging,mae,cross,0.1,10.767857142907133
Kriging,rmse,cross,0.1,11.605774433328078
Ensemble,mae,test,0.1,0.6290314421975367
Ensemble,rmse,test,0.1,2.991532394074305
Ensemble,mae,cross,0.1,10.328233686175167
Ensemble,rmse,cross,0.1,10.639516034701126
LinReg,mae,test,0.2,2.554945201326344
LinReg,rmse,test,0.2,5.047054758421593
LinReg,mae,cross,0.2,19.460478834364764
LinReg,rmse,cross,0.2,21.016291675649448
ANN,mae,test,0.2,1.956756591796875
ANN,rmse,test,0.2,3.0833416398375904
ANN,mae,cross,0.2,4.429344177246094
ANN,rmse,cross,0.2,5.534766541148869
IDW,mae,test,0.2,1.034857012013461
IDW,rmse,test,0.2,2.9914407339817646
IDW,mae,cross,0.2,11.61992860665849
IDW,rmse,cross,0.2,12.029140572567337
Kriging,mae,test,0.2,2.840871021782064
Kriging,rmse,test,0.2,5.122481358520553
Kriging,mae,cross,0.2,10.84087102178151
Kriging,rmse,cross,0.2,11.672462945634074
Ensemble,mae,test,0.2,0.9228737605027888
Ensemble,rmse,test,0.2,2.9855723295121166
Ensemble,mae,cross,0.2,10.067513844319521
Ensemble,rmse,cross,0.2,10.48359005782482
LinReg,mae,test,0.3,2.6444507794233516
LinReg,rmse,test,0.3,5.0835535209033225
LinReg,mae,cross,0.3,19.768896298999195
LinReg,rmse,cross,0.3,21.52635030692215
ANN,mae,test,0.3,2.1695098876953125
ANN,rmse,test,0.3,3.6929475789758284
ANN,mae,cross,0.3,3.665802001953125
ANN,rmse,cross,0.3,5.093879307692796
IDW,mae,test,0.3,1.0693580853581466
IDW,rmse,test,0.3,3.1228313318933396
IDW,mae,cross,0.3,11.629513814740847
IDW,rmse,cross,0.3,12.028018801112177
Kriging,mae,test,0.3,3.160919540220519
Kriging,rmse,test,0.3,5.378140762048159
Kriging,mae,cross,0.3,10.839080459779481
Kriging,rmse,cross,0.3,11.670826598651015
Ensemble,mae,test,0.3,0.9529874669712015
Ensemble,rmse,test,0.3,3.522490157004115
Ensemble,mae,cross,0.3,10.356560872996212
Ensemble,rmse,cross,0.3,11.029086960461735
LinReg,mae,test,0.4,2.685081185701222
LinReg,rmse,test,0.4,4.877370543761276
LinReg,mae,cross,0.4,19.123132642633706
LinReg,rmse,cross,0.4,20.7156433315755
ANN,mae,test,0.4,1.7893524169921875
ANN,rmse,test,0.4,3.7412099658044924
ANN,mae,cross,0.4,3.9807968139648438
ANN,rmse,cross,0.4,6.019999114138618
IDW,mae,test,0.4,1.0969665427155633
IDW,rmse,test,0.4,3.0917959883871826
IDW,mae,cross,0.4,11.733628697694769
IDW,rmse,cross,0.4,12.149581966397758
Kriging,mae,test,0.4,3.066964285713418
Kriging,rmse,test,0.4,5.217546341589069
Kriging,mae,cross,0.4,10.933035714285964
Kriging,rmse,cross,0.4,11.756750511144064
Ensemble,mae,test,0.4,1.0039196464412115
Ensemble,rmse,test,0.4,3.5646881483696786
Ensemble,mae,cross,0.4,10.807543537431016
Ensemble,rmse,cross,0.4,11.271721686773622
LinReg,mae,test,0.5,2.70726586357263
LinReg,rmse,test,0.5,4.927278190542113
LinReg,mae,cross,0.5,18.653823633778586
LinReg,rmse,cross,0.5,20.098032401206833
ANN,mae,test,0.5,2.1879730224609375
ANN,rmse,test,0.5,3.843194103240454
ANN,mae,cross,0.5,4.920013427734375
ANN,rmse,cross,0.5,6.471208460068854
IDW,mae,test,0.5,1.4150489172004441
IDW,rmse,test,0.5,3.159327268834948
IDW,mae,cross,0.5,11.749603335285911
IDW,rmse,cross,0.5,12.191067081477536
Kriging,mae,test,0.5,3.0187667544797634
Kriging,rmse,test,0.5,5.479133213097033
Kriging,mae,cross,0.5,11.018766757702252
Kriging,rmse,cross,0.5,11.835259726619388
Ensemble,mae,test,0.5,1.132398059966718
Ensemble,rmse,test,0.5,3.5205515191111147
Ensemble,mae,cross,0.5,11.685932144575688
Ensemble,rmse,cross,0.5,11.838314439444977
LinReg,mae,test,0.1,2.9011556052327307
LinReg,rmse,test,0.1,4.197100165482037
LinReg,mae,cross,0.1,17.89968346221213
LinReg,rmse,cross,0.1,18.81875877514409
ANN,mae,test,0.1,1.825653076171875
ANN,rmse,test,0.1,3.0713872721579114
ANN,mae,cross,0.1,5.845542907714844
ANN,rmse,cross,0.1,6.737970342464144
IDW,mae,test,0.1,1.2903758476578133
IDW,rmse,test,0.1,2.385331151533935
IDW,mae,cross,0.1,11.605469377754872
IDW,rmse,cross,0.1,12.041556747035639
Kriging,mae,test,0.1,3.116071428492731
Kriging,rmse,test,0.1,4.927812333706153
Kriging,mae,cross,0.1,10.88392857150727
Kriging,rmse,cross,0.1,11.711825684179413
Ensemble,mae,test,0.1,0.5022562979243475
Ensemble,rmse,test,0.1,1.6559443754012777
Ensemble,mae,cross,0.1,10.296889639401073
Ensemble,rmse,cross,0.1,10.737886668857241
LinReg,mae,test,0.2,2.8560999882347744
LinReg,rmse,test,0.2,4.515171747526968
LinReg,mae,cross,0.2,17.95869919156602
LinReg,rmse,cross,0.2,19.0013414350879
ANN,mae,test,0.2,1.7119102478027344
ANN,rmse,test,0.2,3.411189310452983
ANN,mae,cross,0.2,7.458015441894531
ANN,rmse,cross,0.2,8.550876967751776
IDW,mae,test,0.2,1.251233198342483
IDW,rmse,test,0.2,2.6061346023389853
IDW,mae,cross,0.2,11.605108464388792
IDW,rmse,cross,0.2,12.03355006413459
Kriging,mae,test,0.2,2.9999999999327827
Kriging,rmse,test,0.2,4.883573609378397
Kriging,mae,cross,0.2,10.860971524220616
Kriging,rmse,cross,0.2,11.69083536224688
Ensemble,mae,test,0.2,0.8035429645164278
Ensemble,rmse,test,0.2,2.4273452175681833
Ensemble,mae,cross,0.2,10.31720969467149
Ensemble,rmse,cross,0.2,10.778301333577666
LinReg,mae,test,0.3,2.894673763339391
LinReg,rmse,test,0.3,4.626141512929823
LinReg,mae,cross,0.3,17.32494296417778
LinReg,rmse,cross,0.3,17.857169028334944
ANN,mae,test,0.3,1.9333038330078125
ANN,rmse,test,0.3,3.609954927268737
ANN,mae,cross,0.3,3.5469284057617188
ANN,rmse,cross,0.3,6.0306540073744355
IDW,mae,test,0.3,1.392005851687557
IDW,rmse,test,0.3,2.912599000694902
IDW,mae,cross,0.3,11.629150124637789
IDW,rmse,cross,0.3,12.084941680049537
