model,metric,split,size,value
LinReg,mae,test,0.1,2.024893059700293
LinReg,rmse,test,0.1,3.042903160073837
LinReg,mae,cross,0.1,38.21488159394087
LinReg,rmse,cross,0.1,38.919402479681786
ANN,mae,test,0.1,1.6659317016601562
ANN,rmse,test,0.1,2.723645574274415
ANN,mae,cross,0.1,3.9675674438476562
ANN,rmse,cross,0.1,4.722122720030231
IDW,mae,test,0.1,1.5769494968421824
IDW,rmse,test,0.1,2.351024592988549
IDW,mae,cross,0.1,10.390759572107527
IDW,rmse,cross,0.1,11.27108670811256
Kriging,mae,test,0.1,3.1141678130142054
Kriging,rmse,test,0.1,4.091462634144911
Kriging,mae,cross,0.1,10.885832186985795
Kriging,rmse,cross,0.1,11.713566548622019
Ensemble,mae,test,0.1,0.5654029117730595
Ensemble,rmse,test,0.1,1.672755085785059
Ensemble,mae,cross,0.1,4.470065115625232
Ensemble,rmse,cross,0.1,7.309269411933549
LinReg,mae,test,0.2,2.107447748198762
LinReg,rmse,test,0.2,3.0010966223571103
LinReg,mae,cross,0.2,38.55649935724756
LinReg,rmse,cross,0.2,39.26281353016572
ANN,mae,test,0.2,2.0700607299804688
ANN,rmse,test,0.2,2.6920591039238544
ANN,mae,cross,0.2,3.0210418701171875
ANN,rmse,cross,0.2,4.472702112130081
IDW,mae,test,0.2,1.507905066703941
IDW,rmse,test,0.2,2.565436249136054
IDW,mae,cross,0.2,10.32505542710146
IDW,rmse,cross,0.2,11.21368835228525
Kriging,mae,test,0.2,3.1711456854738245
Kriging,rmse,test,0.2,4.035540415485611
Kriging,mae,cross,0.2,10.828854314480623
Kriging,rmse,cross,0.2,11.661482064463344
Ensemble,mae,test,0.2,0.5676081035881246
Ensemble,rmse,test,0.2,1.926617140653067
Ensemble,mae,cross,0.2,5.0247823821623285
Ensemble,rmse,cross,0.2,7.808386466800619
LinReg,mae,test,0.3,2.0741350143170934
LinReg,rmse,test,0.3,3.4210643427182545
LinReg,mae,cross,0.3,35.777601609955354
LinReg,rmse,cross,0.3,36.770694304447844
ANN,mae,test,0.3,2.6475601196289062
ANN,rmse,test,0.3,3.1963666115351295
ANN,mae,cross,0.3,1.9883499145507812
ANN,rmse,cross,0.3,4.0280430133806355
IDW,mae,test,0.3,2.960702963957459
IDW,rmse,test,0.3,4.261707705099137
IDW,mae,cross,0.3,10.181502316397143
IDW,rmse,cross,0.3,11.078733203101244
Kriging,mae,test,0.3,3.723001971479036
Kriging,rmse,test,0.3,4.94071375824618
Kriging,mae,cross,0.3,11.684767793585905
Kriging,rmse,cross,0.3,11.782627304062
Ensemble,mae,test,0.3,1.978421176879671
Ensemble,rmse,test,0.3,4.130135831752292
Ensemble,mae,cross,0.3,3.3741450415484024
Ensemble,rmse,cross,0.3,6.745925709216274
LinReg,mae,test,0.4,2.0741350143170934
LinReg,rmse,test,0.4,3.4210643427182545
LinReg,mae,cross,0.4,35.777601609955354
LinReg,rmse,cross,0.4,36.770694304447844
ANN,mae,test,0.4,2.8267288208007812
ANN,rmse,test,0.4,3.3966161730524305
ANN,mae,cross,0.4,3.585113525390625
ANN,rmse,cross,0.4,5.062617565394707
IDW,mae,test,0.4,2.960702963957459
IDW,rmse,test,0.4,4.261707705099137
IDW,mae,cross,0.4,10.181502316397143
IDW,rmse,cross,0.4,11.078733203101244
Kriging,mae,test,0.4,3.723001971479036
Kriging,rmse,test,0.4,4.94071375824618
Kriging,mae,cross,0.4,11.684767793585905
Kriging,rmse,cross,0.4,11.782627304062
Ensemble,mae,test,0.4,1.978421176879671
Ensemble,rmse,test,0.4,4.130135831752292
Ensemble,mae,cross,0.4,3.3741450415484024
