model,metric,split,size,value
LinReg,mae,test,0.1,1.9537130694925082
LinReg,rmse,test,0.1,2.975577289161219
LinReg,mae,cross,0.1,38.23039125147832
LinReg,rmse,cross,0.1,38.952685054452886
ANN,mae,test,0.1,1.3151168823242188
ANN,rmse,test,0.1,2.3407183778338556
ANN,mae,cross,0.1,2.5901336669921875
ANN,rmse,cross,0.1,5.115779661415368
IDW,mae,test,0.1,0.9972786288804727
IDW,rmse,test,0.1,2.6425132341780526
IDW,mae,cross,0.1,10.234648487750803
IDW,rmse,cross,0.1,11.135686912746522
Kriging,mae,test,0.1,2.7678571429071326
Kriging,rmse,test,0.1,4.157525346491646
Kriging,mae,cross,0.1,10.767857142907133
Kriging,rmse,cross,0.1,11.605774433328078
Ensemble,mae,test,0.1,0.5187610394115296
Ensemble,rmse,test,0.1,2.531622992811627
Ensemble,mae,cross,0.1,5.584847011801131
Ensemble,rmse,cross,0.1,8.08313944249393
LinReg,mae,test,0.2,1.980958060634368
LinReg,rmse,test,0.2,3.20383780710277
LinReg,mae,cross,0.2,37.18564865991871
LinReg,rmse,cross,0.2,37.77241707166155
ANN,mae,test,0.2,1.4107227325439453
ANN,rmse,test,0.2,2.5761002731421545
ANN,mae,cross,0.2,4.78564453125
ANN,rmse,cross,0.2,5.458413411862744
IDW,mae,test,0.2,1.132815746283228
IDW,rmse,test,0.2,2.624412656910235
IDW,mae,cross,0.2,10.347707175875428
IDW,rmse,cross,0.2,11.23284384556292
Kriging,mae,test,0.2,2.840871021782064
Kriging,rmse,test,0.2,5.122481358520553
Kriging,mae,cross,0.2,10.84087102178151
Kriging,rmse,cross,0.2,11.672462945634074
Ensemble,mae,test,0.2,0.7864058010193951
Ensemble,rmse,test,0.2,2.373214634190664
Ensemble,mae,cross,0.2,4.579838740048615
Ensemble,rmse,cross,0.2,7.419881198842519
LinReg,mae,test,0.3,2.0150657465557487
LinReg,rmse,test,0.3,3.414562804646998
LinReg,mae,cross,0.3,37.63023646298403
LinReg,rmse,cross,0.3,38.27956480476168
ANN,mae,test,0.3,1.7761001586914062
ANN,rmse,test,0.3,2.9843317630223565
ANN,mae,cross,0.3,2.5867691040039062
ANN,rmse,cross,0.3,4.809377406243826
IDW,mae,test,0.3,1.175414757862697
IDW,rmse,test,0.3,2.6625232366412135
IDW,mae,cross,0.3,10.348764274842154
IDW,rmse,cross,0.3,11.232257932402554
Kriging,mae,test,0.3,3.160919540220519
Kriging,rmse,test,0.3,5.378140762048159
Kriging,mae,cross,0.3,10.839080459779481
Kriging,rmse,cross,0.3,11.670826598651015
Ensemble,mae,test,0.3,0.6613462057754305
Ensemble,rmse,test,0.3,2.2248877046059192
Ensemble,mae,cross,0.3,5.1891560715697125
Ensemble,rmse,cross,0.3,7.873225347045849
LinReg,mae,test,0.4,1.9891412402133142
LinReg,rmse,test,0.4,3.5233037081324765
LinReg,mae,cross,0.4,37.99093339002121
LinReg,rmse,cross,0.4,38.722131138133946
ANN,mae,test,0.4,1.7249679565429688
ANN,rmse,test,0.4,2.9385785885603366
ANN,mae,cross,0.4,8.346794128417969
ANN,rmse,cross,0.4,9.760149698036336
IDW,mae,test,0.4,1.1387391062514212
IDW,rmse,test,0.4,2.7185742819934835
IDW,mae,cross,0.4,10.383718907390005
IDW,rmse,cross,0.4,11.26759875350417
Kriging,mae,test,0.4,3.066964285713418
Kriging,rmse,test,0.4,5.217546341589069
Kriging,mae,cross,0.4,10.933035714285964
Kriging,rmse,cross,0.4,11.756750511144064
Ensemble,mae,test,0.4,0.7650002043124218
Ensemble,rmse,test,0.4,2.5581459696624425
Ensemble,mae,cross,0.4,5.253996941947733
Ensemble,rmse,cross,0.4,7.822774915411907
LinReg,mae,test,0.5,2.17626219901819
LinReg,rmse,test,0.5,3.565562815168353
LinReg,mae,cross,0.5,36.458655316630285
LinReg,rmse,cross,0.5,37.06901985185515
ANN,mae,test,0.5,1.96441650390625
ANN,rmse,test,0.5,3.1683895800064183
ANN,mae,cross,0.5,3.0836639404296875
ANN,rmse,cross,0.5,4.682339089386735
IDW,mae,test,0.5,1.287443249201413
IDW,rmse,test,0.5,2.806452972097555
IDW,mae,cross,0.5,10.504746574896231
IDW,rmse,cross,0.5,11.380795412938795
Kriging,mae,test,0.5,3.0187667544797634
Kriging,rmse,test,0.5,5.479133213097033
Kriging,mae,cross,0.5,11.018766757702252
Kriging,rmse,cross,0.5,11.835259726619388
Ensemble,mae,test,0.5,0.9034680713668308
Ensemble,rmse,test,0.5,2.903127671883311
Ensemble,mae,cross,0.5,4.513655942140886
Ensemble,rmse,cross,0.5,7.3120569394288735
LinReg,mae,test,0.1,2.282535820223245
LinReg,rmse,test,0.1,3.0799241375319553
LinReg,mae,cross,0.1,38.30060697140348
LinReg,rmse,cross,0.1,39.04197321826666
ANN,mae,test,0.1,1.8116798400878906
ANN,rmse,test,0.1,2.5473305711918326
ANN,mae,cross,0.1,3.1327972412109375
ANN,rmse,cross,0.1,4.620258275324458
IDW,mae,test,0.1,1.3039380509183331
IDW,rmse,test,0.1,2.084179337597947
IDW,mae,cross,0.1,10.37877529299044
IDW,rmse,cross,0.1,11.263161517257341
Kriging,mae,test,0.1,3.116071428492731
Kriging,rmse,test,0.1,4.927812333706153
Kriging,mae,cross,0.1,10.88392857150727
Kriging,rmse,cross,0.1,11.711825684179413
Ensemble,mae,test,0.1,0.4544351974727192
Ensemble,rmse,test,0.1,1.48453576758148
Ensemble,mae,cross,0.1,4.868360683667859
Ensemble,rmse,cross,0.1,7.598574279874002
LinReg,mae,test,0.2,1.8487851304638028
LinReg,rmse,test,0.2,3.0911753259504526
LinReg,mae,cross,0.2,38.33810038769931
LinReg,rmse,cross,0.2,39.12537704878845
ANN,mae,test,0.2,1.6771697998046875
ANN,rmse,test,0.2,2.5199757906100535
ANN,mae,cross,0.2,3.105926513671875
ANN,rmse,cross,0.2,4.5011124798442825
IDW,mae,test,0.2,1.1700037056686199
IDW,rmse,test,0.2,2.2055529890565344
IDW,mae,cross,0.2,10.348813702126932
IDW,rmse,cross,0.2,11.233807693637106
Kriging,mae,test,0.2,2.9999999999327827
Kriging,rmse,test,0.2,4.883573609378397
Kriging,mae,cross,0.2,10.860971524220616
Kriging,rmse,cross,0.2,11.69083536224688
Ensemble,mae,test,0.2,0.40760676676226026
Ensemble,rmse,test,0.2,1.7204969728890316
Ensemble,mae,cross,0.2,4.864236583733415
Ensemble,rmse,cross,0.2,7.611666993960357
LinReg,mae,test,0.3,2.282796974980407
LinReg,rmse,test,0.3,3.5277572741329135
LinReg,mae,cross,0.3,39.562149643461865
LinReg,rmse,cross,0.3,40.320356416372015
ANN,mae,test,0.3,1.6112213134765625
ANN,rmse,test,0.3,2.934303465433927
ANN,mae,cross,0.3,2.5475234985351562
ANN,rmse,cross,0.3,4.4131639707770995
IDW,mae,test,0.3,1.2905158778789456
IDW,rmse,test,0.3,2.392807630004913
IDW,mae,cross,0.3,10.338616719732372
IDW,rmse,cross,0.3,11.229009889993035
Kriging,mae,test,0.3,3.1187739463556454
Kriging,rmse,test,0.3,5.075967339311164
Kriging,mae,cross,0.3,10.881226053644227
Kriging,rmse,cross,0.3,11.70935430711342
Ensemble,mae,test,0.3,0.7062726765293306
Ensemble,rmse,test,0.3,1.9841651792981767
Ensemble,mae,cross,0.3,5.012522161834568
Ensemble,rmse,cross,0.3,7.560366177588509
LinReg,mae,test,0.4,2.188624901373686
LinReg,rmse,test,0.4,3.435791282445309
LinReg,mae,cross,0.4,38.236322696689655
LinReg,rmse,cross,0.4,38.994758001374976
ANN,mae,test,0.4,1.8155364990234375
ANN,rmse,test,0.4,2.797600915022577
ANN,mae,cross,0.4,3.6457366943359375
ANN,rmse,cross,0.4,6.390116120288133
IDW,mae,test,0.4,1.2786733522003715
IDW,rmse,test,0.4,2.593512946446193
IDW,mae,cross,0.4,10.321009031578654
IDW,rmse,cross,0.4,11.211615507952063
Kriging,mae,test,0.4,3.142857142770694
Kriging,rmse,test,0.4,5.327497204991975
Kriging,mae,cross,0.4,10.857142857229306
Kriging,rmse,cross,0.4,11.687335415873465
Ensemble,mae,test,0.4,0.7911852930321714
Ensemble,rmse,test,0.4,2.174391560217215
Ensemble,mae,cross,0.4,4.587167859794519
Ensemble,rmse,cross,0.4,7.230404626963942
LinReg,mae,test,0.5,2.0792408725705656
LinReg,rmse,test,0.5,3.3723706551880492
LinReg,mae,cross,0.5,35.70116543062851
LinReg,rmse,cross,0.5,36.491397635745976
ANN,mae,test,0.5,1.8443717956542969
ANN,rmse,test,0.5,2.820574089242076
ANN,mae,cross,0.5,2.6862869262695312
ANN,rmse,cross,0.5,4.092608306801836
IDW,mae,test,0.5,1.322255242175416
IDW,rmse,test,0.5,2.6838537833001515
IDW,mae,cross,0.5,10.340034769816953
IDW,rmse,cross,0.5,11.225276693474658
Kriging,mae,test,0.5,3.152815013396861
Kriging,rmse,test,0.5,5.189285944894336
Kriging,mae,cross,0.5,10.84718498660314
Kriging,rmse,cross,0.5,11.678233471293213
Ensemble,mae,test,0.5,0.9604450906616435
Ensemble,rmse,test,0.5,2.320566916213601
Ensemble,mae,cross,0.5,4.80481096382681
Ensemble,rmse,cross,0.5,7.433602640759888
LinReg,mae,test,0.1,1.741064939475642
LinReg,rmse,test,0.1,2.8258436474291297
LinReg,mae,cross,0.1,37.38959336143827
LinReg,rmse,cross,0.1,38.0511809202507
ANN,mae,test,0.1,1.4146499633789062
ANN,rmse,test,0.1,2.364061175626673
ANN,mae,cross,0.1,5.834724426269531
ANN,rmse,cross,0.1,6.792682487350244
IDW,mae,test,0.1,1.3116206695230659
IDW,rmse,test,0.1,2.220381472903639
IDW,mae,cross,0.1,10.409971361363617
IDW,rmse,cross,0.1,11.290104125415684
Kriging,mae,test,0.1,2.9255952380944166
Kriging,rmse,test,0.1,5.515080978306176
Kriging,mae,cross,0.1,10.925595238094175
Kriging,rmse,cross,0.1,11.749941567740454
Ensemble,mae,test,0.1,0.7466894208752208
Ensemble,rmse,test,0.1,1.7575749914865202
Ensemble,mae,cross,0.1,4.34143544007901
Ensemble,rmse,cross,0.1,7.43188268939774
LinReg,mae,test,0.2,1.8443105759898621
LinReg,rmse,test,0.2,3.1929374553428995
LinReg,mae,cross,0.2,35.84833490409686
LinReg,rmse,cross,0.2,36.3651984120097
ANN,mae,test,0.2,1.5569000244140625
ANN,rmse,test,0.2,2.624361783719684
ANN,mae,cross,0.2,3.9774627685546875
ANN,rmse,cross,0.2,6.310543441909138
IDW,mae,test,0.2,1.1973967577945608
IDW,rmse,test,0.2,2.3355381845972523
IDW,mae,cross,0.2,10.43816335963814
IDW,rmse,cross,0.2,11.318048150274436
Kriging,mae,test,0.2,2.9681742044775064
Kriging,rmse,test,0.2,5.082441050428689
Kriging,mae,cross,0.2,10.968174204477506
