model,metric,split,size,value
LinReg,mae,test,0.1,2.1838760933679
LinReg,rmse,test,0.1,3.3440845924816305
LinReg,mae,cross,0.1,14.431411658808791
LinReg,rmse,cross,0.1,15.353465808455157
ANN,mae,test,0.1,2.0633392333984375
ANN,rmse,test,0.1,2.7304150916323335
ANN,mae,cross,0.1,2.786651611328125
ANN,rmse,cross,0.1,5.1363952250505225
IDW,mae,test,0.1,0.6453898563281797
IDW,rmse,test,0.1,1.9654191281318827
IDW,mae,cross,0.1,10.875211192841704
IDW,rmse,cross,0.1,11.298592611111136
Kriging,mae,test,0.1,1.3885336736955054
Kriging,rmse,test,0.1,2.8260835022305617
Kriging,mae,cross,0.1,11.727620323767255
Kriging,rmse,cross,0.1,12.284384110175585
Ensemble,mae,test,0.1,0.44206945694871536
Ensemble,rmse,test,0.1,1.5679864208987802
Ensemble,mae,cross,0.1,3.934052858322204
Ensemble,rmse,cross,0.1,6.070210291255
LinReg,mae,test,0.2,2.3165860208398854
LinReg,rmse,test,0.2,3.388178815853869
LinReg,mae,cross,0.2,13.488428702464056
LinReg,rmse,cross,0.2,14.45014821603724
ANN,mae,test,0.2,1.9119186401367188
ANN,rmse,test,0.2,2.6327126473823097
ANN,mae,cross,0.2,2.195903778076172
ANN,rmse,cross,0.2,4.458221360169231
IDW,mae,test,0.2,0.6464242771251207
IDW,rmse,test,0.2,2.192156817593846
IDW,mae,cross,0.2,10.906882759254671
IDW,rmse,cross,0.2,11.313747039435592
Kriging,mae,test,0.2,1.3571995163087323
Kriging,rmse,test,0.2,3.238287564446936
Kriging,mae,cross,0.2,11.82700095104299
Kriging,rmse,cross,0.2,12.271263859427185
Ensemble,mae,test,0.2,0.49208672128947484
Ensemble,rmse,test,0.2,1.9963179928768044
Ensemble,mae,cross,0.2,4.055099438395715
Ensemble,rmse,cross,0.2,6.1387904310017145
LinReg,mae,test,0.3,2.2276924341796587
LinReg,rmse,test,0.3,3.223457421040414
LinReg,mae,cross,0.3,14.282217835245348
LinReg,rmse,cross,0.3,15.131151062071076
ANN,mae,test,0.3,1.5892410278320312
ANN,rmse,test,0.3,2.8580159587836302
ANN,mae,cross,0.3,2.7304611206054688
ANN,rmse,cross,0.3,5.0707733426391
IDW,mae,test,0.3,0.6912103932523905
IDW,rmse,test,0.3,2.2582022864750746
IDW,mae,cross,0.3,10.900774823586374
IDW,rmse,cross,0.3,11.311913359075962
Kriging,mae,test,0.3,1.7605265271709953
Kriging,rmse,test,0.3,3.404719030688058
Kriging,mae,cross,0.3,11.911375146061786
Kriging,rmse,cross,0.3,12.18385452955374
Ensemble,mae,test,0.3,0.7056550777633248
Ensemble,rmse,test,0.3,2.169777807515233
Ensemble,mae,cross,0.3,4.5815035599975715
Ensemble,rmse,cross,0.3,6.5084593083050715
LinReg,mae,test,0.4,2.3892954345710535
LinReg,rmse,test,0.4,3.3000590860269097
LinReg,mae,cross,0.4,12.833393564734514
LinReg,rmse,cross,0.4,13.88108847826757
ANN,mae,test,0.4,1.5036163330078125
ANN,rmse,test,0.4,2.652030574744103
ANN,mae,cross,0.4,4.891517639160156
ANN,rmse,cross,0.4,5.849083673626457
IDW,mae,test,0.4,0.8382252145492544
IDW,rmse,test,0.4,2.3601851788021673
IDW,mae,cross,0.4,10.880508669026455
IDW,rmse,cross,0.4,11.296889855497493
Kriging,mae,test,0.4,1.842878225815582
Kriging,rmse,test,0.4,3.6801814695400368
Kriging,mae,cross,0.4,11.675964627069433
Kriging,rmse,cross,0.4,12.117463027104849
Ensemble,mae,test,0.4,0.7291325145514236
Ensemble,rmse,test,0.4,2.3917283591497247
Ensemble,mae,cross,0.4,4.99732651784835
Ensemble,rmse,cross,0.4,6.532503538836737
LinReg,mae,test,0.5,2.3425262899381742
LinReg,rmse,test,0.5,3.315712694578162
LinReg,mae,cross,0.5,14.38139441553217
LinReg,rmse,cross,0.5,15.318721710588603
ANN,mae,test,0.5,1.9341545104980469
ANN,rmse,test,0.5,2.959966282761584
ANN,mae,cross,0.5,3.093017578125
ANN,rmse,cross,0.5,4.934920495644953
IDW,mae,test,0.5,1.0000669973291991
IDW,rmse,test,0.5,2.541929634471943
IDW,mae,cross,0.5,10.931840322558799
IDW,rmse,cross,0.5,11.343585079808713
Kriging,mae,test,0.5,2.339920948644526
Kriging,rmse,test,0.5,4.321603601845218
Kriging,mae,cross,0.5,11.660079050708731
Kriging,rmse,cross,0.5,11.953358905984725
Ensemble,mae,test,0.5,0.8066189860127722
Ensemble,rmse,test,0.5,2.531396274624585
Ensemble,mae,cross,0.5,5.749124811100785
Ensemble,rmse,cross,0.5,7.46822006766219
LinReg,mae,test,0.1,2.8587653398320896
LinReg,rmse,test,0.1,3.309323480204935
LinReg,mae,cross,0.1,13.844563791991959
LinReg,rmse,cross,0.1,14.869938737043826
ANN,mae,test,0.1,1.3233566284179688
ANN,rmse,test,0.1,2.59525967397151
ANN,mae,cross,0.1,2.8353347778320312
ANN,rmse,cross,0.1,5.52808802284538
IDW,mae,test,0.1,0.8782135350273705
IDW,rmse,test,0.1,2.3505009472456004
IDW,mae,cross,0.1,10.943821834206418
IDW,rmse,cross,0.1,11.35868283812125
