model,metric,split,size,value
LinReg,mae,test,0.1,3.05236086042747
LinReg,rmse,test,0.1,3.875760194020797
LinReg,mae,cross,0.1,2.0678448509746232
LinReg,rmse,cross,0.1,3.407999179582002
ANN,mae,test,0.1,2.6751708984375
ANN,rmse,test,0.1,3.1750732060481357
ANN,mae,cross,0.1,1.6693115234375
ANN,rmse,cross,0.1,3.8262926741109298
IDW,mae,test,0.1,4.177906321975172
IDW,rmse,test,0.1,3.804464066086786
IDW,mae,cross,0.1,0.0
IDW,rmse,cross,0.1,1.3865167062110781
Kriging,mae,test,0.1,3.6541792037268124
Kriging,rmse,test,0.1,3.8374095716263157
Kriging,mae,cross,0.1,1.0942358130705543e-12
Kriging,rmse,cross,0.1,2.549460635644661
Ensemble,mae,test,0.1,3.4781314492803403
Ensemble,rmse,test,0.1,4.171334069572617
Ensemble,mae,cross,0.1,0.16814394070753735
Ensemble,rmse,cross,0.1,1.5731886340855485
LinReg,mae,test,0.2,4.170614917953664
LinReg,rmse,test,0.2,4.2428399554607825
LinReg,mae,cross,0.2,2.2620653341926555
LinReg,rmse,cross,0.2,3.4803549239329516
ANN,mae,test,0.2,2.706188201904297
ANN,rmse,test,0.2,3.6451938144212153
ANN,mae,cross,0.2,2.2338333129882812
ANN,rmse,cross,0.2,3.650851154958911
IDW,mae,test,0.2,2.7367820957683975
IDW,rmse,test,0.2,3.5727615405784054
IDW,mae,cross,0.2,1.4210854715202004e-14
IDW,rmse,cross,0.2,1.7419817732383018
Kriging,mae,test,0.2,3.200463585080321
Kriging,rmse,test,0.2,3.724379808531769
Kriging,mae,cross,0.2,1.4779288903810084e-12
Kriging,rmse,cross,0.2,2.704841818994857
Ensemble,mae,test,0.2,3.5369515854738367
Ensemble,rmse,test,0.2,4.556280788608039
Ensemble,mae,cross,0.2,0.2407331311556078
Ensemble,rmse,cross,0.2,2.207941691812137
LinReg,mae,test,0.3,3.2147627467154507
LinReg,rmse,test,0.3,4.08148816449626
LinReg,mae,cross,0.3,2.4250053646292997
LinReg,rmse,cross,0.3,3.549453705049039
ANN,mae,test,0.3,3.3898086547851562
ANN,rmse,test,0.3,3.8200379087099243
ANN,mae,cross,0.3,1.9376296997070312
ANN,rmse,cross,0.3,3.611218093681832
IDW,mae,test,0.3,2.784248126235454
IDW,rmse,test,0.3,3.6067560200501085
IDW,mae,cross,0.3,1.4210854715202004e-14
IDW,rmse,cross,0.3,2.0615908026218364
Kriging,mae,test,0.3,3.302259886994335
Kriging,rmse,test,0.3,4.310928557698865
Kriging,mae,cross,0.3,0.6977401129831833
Kriging,rmse,cross,0.3,3.315193663531884
Ensemble,mae,test,0.3,2.983684049268021
Ensemble,rmse,test,0.3,5.326634805942686
Ensemble,mae,cross,0.3,0.29582791623370497
Ensemble,rmse,cross,0.3,3.0113730962733576
LinReg,mae,test,0.4,2.6443070735970196
LinReg,rmse,test,0.4,3.8074905211868995
LinReg,mae,cross,0.4,2.346243138836357
LinReg,rmse,cross,0.4,3.5078615538921545
ANN,mae,test,0.4,2.01739501953125
ANN,rmse,test,0.4,4.841333552369899
ANN,mae,cross,0.4,2.6597747802734375
ANN,rmse,cross,0.4,3.7388252745669495
IDW,mae,test,0.4,2.7074241265186743
IDW,rmse,test,0.4,3.9465958257940685
IDW,mae,cross,0.4,1.4210854715202004e-14
IDW,rmse,cross,0.4,2.560645327575114
Kriging,mae,test,0.4,3.279605263140567
Kriging,rmse,test,0.4,4.415096159672199
Kriging,mae,cross,0.4,0.7203947368670214
Kriging,rmse,cross,0.4,3.5416323949875235
Ensemble,mae,test,0.4,3.3419639353696056
Ensemble,rmse,test,0.4,4.535889698955709
Ensemble,mae,cross,0.4,0.48686765801154763
Ensemble,rmse,cross,0.4,2.9446735744255936
LinReg,mae,test,0.5,2.124811172600026
LinReg,rmse,test,0.5,3.806767065489068
LinReg,mae,cross,0.5,1.981399105346128
LinReg,rmse,cross,0.5,3.5225203270252146
ANN,mae,test,0.5,3.605815887451172
ANN,rmse,test,0.5,3.951874144333631
ANN,mae,cross,0.5,3.0757827758789062
ANN,rmse,cross,0.5,4.343949744751293
IDW,mae,test,0.5,2.2545178772401115
IDW,rmse,test,0.5,4.149512143480521
IDW,mae,cross,0.5,0.20083082949021502
IDW,rmse,cross,0.5,2.97971000579195
Kriging,mae,test,0.5,3.6600790513818566
Kriging,rmse,test,0.5,4.461554522367245
Kriging,mae,cross,0.5,1.6600790513818566
Kriging,rmse,cross,0.5,3.712435240793467
Ensemble,mae,test,0.5,2.7644359305219695
Ensemble,rmse,test,0.5,4.485120579265021
Ensemble,mae,cross,0.5,0.6332088433300527
Ensemble,rmse,cross,0.5,3.2290839271923306
LinReg,mae,test,0.1,3.05236086042747
LinReg,rmse,test,0.1,3.875760194020797
LinReg,mae,cross,0.1,2.0678448509746232
LinReg,rmse,cross,0.1,3.407999179582002
ANN,mae,test,0.1,2.5764846801757812
ANN,rmse,test,0.1,3.3589690459663326
ANN,mae,cross,0.1,1.7637100219726562
ANN,rmse,cross,0.1,2.8942227461288588
IDW,mae,test,0.1,4.177906321975172
IDW,rmse,test,0.1,3.804464066086786
IDW,mae,cross,0.1,0.0
IDW,rmse,cross,0.1,1.3865167062110781
Kriging,mae,test,0.1,3.6541792037268124
Kriging,rmse,test,0.1,3.8374095716263157
Kriging,mae,cross,0.1,1.0942358130705543e-12
Kriging,rmse,cross,0.1,2.549460635644661
Ensemble,mae,test,0.1,3.4781314492803403
Ensemble,rmse,test,0.1,4.171334069572617
Ensemble,mae,cross,0.1,0.16814394070753735
Ensemble,rmse,cross,0.1,1.5731886340855485
LinReg,mae,test,0.2,4.170614917953664
LinReg,rmse,test,0.2,4.2428399554607825
LinReg,mae,cross,0.2,2.2620653341926555
LinReg,rmse,cross,0.2,3.4803549239329516
