model,metric,split,size,value
LinReg,mae,test,0.1,1.902585392003786
LinReg,rmse,test,0.1,3.4938000265385973
LinReg,mae,cross,0.1,1.9689013066874708
LinReg,rmse,cross,0.1,3.336577910343782
ANN,mae,test,0.1,1.9568862915039062
ANN,rmse,test,0.1,3.066803662345896
ANN,mae,cross,0.1,2.1856307983398438
ANN,rmse,cross,0.1,3.161079732929263
IDW,mae,test,0.1,3.7386441110548105
IDW,rmse,test,0.1,3.4147936116902455
IDW,mae,cross,0.1,0.0
IDW,rmse,cross,0.1,1.2804104263193692
Kriging,mae,test,0.1,3.6541792037268124
Kriging,rmse,test,0.1,3.8374095716263157
Kriging,mae,cross,0.1,1.0942358130705543e-12
Kriging,rmse,cross,0.1,2.549460635644661
Ensemble,mae,test,0.1,3.0223606245477868
Ensemble,rmse,test,0.1,3.715275535325668
Ensemble,mae,cross,0.1,0.16522514832961122
Ensemble,rmse,cross,0.1,1.4493930769273902
LinReg,mae,test,0.2,3.1856433068870373
LinReg,rmse,test,0.2,3.941043482510367
LinReg,mae,cross,0.2,2.09378589114327
LinReg,rmse,cross,0.2,3.394342473653608
ANN,mae,test,0.2,2.585041046142578
ANN,rmse,test,0.2,3.3566825681416006
ANN,mae,cross,0.2,1.9322433471679688
ANN,rmse,cross,0.2,2.881017894886301
IDW,mae,test,0.2,3.5699149890173985
IDW,rmse,test,0.2,3.615256160284013
IDW,mae,cross,0.2,1.4210854715202004e-14
IDW,rmse,cross,0.2,1.7595318683591348
Kriging,mae,test,0.2,3.200463585080321
Kriging,rmse,test,0.2,3.724379808531769
Kriging,mae,cross,0.2,1.4779288903810084e-12
Kriging,rmse,cross,0.2,2.704841818994857
Ensemble,mae,test,0.2,3.3275176544676697
Ensemble,rmse,test,0.2,4.493383620141855
Ensemble,mae,cross,0.2,0.23239051661538213
Ensemble,rmse,cross,0.2,2.1814653135007
LinReg,mae,test,0.3,2.5402520805920545
LinReg,rmse,test,0.3,4.085336921834589
LinReg,mae,cross,0.3,2.3561345560293745
LinReg,rmse,cross,0.3,3.5312702807816496
ANN,mae,test,0.3,2.3233489990234375
ANN,rmse,test,0.3,3.7156793830465897
ANN,mae,cross,0.3,2.34918212890625
ANN,rmse,cross,0.3,3.4509379954687285
IDW,mae,test,0.3,2.957783909608267
IDW,rmse,test,0.3,3.65325633136596
IDW,mae,cross,0.3,1.4210854715202004e-14
IDW,rmse,cross,0.3,2.086152862334225
Kriging,mae,test,0.3,3.302259886994335
Kriging,rmse,test,0.3,4.310928557698865
Kriging,mae,cross,0.3,0.6977401129831833
Kriging,rmse,cross,0.3,3.315193663531884
Ensemble,mae,test,0.3,2.8011080816073104
Ensemble,rmse,test,0.3,5.433083010282108
Ensemble,mae,cross,0.3,0.2700443356063289
Ensemble,rmse,cross,0.3,3.069077633012287
LinReg,mae,test,0.4,2.8114713585228515
LinReg,rmse,test,0.4,4.14729402422621
LinReg,mae,cross,0.4,2.3985062239847394
LinReg,rmse,cross,0.4,3.6332630709747704
ANN,mae,test,0.4,2.3874435424804688
ANN,rmse,test,0.4,3.8737604082490145
ANN,mae,cross,0.4,2.6000137329101562
ANN,rmse,cross,0.4,3.6067977046146837
IDW,mae,test,0.4,2.805795670794751
IDW,rmse,test,0.4,3.8886787072879287
IDW,mae,cross,0.4,1.4210854715202004e-14
IDW,rmse,cross,0.4,2.524917200965734
Kriging,mae,test,0.4,3.279605263140567
Kriging,rmse,test,0.4,4.415096159672199
Kriging,mae,cross,0.4,0.7203947368670214
Kriging,rmse,cross,0.4,3.5416323949875235
Ensemble,mae,test,0.4,2.9556712591836316
Ensemble,rmse,test,0.4,4.422385450953594
Ensemble,mae,cross,0.4,0.5389838704994219
Ensemble,rmse,cross,0.4,2.8745406907743756
LinReg,mae,test,0.5,3.076010723273278
LinReg,rmse,test,0.5,4.05107911413089
LinReg,mae,cross,0.5,2.3409805793744027
LinReg,rmse,cross,0.5,3.6423621566597104
ANN,mae,test,0.5,2.481891632080078
ANN,rmse,test,0.5,3.732568071699592
ANN,mae,cross,0.5,2.33197021484375
ANN,rmse,cross,0.5,4.3740263487205295
IDW,mae,test,0.5,2.464701881335017
IDW,rmse,test,0.5,4.146278467055532
IDW,mae,cross,0.5,0.1438324390878023
IDW,rmse,cross,0.5,2.9774539982726043
Kriging,mae,test,0.5,3.6600790513818566
Kriging,rmse,test,0.5,4.461554522367245
Kriging,mae,cross,0.5,1.6600790513818566
Kriging,rmse,cross,0.5,3.712435240793467
Ensemble,mae,test,0.5,2.8037116351304974
Ensemble,rmse,test,0.5,4.385342903273466
Ensemble,mae,cross,0.5,0.716778141007751
Ensemble,rmse,cross,0.5,3.1606375141560696
LinReg,mae,test,0.1,1.902585392003786
LinReg,rmse,test,0.1,3.4938000265385973
LinReg,mae,cross,0.1,1.9689013066874708
LinReg,rmse,cross,0.1,3.336577910343782
ANN,mae,test,0.1,1.784088134765625
ANN,rmse,test,0.1,2.9802058397107434
ANN,mae,cross,0.1,1.4573745727539062
ANN,rmse,cross,0.1,2.8353463248261916
IDW,mae,test,0.1,3.7386441110548105
IDW,rmse,test,0.1,3.4147936116902455
IDW,mae,cross,0.1,0.0
IDW,rmse,cross,0.1,1.2804104263193692
Kriging,mae,test,0.1,3.6541792037268124
Kriging,rmse,test,0.1,3.8374095716263157
Kriging,mae,cross,0.1,1.0942358130705543e-12
Kriging,rmse,cross,0.1,2.549460635644661
