Method,Test Size,MAE,,,,,,,,,,,,,,,,,,,,
IDW,0.1,4.527842927,,,,MAEt,,,,MAEu,,,,MAEe,,,,MAEi,,,,MAEk
Kriging,0.1,11.47970003,,Transformer,0.1,1.440533468,,U-Net,0.1,83.71304461,,Ensemble,0.1,3.380706292,,IDW,0.1,4.527842927,,Kriging,0.1,11.47970003
Ensemble,0.1,3.380706292,,Transformer,0.2,2.032837229,,U-Net,0.2,83.0330822,,Ensemble,0.2,3.334628001,,IDW,0.2,3.958100133,,Kriging,0.2,869.1140609
U-Net,0.1,83.71304461,,Transformer,0.3,1.844014045,,U-Net,0.3,82.87541522,,Ensemble,0.3,2.786424205,,IDW,0.3,3.142511956,,Kriging,0.3,9.211759761
Transformer,0.1,1.440533468,,Transformer,0.4,2.061470216,,U-Net,0.4,82.60489521,,Ensemble,0.4,2.809905132,,IDW,0.4,3.352020149,,Kriging,0.4,8.030194145
IDW,0.2,3.958100133,,Transformer,0.5,1.716725779,,U-Net,0.5,83.64776074,,Ensemble,0.5,2.67121868,,IDW,0.5,2.723846946,,Kriging,0.5,8.063919694
Kriging,0.2,869.1140609,,,,,,,,,,,,,,,,,,,,
Ensemble,0.2,3.334628001,,,,,,,,,,,,,,,,,,,,
U-Net,0.2,83.0330822,,,,,,,,,,,,,,,,,,,,
Transformer,0.2,2.032837229,,,,,,,,,,,,,,,,,,,,
IDW,0.3,3.142511956,,,,,,,,,,,,,,,,,,,,
Kriging,0.3,9.211759761,,,,,,,,,,,,,,,,,,,,
Ensemble,0.3,2.786424205,,,,,,,,,,,,,,,,,,,,
U-Net,0.3,82.87541522,,,,,,,,,,,,,,,,,,,,
Transformer,0.3,1.844014045,,,,,,,,,,,,,,,,,,,,
IDW,0.4,3.352020149,,,,,,,,,,,,,,,,,,,,
Kriging,0.4,8.030194145,,,,,,,,,,,,,,,,,,,,
Ensemble,0.4,2.809905132,,,,,,,,,,,,,,,,,,,,
U-Net,0.4,82.60489521,,,,,,,,,,,,,,,,,,,,
Transformer,0.4,2.061470216,,,,,,,,,,,,,,,,,,,,
IDW,0.5,2.723846946,,,,,,,,,,,,,,,,,,,,
Kriging,0.5,8.063919694,,,,,,,,,,,,,,,,,,,,
Ensemble,0.5,2.67121868,,,,,,,,,,,,,,,,,,,,
U-Net,0.5,83.64776074,,,,,,,,,,,,,,,,,,,,
Transformer,0.5,1.716725779,,,,,,,,,,,,,,,,,,,,
