Method,Test Size,MAE
IDW,0.1,1.3098954638669258
Kriging,0.1,3.3743157934340386
Ensemble,0.1,1.4368744184288873
U-Net,0.1,61.44436226772669
Transformer,0.1,1.547512690226237
IDW,0.2,0.7691516880152605
Kriging,0.2,2.568193812207711
Ensemble,0.2,1.272453833905828
U-Net,0.2,64.66613515008677
Transformer,0.2,2.205099888582725
IDW,0.3,0.8943335446828059
Kriging,0.3,3.4876484130435492
Ensemble,0.3,1.4535101913689672
U-Net,0.3,62.34480388142835
Transformer,0.3,1.6975969921126677
IDW,0.4,0.9847186462256865
Kriging,0.4,2.6626365261076512
Ensemble,0.4,1.5065329613796203
U-Net,0.4,64.41971193237455
Transformer,0.4,2.0425171681812833
IDW,0.5,1.59339800046829
Kriging,0.5,3.015576370625601
Ensemble,0.5,1.7714955725095574
U-Net,0.5,63.8251076442733
Transformer,0.5,1.4387130737304688
IDW,0.1,0.8229684604197443
Kriging,0.1,3.768938689182029
Ensemble,0.1,1.2898616194045431
U-Net,0.1,61.01456006003377
Transformer,0.1,1.5106802440824962
IDW,0.2,0.44913848758091746
Kriging,0.2,2.9797942264775585
Ensemble,0.2,1.3028306448848601
U-Net,0.2,64.5783235452376
Transformer,0.2,1.6280612402425538
IDW,0.3,1.0411716820788786
Kriging,0.3,2.7709692719709365
Ensemble,0.3,1.4716349256467072
U-Net,0.3,63.71579994347577
Transformer,0.3,1.750429730762467
IDW,0.4,1.2549052242607317
Kriging,0.4,3.912183521093493
Ensemble,0.4,1.430883561402949
U-Net,0.4,64.030888820178
Transformer,0.4,1.8387411832809448
IDW,0.5,1.302438785512286
Kriging,0.5,2.4237214291940963
Ensemble,0.5,1.5885569271706146
U-Net,0.5,64.06871633182358
Transformer,0.5,1.5423592575114151
IDW,0.1,1.0961930667643445
Kriging,0.1,3.4529460869708655
Ensemble,0.1,1.3376451276604469
U-Net,0.1,65.36551868666223
Transformer,0.1,1.264362755275908
IDW,0.2,1.2214508994512085
Kriging,0.2,3.7696585751520333
Ensemble,0.2,1.5906088246384777
U-Net,0.2,65.8846489372227
Transformer,0.2,1.4757301931205506
IDW,0.3,1.013649910108243
Kriging,0.3,3.590720608429008
Ensemble,0.3,1.561977139706479
U-Net,0.3,66.80613960152793
Transformer,0.3,1.6937611020844558
IDW,0.4,1.146312656574622
Kriging,0.4,3.3147887795070052
Ensemble,0.4,1.6295781149827069
U-Net,0.4,65.34151643103945
Transformer,0.4,1.8234445026942663
IDW,0.5,1.1981506813601275
Kriging,0.5,3.088824771614551
Ensemble,0.5,1.6687025595958322
U-Net,0.5,65.96237672057505
Transformer,0.5,1.362323975754807
IDW,0.1,0.6940870397622355
Kriging,0.1,3.6068246813314286
Ensemble,0.1,1.2090814788331685
U-Net,0.1,67.80896449768571
Transformer,0.1,2.0370118731544133
IDW,0.2,0.7691516880152605
Kriging,0.2,2.568193812207711
Ensemble,0.2,1.272453833905828
U-Net,0.2,64.21210312801279
