,Method,Test_Size,MAE
0,IDW,0.3,12.61528920352824
1,Krig,0.3,12.084179877090598
2,Ensemble,0.3,10.825685436297372
3,Transformer,0.3,106.77401129943503
4,IDW,0.3,3.887511909704821
5,Krig,0.3,3.3991144988154756
6,Ensemble,0.3,3.8192604424311276
7,Transformer,0.3,13.255649717514125
8,IDW,0.3,6.767486229544434
9,Krig,0.3,6.3262806255704955
10,Ensemble,0.3,6.583311209745884
11,Transformer,0.3,6.364406779661017
12,IDW,0.7,17.35304498054993
13,Krig,0.7,16.82193565411229
14,Ensemble,0.7,15.563441213319066
15,Transformer,0.3,17.993405494535814
