Method,Test Size,MAE
IDW,0.1,118.30275621885457
Kriging,0.1,95.44203637454018
U-Net,0.1,0.5138729946344855
Ensemble,0.1,82.33224466110353
U-Net,0.1,0.5138729946344855
Splatformer,0.1,0.7760964035987854
IDW,0.1,117.14126336610256
Kriging,0.1,94.28053020123201
U-Net,0.1,0.4350831942159079
Ensemble,0.1,81.88575157913778
U-Net,0.1,0.4350831942159079
Splatformer,0.1,1.0828825235366821
IDW,0.1,118.77126367954124
Kriging,0.1,96.47415872047924
U-Net,0.1,0.08543270794101783
Ensemble,0.1,84.1980392232894
U-Net,0.1,0.08543270794101783
Splatformer,0.1,0.6414493918418884
IDW,0.2,118.3832809386601
Kriging,0.2,95.61943240274856
U-Net,0.2,0.287886570245544
Ensemble,0.2,82.6529281014792
U-Net,0.2,0.287886570245544
Splatformer,0.2,1.1361414194107056
IDW,0.2,117.56837711539964
Kriging,0.2,94.70765050148405
U-Net,0.2,1.5251177910679696
Ensemble,0.2,81.9793446926782
U-Net,0.2,1.5251177910679696
Splatformer,0.2,1.1382412910461426
IDW,0.2,118.28213169593423
Kriging,0.2,95.46448860751065
U-Net,0.2,6.490776251291069
Ensemble,0.2,82.41879854590344
U-Net,0.2,6.490776251291069
Splatformer,0.2,0.620002269744873
IDW,0.3,117.51384251008413
Kriging,0.3,94.65311723566037
U-Net,0.3,0.44062663394592594
Ensemble,0.3,81.94327442149864
U-Net,0.3,0.44062663394592594
Splatformer,0.3,0.5913559794425964
IDW,0.3,117.9656295671505
Kriging,0.3,95.10490315673034
U-Net,0.3,0.6997363350935918
Ensemble,0.3,82.23689451936755
U-Net,0.3,0.6997363350935918
Splatformer,0.3,1.1312810182571411
IDW,0.3,117.58148524872175
Kriging,0.3,94.72075839036849
U-Net,0.3,0.37808032552153686
Ensemble,0.3,82.00547441606325
U-Net,0.3,0.37808032552153686
Splatformer,0.3,0.9359557032585144
IDW,0.4,118.1762408653588
Kriging,0.4,95.33151436678222
U-Net,0.4,0.6298273373268584
Ensemble,0.4,82.39916987917465
U-Net,0.4,0.6298273373268584
Splatformer,0.4,1.009239673614502
IDW,0.4,117.93243372718857
Kriging,0.4,95.07170703251522
U-Net,0.4,0.5266401377564398
Ensemble,0.4,82.22501638416219
U-Net,0.4,0.5266401377564398
Splatformer,0.4,0.7895323634147644
IDW,0.4,117.68438763890062
Kriging,0.4,94.83966078317894
U-Net,0.4,0.5002808974688523
Ensemble,0.4,82.13116246815008
U-Net,0.4,0.5002808974688523
Splatformer,0.4,0.9036830067634583
IDW,0.5,117.64017068248614
Kriging,0.5,94.77944241716393
U-Net,0.5,0.3649877538314209
Ensemble,0.5,82.06361177455774
U-Net,0.5,0.3649877538314209
Splatformer,0.5,0.9631502628326416
IDW,0.5,117.76442221476782
Kriging,0.5,94.91406703446188
U-Net,0.5,0.541489491438714
Ensemble,0.5,82.12840785462258
U-Net,0.5,0.541489491438714
Splatformer,0.5,0.9634262919425964
IDW,0.5,117.82212573539397
Kriging,0.5,94.97154278242897
U-Net,0.5,0.4872954772848047
Ensemble,0.5,82.20545422645826
U-Net,0.5,0.4872954772848047
Splatformer,0.5,1.0802149772644043
