Method,Test Size,MAE
IDW,0.1,103.04019681236504
Kriging,0.1,108.17143339968702
U-Net,0.1,1.6613364961948722
Ensemble,0.1,75.68953080298465
U-Net,0.1,1.6613364961948722
Splatformer,0.1,0.4494253098964691
IDW,0.1,103.04019681236504
Kriging,0.1,108.17143339968702
U-Net,0.1,0.777684508231938
Ensemble,0.1,75.68953080298465
U-Net,0.1,0.777684508231938
Splatformer,0.1,0.23500452935695648
IDW,0.1,103.04019681236504
Kriging,0.1,108.17143339968702
U-Net,0.1,0.4062518846548719
Ensemble,0.1,75.68953080298465
U-Net,0.1,0.4062518846548719
Splatformer,0.1,0.3138306438922882
IDW,0.1,103.04019681236504
Kriging,0.1,108.17143339968702
U-Net,0.1,0.5275160832651693
Ensemble,0.1,75.68953080298465
U-Net,0.1,0.5275160832651693
Splatformer,0.1,0.4836541712284088
IDW,0.1,103.04019681236504
Kriging,0.1,108.17143339968702
U-Net,0.1,0.5699131923989895
Ensemble,0.1,75.68953080298465
U-Net,0.1,0.5699131923989895
Splatformer,0.1,0.23370911180973053
IDW,0.1,103.04019681236504
Kriging,0.1,108.17143339968702
U-Net,0.1,0.44325150521965256
Ensemble,0.1,75.68953080298465
U-Net,0.1,0.44325150521965256
Splatformer,0.1,0.20695491135120392
IDW,0.1,103.04019681236504
Kriging,0.1,108.17143339968702
U-Net,0.1,1.0955230149315605
Ensemble,0.1,75.68953080298465
U-Net,0.1,1.0955230149315605
Splatformer,0.1,0.35207393765449524
IDW,0.1,103.04019681236504
Kriging,0.1,108.17143339968702
U-Net,0.1,0.5866596629348666
Ensemble,0.1,75.68953080298465
U-Net,0.1,0.5866596629348666
Splatformer,0.1,0.3070969581604004
IDW,0.1,103.04019681236504
Kriging,0.1,108.17143339968702
U-Net,0.1,0.41717195408121105
Ensemble,0.1,75.68953080298465
U-Net,0.1,0.41717195408121105
Splatformer,0.1,0.4162086844444275
IDW,0.1,103.04019681236504
Kriging,0.1,108.17143339968702
U-Net,0.1,0.8903214520138829
Ensemble,0.1,75.68953080298465
U-Net,0.1,0.8903214520138829
Splatformer,0.1,0.23021773993968964
IDW,0.1,103.04019681236504
Kriging,0.1,108.17143339968702
U-Net,0.1,0.935872098037016
Ensemble,0.1,75.68953080298465
U-Net,0.1,0.935872098037016
Splatformer,0.1,0.328264445066452
IDW,0.1,103.04019681236504
Kriging,0.1,108.17143339968702
U-Net,0.1,0.9000717093905473
Ensemble,0.1,75.68953080298465
U-Net,0.1,0.9000717093905473
Splatformer,0.1,0.25579124689102173
IDW,0.1,103.04019681236504
Kriging,0.1,108.17143339968702
U-Net,0.1,1.1407109934639958
Ensemble,0.1,75.68953080298465
U-Net,0.1,1.1407109934639958
Splatformer,0.1,0.40769168734550476
IDW,0.1,103.04019681236504
Kriging,0.1,108.17143339968702
U-Net,0.1,0.9167574622810425
Ensemble,0.1,75.68953080298465
U-Net,0.1,0.9167574622810425
Splatformer,0.1,0.29389387369155884
IDW,0.1,103.04019681236504
Kriging,0.1,108.17143339968702
U-Net,0.1,0.6355845576814723
Ensemble,0.1,75.68953080298465
U-Net,0.1,0.6355845576814723
Splatformer,0.1,0.2232333868741989
IDW,0.2,102.86855088361614
Kriging,0.2,108.02776649611057
U-Net,0.2,0.4524717292691428
Ensemble,0.2,75.5469624553626
U-Net,0.2,0.4524717292691428
Splatformer,0.2,0.40876999497413635
IDW,0.2,102.86855088361614
Kriging,0.2,108.02776649611057
U-Net,0.2,0.6962833637205448
Ensemble,0.2,75.5469624553626
U-Net,0.2,0.6962833637205448
Splatformer,0.2,0.3755497336387634
IDW,0.2,102.86855088361614
Kriging,0.2,108.02776649611057
