Method,Test Size,MAE
IDW,0.1,0.6700878200803702
Kriging,0.1,0.5313593531497469
Ensemble,0.1,0.7781400495368689
U-Net,0.1,0.397363075407898
[OURS] Splatformer,0.1,0.6271501779556274
U-Net,0.1,0.397363075407898
IDW,0.1,0.6232808175144448
Kriging,0.1,0.43167726391299155
Ensemble,0.1,0.3603689454777786
U-Net,0.1,0.5261538321377255
[OURS] Splatformer,0.1,0.7708035111427307
U-Net,0.1,0.5261538321377255
IDW,0.1,0.30791148927560696
Kriging,0.1,0.30958287250600774
Ensemble,0.1,0.41468729843115665
U-Net,0.1,0.4911882563412395
[OURS] Splatformer,0.1,0.9459996223449707
U-Net,0.1,0.4911882563412395
IDW,0.2,0.5046538135650821
Kriging,0.2,0.4987248467951664
Ensemble,0.2,0.5352603702659076
U-Net,0.2,0.391948159679559
[OURS] Splatformer,0.2,0.49095213413238525
U-Net,0.2,0.391948159679559
IDW,0.2,0.7109461408739081
Kriging,0.2,0.7226357557387051
Ensemble,0.2,0.6334561543513392
U-Net,0.2,0.5198930954287564
[OURS] Splatformer,0.2,0.6230120062828064
U-Net,0.2,0.5198930954287564
IDW,0.2,0.5663470946802511
Kriging,0.2,0.5088716889628676
Ensemble,0.2,0.8271912444074161
U-Net,0.2,13.175007595741553
[OURS] Splatformer,0.2,0.7316899299621582
U-Net,0.2,13.175007595741553
IDW,0.3,0.640875354811419
Kriging,0.3,0.5249324666764943
Ensemble,0.3,0.6384366269171151
U-Net,0.3,6.285042201522877
[OURS] Splatformer,0.3,0.5662894248962402
U-Net,0.3,6.285042201522877
IDW,0.3,0.654805616566403
Kriging,0.3,0.630011268928582
Ensemble,0.3,0.8460827642900466
U-Net,0.3,1.3319986943916173
[OURS] Splatformer,0.3,0.7196851968765259
U-Net,0.3,1.3319986943916173
IDW,0.3,0.5775798966538205
Kriging,0.3,0.5902112054385301
Ensemble,0.3,0.6646381632108598
U-Net,0.3,0.3680957760483531
[OURS] Splatformer,0.3,0.6751164197921753
U-Net,0.3,0.3680957760483531
IDW,0.4,0.6416705520000261
Kriging,0.4,0.5945522559226297
Ensemble,0.4,0.517735528496766
U-Net,0.4,1.9184393803757789
[OURS] Splatformer,0.4,0.5449631214141846
U-Net,0.4,1.9184393803757789
IDW,0.4,0.5708750076607132
Kriging,0.4,0.5604984258144852
Ensemble,0.4,0.5129382437705544
U-Net,0.4,0.4569227735898296
[OURS] Splatformer,0.4,0.5130051374435425
U-Net,0.4,0.4569227735898296
IDW,0.4,0.6159545056250377
Kriging,0.4,0.7287391591344238
Ensemble,0.4,0.7746322531404702
U-Net,0.4,0.5064343460173194
[OURS] Splatformer,0.4,0.9356898665428162
U-Net,0.4,0.5064343460173194
IDW,0.5,0.4998704349941481
Kriging,0.5,0.5130836485660976
Ensemble,0.5,0.48941810501088795
U-Net,0.5,0.4212254255356207
[OURS] Splatformer,0.5,0.7741769552230835
U-Net,0.5,0.4212254255356207
IDW,0.5,0.6255305729733676
Kriging,0.5,0.5623544858855555
Ensemble,0.5,0.7053038232521075
U-Net,0.5,1.0365012170804992
[OURS] Splatformer,0.5,0.32975471019744873
U-Net,0.5,1.0365012170804992
IDW,0.5,0.6016002768450252
Kriging,0.5,0.6851150716784762
Ensemble,0.5,0.6305270980079503
U-Net,0.5,0.551314522233151
[OURS] Splatformer,0.5,0.8893519639968872
U-Net,0.5,0.551314522233151
