Method,Test Size,MAE
IDW,0.1,3.1692278081790897
Kriging,0.1,3.268651208700663
RF,0.1,4.076619047619046
XGBoost,0.1,4.001055581229074
LightGBM,0.1,3.707691975749978
Ensemble,0.1,3.8494418920553954
Splatformer,0.1,71.53351593017578
U-Net,0.1,5.097196784841271
U-Net,0.1,5.097196784841271
IDW,0.1,5.193686054385341
Kriging,0.1,3.7210871978451325
RF,0.1,3.0246074074074083
XGBoost,0.1,2.7619959513346353
LightGBM,0.1,3.244615202423764
Ensemble,0.1,2.82909742600509
Splatformer,0.1,72.72865295410156
U-Net,0.1,1.0818478824083844
U-Net,0.1,1.0818478824083844
IDW,0.1,4.20402525961879
Kriging,0.1,3.3793100211222575
RF,0.1,3.6963809523809523
XGBoost,0.1,3.913075401669457
LightGBM,0.1,4.198443656811354
Ensemble,0.1,3.7330540771265612
Splatformer,0.1,77.76699829101562
U-Net,0.1,3.46069211297952
U-Net,0.1,3.46069211297952
IDW,0.1,5.818169795504932
Kriging,0.1,5.003088828391546
RF,0.1,3.6132037652270195
XGBoost,0.1,4.583947292594022
LightGBM,0.1,4.087595292914224
Ensemble,0.1,4.080651884353616
Splatformer,0.1,74.01823425292969
U-Net,0.1,7.4213897792114505
U-Net,0.1,7.4213897792114505
IDW,0.1,7.8542534640926105
Kriging,0.1,5.069064123128231
RF,0.1,9.539923469387755
XGBoost,0.1,6.72886644090925
LightGBM,0.1,4.99848051383777
Ensemble,0.1,6.807351804470079
Splatformer,0.1,75.6649169921875
U-Net,0.1,0.776098584523895
U-Net,0.1,0.776098584523895
IDW,0.15,3.1692278081790897
Kriging,0.15,3.268651208700663
RF,0.15,4.076619047619046
XGBoost,0.15,4.001055581229074
LightGBM,0.15,3.707691975749978
Ensemble,0.15,3.8494418920553954
Splatformer,0.15,71.37385559082031
U-Net,0.15,5.199949455453664
U-Net,0.15,5.199949455453664
IDW,0.15,5.818169795504932
Kriging,0.15,5.003088828391546
RF,0.15,3.6132037652270195
XGBoost,0.15,4.583947292594022
LightGBM,0.15,4.087595292914224
Ensemble,0.15,4.080651884353616
Splatformer,0.15,73.70101165771484
U-Net,0.15,4.901763939999954
U-Net,0.15,4.901763939999954
IDW,0.15,3.0002823752792747
Kriging,0.15,2.787801069948018
RF,0.15,5.097999999999998
XGBoost,0.15,4.591690356914814
LightGBM,0.15,2.9116835592914154
Ensemble,0.15,4.068609026204017
Splatformer,0.15,76.10926818847656
U-Net,0.15,1.4860022149953218
U-Net,0.15,1.4860022149953218
IDW,0.15,3.0002823752792747
Kriging,0.15,2.787801069948018
RF,0.15,5.097999999999998
XGBoost,0.15,4.591690356914814
LightGBM,0.15,2.9116835592914154
Ensemble,0.15,4.068609026204017
Splatformer,0.15,76.18164825439453
U-Net,0.15,3.836950583482184
U-Net,0.15,3.836950583482184
IDW,0.15,5.818169795504932
Kriging,0.15,5.003088828391546
RF,0.15,3.6132037652270195
XGBoost,0.15,4.583947292594022
LightGBM,0.15,4.087595292914224
