Method,Test Size,MAE
IDW,0.1,2.6900789543644437
Kriging,0.1,3.8548579774907346
RF,0.1,2.273091503267975
XGBoost,0.1,2.0976902082854627
LightGBM,0.1,2.632428828445348
Ensemble,0.1,2.3034415694351096
Splatformer,0.1,72.98407745361328
U-Net,0.1,5.267485445252213
U-Net,0.1,5.267485445252213
IDW,0.1,2.6900789543644437
Kriging,0.1,3.8548579774907346
RF,0.1,2.273091503267975
XGBoost,0.1,2.0976902082854627
LightGBM,0.1,2.632428828445348
Ensemble,0.1,2.3034415694351096
Splatformer,0.1,73.01347351074219
U-Net,0.1,1.15962867195074
U-Net,0.1,1.15962867195074
IDW,0.1,2.6900789543644437
Kriging,0.1,3.8548579774907346
RF,0.1,2.273091503267975
XGBoost,0.1,2.0976902082854627
LightGBM,0.1,2.632428828445348
Ensemble,0.1,2.3034415694351096
Splatformer,0.1,72.72966766357422
U-Net,0.1,3.2649928706880456
U-Net,0.1,3.2649928706880456
IDW,0.1,2.6900789543644437
Kriging,0.1,3.8548579774907346
RF,0.1,2.273091503267975
XGBoost,0.1,2.0976902082854627
LightGBM,0.1,2.632428828445348
Ensemble,0.1,2.3034415694351096
Splatformer,0.1,72.68302917480469
U-Net,0.1,7.205811196373016
U-Net,0.1,7.205811196373016
IDW,0.1,2.6900789543644437
Kriging,0.1,3.8548579774907346
RF,0.1,2.273091503267975
XGBoost,0.1,2.0976902082854627
LightGBM,0.1,2.632428828445348
Ensemble,0.1,2.3034415694351096
Splatformer,0.1,72.41598510742188
U-Net,0.1,0.8686524729646847
U-Net,0.1,0.8686524729646847
IDW,0.15,2.6791302154926817
Kriging,0.15,3.662589591816344
RF,0.15,2.1100352504638216
XGBoost,0.15,1.9835611814028258
LightGBM,0.15,2.3071287040793247
Ensemble,0.15,2.057681266583194
Splatformer,0.15,72.44026184082031
U-Net,0.15,5.450887165588627
U-Net,0.15,5.450887165588627
IDW,0.15,2.6791302154926817
Kriging,0.15,3.662589591816344
RF,0.15,2.1100352504638216
XGBoost,0.15,1.9835611814028258
LightGBM,0.15,2.3071287040793247
Ensemble,0.15,2.057681266583194
Splatformer,0.15,72.73638916015625
U-Net,0.15,5.268501880723974
U-Net,0.15,5.268501880723974
IDW,0.15,2.6791302154926817
Kriging,0.15,3.662589591816344
RF,0.15,2.1100352504638216
XGBoost,0.15,1.9835611814028258
LightGBM,0.15,2.3071287040793247
Ensemble,0.15,2.057681266583194
Splatformer,0.15,72.41241455078125
U-Net,0.15,2.087169150100116
U-Net,0.15,2.087169150100116
IDW,0.15,2.6791302154926817
Kriging,0.15,3.662589591816344
RF,0.15,2.1100352504638216
XGBoost,0.15,1.9835611814028258
LightGBM,0.15,2.3071287040793247
Ensemble,0.15,2.057681266583194
Splatformer,0.15,72.66012573242188
U-Net,0.15,4.163497704997203
U-Net,0.15,4.163497704997203
IDW,0.15,2.6791302154926817
Kriging,0.15,3.662589591816344
RF,0.15,2.1100352504638216
XGBoost,0.15,1.9835611814028258
LightGBM,0.15,2.3071287040793247
Ensemble,0.15,2.057681266583194
Splatformer,0.15,72.65599060058594
U-Net,0.15,1.5078188538890185
U-Net,0.15,1.5078188538890185
IDW,0.2,2.3169080895375567
Kriging,0.2,3.454966923913291
RF,0.2,1.7285130718954247
XGBoost,0.2,1.473494623221603
LightGBM,0.2,1.9355261890034638
Ensemble,0.2,1.635780615327139
Splatformer,0.2,72.16265869140625
U-Net,0.2,11.070937560881845
U-Net,0.2,11.070937560881845
IDW,0.2,2.3169080895375567
Kriging,0.2,3.454966923913291
RF,0.2,1.7285130718954247
XGBoost,0.2,1.473494623221603
LightGBM,0.2,1.9355261890034638
Ensemble,0.2,1.635780615327139
Splatformer,0.2,72.80989074707031
U-Net,0.2,2.6134220443195586
U-Net,0.2,2.6134220443195586
IDW,0.2,2.3169080895375567
Kriging,0.2,3.454966923913291
RF,0.2,1.7285130718954247
XGBoost,0.2,1.473494623221603
LightGBM,0.2,1.9355261890034638
Ensemble,0.2,1.635780615327139
