Method,Test Size,MAE
IDW,0.1,0.3940826904014444
Kriging,0.1,0.5030501635254131
Ensemble,0.1,0.3680365147971743
U-Net,0.1,1.2248906027886346
[OURS] Splatformer,0.1,0.5098336338996887
U-Net,0.1,1.2248906027886346
IDW,0.1,0.3940826904014444
Kriging,0.1,0.5030501635254131
Ensemble,0.1,0.3680365147971743
U-Net,0.1,1.0918831792483181
[OURS] Splatformer,0.1,0.45888519287109375
U-Net,0.1,1.0918831792483181
IDW,0.1,0.3940826904014444
Kriging,0.1,0.5030501635254131
Ensemble,0.1,0.3680365147971743
U-Net,0.1,1.4796009130938628
[OURS] Splatformer,0.1,0.46553826332092285
U-Net,0.1,1.4796009130938628
IDW,0.1,0.3940826904014444
Kriging,0.1,0.5030501635254131
Ensemble,0.1,0.3680365147971743
U-Net,0.1,1.4039829964087382
[OURS] Splatformer,0.1,0.37187373638153076
U-Net,0.1,1.4039829964087382
IDW,0.1,0.3940826904014444
Kriging,0.1,0.5030501635254131
Ensemble,0.1,0.3680365147971743
U-Net,0.1,1.8724631133853324
[OURS] Splatformer,0.1,0.43137305974960327
U-Net,0.1,1.8724631133853324
IDW,0.2,0.3347251847423868
Kriging,0.2,0.4479576758958457
Ensemble,0.2,0.2582220229499434
U-Net,0.2,9.19295548215577
[OURS] Splatformer,0.2,0.47629988193511963
U-Net,0.2,9.19295548215577
IDW,0.2,0.3347251847423868
Kriging,0.2,0.4479576758958457
Ensemble,0.2,0.2582220229499434
U-Net,0.2,4.181853746290887
[OURS] Splatformer,0.2,0.3961314260959625
U-Net,0.2,4.181853746290887
IDW,0.2,0.3347251847423868
Kriging,0.2,0.4479576758958457
Ensemble,0.2,0.2582220229499434
U-Net,0.2,2.8320214846576235
[OURS] Splatformer,0.2,0.3323529064655304
U-Net,0.2,2.8320214846576235
IDW,0.2,0.3347251847423868
Kriging,0.2,0.4479576758958457
Ensemble,0.2,0.2582220229499434
U-Net,0.2,2.7313505100808064
[OURS] Splatformer,0.2,0.4144724905490875
U-Net,0.2,2.7313505100808064
IDW,0.2,0.3347251847423868
Kriging,0.2,0.4479576758958457
Ensemble,0.2,0.2582220229499434
U-Net,0.2,3.2987166110642936
[OURS] Splatformer,0.2,0.468750536441803
U-Net,0.2,3.2987166110642936
