Method,Test Size,MAE
IDW,0.1,0.976607089
Kriging,0.1,3.458895633
Ensemble,0.1,1.190206995
Transformer,0.1,1.425971565
IDW,0.2,1.098831875
Kriging,0.2,3.302020907
Ensemble,0.2,1.3244965
Transformer,0.2,1.860280828
IDW,0.3,1.166018387
Kriging,0.3,3.339206711
Ensemble,0.3,1.541513485
Transformer,0.3,2.050072681
IDW,0.4,1.283053225
Kriging,0.4,3.63947739
Ensemble,0.4,1.561927432
Transformer,0.4,2.078027981
IDW,0.5,1.35877754
Kriging,0.5,3.941795089
Ensemble,0.5,1.599983898
Transformer,0.5,1.392133554
