Method,Test Size,MAE,,,,MAEt,,,,,MAEe,,,,MAEk-idw,,,,MAEk
IDW,0.1,1.959484617,,Transformer,0.1,2.211162584,,,Ensemble,0.1,1.517576074,,IDW,0.1,1.959484617,,Kriging,0.1,3.456876096
Kriging,0.1,3.456876096,,Transformer,0.2,1.899581909,,,Ensemble,0.2,1.964262998,,IDW,0.2,2.165308537,,Kriging,0.2,3.949133622
Ensemble,0.1,1.517576074,,Transformer,0.3,2.019574656,,,Ensemble,0.3,1.754576516,,IDW,0.3,1.980402006,,Kriging,0.3,3.712633422
Transformer,0.1,2.211162584,,Transformer,0.4,2.290846549,,,Ensemble,0.4,2.015795552,,IDW,0.4,2.492362544,,Kriging,0.4,3.820603218
IDW,0.2,2.165308537,,Transformer,0.5,2.073313204,,,Ensemble,0.5,2.164697296,,IDW,0.5,2.405592771,,Kriging,0.5,3.528440312
Kriging,0.2,3.949133622,,Transformer,0.1,2.144953376,,,Ensemble,0.1,1.482863394,,IDW,0.1,1.604808768,,Kriging,0.1,3.518941484
Ensemble,0.2,1.964262998,,Transformer,0.2,1.868363105,,,Ensemble,0.2,1.935185279,,IDW,0.2,2.548464591,,Kriging,0.2,3.951090958
Transformer,0.2,1.899581909,,Transformer,0.3,2.151325614,,,Ensemble,0.3,2.30041979,,IDW,0.3,1.949280594,,Kriging,0.3,3.849052416
IDW,0.3,1.980402006,,Transformer,0.4,2.123144627,,,Ensemble,0.4,2.097181607,,IDW,0.4,2.478707494,,Kriging,0.4,3.991289067
Kriging,0.3,3.712633422,,Transformer,0.5,1.726991194,,,Ensemble,0.5,2.38842699,,IDW,0.5,2.465073854,,Kriging,0.5,3.804448676
Ensemble,0.3,1.754576516,,Transformer,0.1,2.182727613,,,Ensemble,0.1,1.03526129,,IDW,0.1,1.401200222,,Kriging,0.1,2.965694832
Transformer,0.3,2.019574656,,Transformer,0.2,2.638391132,,,Ensemble,0.2,1.377831371,,IDW,0.2,2.0658064,,Kriging,0.2,3.38859356
IDW,0.4,2.492362544,,Transformer,0.3,2.198729068,,,Ensemble,0.3,1.868454664,,IDW,0.3,2.197368583,,Kriging,0.3,3.901735444
Kriging,0.4,3.820603218,,Transformer,0.4,2.016321885,,,Ensemble,0.4,1.93286104,,IDW,0.4,2.401318438,,Kriging,0.4,3.542335879
Ensemble,0.4,2.015795552,,Transformer,0.5,2.173818023,,,Ensemble,0.5,2.264942964,,IDW,0.5,2.713252433,,Kriging,0.5,3.646260033
Transformer,0.4,2.290846549,,Transformer,0.1,2.170931063,,,Ensemble,0.1,1.776277529,,IDW,0.1,1.805075684,,Kriging,0.1,3.129293932
IDW,0.5,2.405592771,,Transformer,0.2,2.254113073,,,Ensemble,0.2,1.964262998,,IDW,0.2,2.165308537,,Kriging,0.2,3.949133622
Kriging,0.5,3.528440312,,Transformer,0.3,2.193861105,,,Ensemble,0.3,2.250645244,,IDW,0.3,2.002403445,,Kriging,0.3,4.020163685
Ensemble,0.5,2.164697296,,Transformer,0.4,2.166392753,,,Ensemble,0.4,1.995873643,,IDW,0.4,2.123349922,,Kriging,0.4,3.770572707
Transformer,0.5,2.073313204,,Transformer,0.5,1.990151869,,,Ensemble,0.5,2.287231681,,IDW,0.5,2.557347471,,Kriging,0.5,3.620000949
