Method,Test Size,MAE
IDW,0.1,1.563716032203896
Kriging,0.1,2.8255707101909047
Ensemble,0.1,1.105609374290022
Transformer,0.1,2.3296853115684106
IDW,0.2,1.5283704492863828
Kriging,0.2,3.4010278632976854
Ensemble,0.2,1.9250543689335937
Transformer,0.2,2.0933631049262154
IDW,0.3,2.2452236366487326
Kriging,0.3,3.744744679520144
Ensemble,0.3,1.8681737626709214
Transformer,0.3,2.2517527779616877
IDW,0.4,2.740683560662283
Kriging,0.4,3.838468552319792
Ensemble,0.4,2.3777602241566624
Transformer,0.4,1.8933904798407304
IDW,0.5,2.558553964782041
Kriging,0.5,3.9157154408644894
Ensemble,0.5,2.2829293094017005
Transformer,0.5,2.191750598048033
IDW,0.1,2.984574916735153
Kriging,0.1,3.9839333173946514
Ensemble,0.1,1.9425030394999918
Transformer,0.1,1.9247405403538753
IDW,0.2,2.73188711676833
Kriging,0.2,4.489543270546963
Ensemble,0.2,2.466507000733615
Transformer,0.2,2.1495209682134933
IDW,0.3,1.9492805942545481
Kriging,0.3,3.8490524163243447
Ensemble,0.3,2.3004197897195304
Transformer,0.3,2.498926949366338
IDW,0.4,2.4787074941652016
Kriging,0.4,3.991289066532778
Ensemble,0.4,2.0971816068957705
Transformer,0.4,2.138178775185033
IDW,0.5,2.465073854256007
Kriging,0.5,3.804448675574439
Ensemble,0.5,2.3884269901513377
Transformer,0.5,1.7675884382526865
IDW,0.1,1.401200221709883
Kriging,0.1,2.9656948321499996
Ensemble,0.1,1.0352612902211156
Transformer,0.1,2.3972042317976032
IDW,0.2,2.0658064000529586
Kriging,0.2,3.388593559971614
Ensemble,0.2,1.3778313707397898
Transformer,0.2,2.3887509004569347
IDW,0.3,2.197368582586047
Kriging,0.3,3.9017354443302676
Ensemble,0.3,1.8684546641376643
Transformer,0.3,2.0951572569076626
IDW,0.4,2.4013184380860646
Kriging,0.4,3.5423358792762225
Ensemble,0.4,1.9328610401318973
Transformer,0.4,1.849204464962608
IDW,0.5,2.713252433368446
Kriging,0.5,3.646260033278266
Ensemble,0.5,2.2649429641202454
Transformer,0.5,2.2146152300325777
IDW,0.1,1.8050756841060565
Kriging,0.1,3.129293931754467
Ensemble,0.1,1.776277529134147
Transformer,0.1,2.0127484171014083
IDW,0.2,2.1653085368521787
Kriging,0.2,3.9491336221176168
Ensemble,0.2,1.9642629983455433
Transformer,0.2,1.7838579719449268
IDW,0.3,2.0024034447370487
Kriging,0.3,4.020163685168553
Ensemble,0.3,2.2506452437401787
Transformer,0.3,1.9782361391573975
IDW,0.4,2.123349921909603
Kriging,0.4,3.770572707151765
Ensemble,0.4,1.9958736431965052
Transformer,0.4,1.7975249039499384
IDW,0.5,2.5573474707002237
Kriging,0.5,3.6200009488294596
Ensemble,0.5,2.287231680778691
Transformer,0.5,2.245397334042274
IDW,0.1,1.9962195010563382
Kriging,0.1,2.817054801996073
Ensemble,0.1,1.3092105094705857
Transformer,0.1,1.9865965090299909
IDW,0.2,1.8288976691373533
Kriging,0.2,2.9131118563135896
Ensemble,0.2,1.2196639700009262
Transformer,0.2,2.307365944944782
IDW,0.3,2.8609697168529675
Kriging,0.3,3.6057156020263355
Ensemble,0.3,2.8154356975247787
Transformer,0.3,2.6440463955119506
IDW,0.4,2.707916127836837
Kriging,0.4,4.086265552566846
Ensemble,0.4,2.308197103085375
Transformer,0.4,2.196641294579757
IDW,0.5,2.7155590347282828
Kriging,0.5,3.7581428463226074
Ensemble,0.5,2.361731546976728
Transformer,0.5,2.3457740210732925
