Method,Test Size,MAE
IDW,0.1,103.0128931032508
Kriging,0.1,108.0108491976822
RF,0.1,78.20521703938974
XGBoost,0.1,78.33715061788092
LightGBM,0.1,73.82956461171878
Ensemble,0.1,76.79064408966313
U-Net,0.1,0.7326464485141324
Splatformer,0.1,0.8788193464279175
IDW,0.1,103.30673356364542
Kriging,0.1,108.30468965807681
RF,0.1,77.91666150617567
XGBoost,0.1,77.59546826887099
LightGBM,0.1,73.4575864351125
Ensemble,0.1,76.3232387367197
U-Net,0.1,1.064183558530208
Splatformer,0.1,0.9968650341033936
IDW,0.2,103.23600181860708
Kriging,0.2,108.2268623851249
RF,0.2,77.88123970005314
XGBoost,0.2,77.41398336756541
LightGBM,0.2,73.40851391117809
Ensemble,0.2,76.23457899293221
U-Net,0.2,2.28933943846745
Splatformer,0.2,0.8390050530433655
IDW,0.2,102.6835438582171
Kriging,0.2,107.58479926355123
RF,0.2,77.95720643619251
XGBoost,0.2,77.75484503026442
LightGBM,0.2,73.7963590972684
Ensemble,0.2,76.50280352124176
U-Net,0.2,1.5009869898663513
Splatformer,0.2,0.5593411326408386
IDW,0.3,102.87866614796823
Kriging,0.3,107.87208002945492
RF,0.3,77.4536266677733
XGBoost,0.3,76.79944826416938
LightGBM,0.3,72.95792587228719
Ensemble,0.3,75.73700026807661
U-Net,0.3,1.252730599559614
Splatformer,0.3,0.8438003063201904
IDW,0.3,102.89425955210541
Kriging,0.3,107.8922156465368
RF,0.3,77.4421516608552
XGBoost,0.3,76.86290364470538
LightGBM,0.3,72.95302671249627
Ensemble,0.3,75.75269400601894
U-Net,0.3,1.37003334381841
Splatformer,0.3,0.8215409517288208
IDW,0.4,102.64052750429259
Kriging,0.4,108.10934499445882
RF,0.4,76.0226910111988
XGBoost,0.4,76.27279147834564
LightGBM,0.4,72.15485889374307
Ensemble,0.4,74.81678046109583
U-Net,0.4,0.898959069729826
Splatformer,0.4,0.8750756978988647
IDW,0.4,102.92346165700273
Kriging,0.4,107.92141775143413
RF,0.4,77.6299831386483
XGBoost,0.4,77.22579520733319
LightGBM,0.4,73.16878988768951
Ensemble,0.4,76.00818941122367
U-Net,0.4,0.8407734120740376
Splatformer,0.4,0.8953367471694946
IDW,0.5,102.5466104285283
Kriging,0.5,107.94848542891955
RF,0.5,76.03334285167107
XGBoost,0.5,76.1533641093813
LightGBM,0.5,72.16359280997429
Ensemble,0.5,74.78343325700888
U-Net,0.5,1.2932236801861108
Splatformer,0.5,0.7369767427444458
IDW,0.5,102.46287517986482
Kriging,0.5,107.89207381971114
RF,0.5,75.99039759061789
XGBoost,0.5,76.21039857724638
LightGBM,0.5,72.16704303311207
Ensemble,0.5,74.78927973365879
U-Net,0.5,1.2482776276007086
Splatformer,0.5,0.685335636138916
