Method,Test Size,MAE
IDW,0.1,117.7015512407086
Kriging,0.1,94.8604306010823
RF,0.1,83.58956829142285
XGBoost,0.1,81.44474035271968
LightGBM,0.1,81.39832245120284
Ensemble,0.1,82.1442103651151
U-Net,0.1,1.4911274631121698
Splatformer,0.1,0.654242992401123
IDW,0.1,117.7015512407086
Kriging,0.1,94.8604306010823
RF,0.1,83.58956829142285
XGBoost,0.1,81.44474035271968
LightGBM,0.1,81.39832245120284
Ensemble,0.1,82.1442103651151
U-Net,0.1,1.3558616354142239
Splatformer,0.1,0.6593161225318909
IDW,0.2,117.81758129492249
Kriging,0.2,94.97450164092277
RF,0.2,83.66534826960387
XGBoost,0.2,81.4432266217504
LightGBM,0.2,81.4676966358873
Ensemble,0.2,82.19209050908051
U-Net,0.2,2.1089921448837545
Splatformer,0.2,0.6944324374198914
IDW,0.2,117.81758129492249
Kriging,0.2,94.97450164092277
RF,0.2,83.66534826960387
XGBoost,0.2,81.4432266217504
LightGBM,0.2,81.4676966358873
Ensemble,0.2,82.19209050908051
U-Net,0.2,2.194674341182201
Splatformer,0.2,0.6483778357505798
IDW,0.3,117.78180893606344
Kriging,0.3,94.95376145186088
RF,0.3,83.68928269824734
XGBoost,0.3,81.54487849112992
LightGBM,0.3,81.49908260966134
Ensemble,0.3,82.24441459967953
U-Net,0.3,0.6057687342393159
Splatformer,0.3,0.6450396776199341
IDW,0.3,117.78180893606344
Kriging,0.3,94.95376145186088
RF,0.3,83.68928269824734
XGBoost,0.3,81.54487849112992
LightGBM,0.3,81.49908260966134
Ensemble,0.3,82.24441459967953
U-Net,0.3,0.7495472803379107
Splatformer,0.3,0.7180927991867065
IDW,0.4,117.81790511168657
Kriging,0.4,94.98771968013406
RF,0.4,83.71188415221485
XGBoost,0.4,81.4740095792605
LightGBM,0.4,81.51518764693549
Ensemble,0.4,82.2336937928036
U-Net,0.4,0.7697563214568959
Splatformer,0.4,0.6244741678237915
IDW,0.4,117.81790511168657
Kriging,0.4,94.98771968013406
RF,0.4,83.71188415221485
XGBoost,0.4,81.4740095792605
LightGBM,0.4,81.51518764693549
Ensemble,0.4,82.2336937928036
U-Net,0.4,0.5775120017701706
Splatformer,0.4,0.6897145509719849
IDW,0.5,117.85053378252563
Kriging,0.5,95.01421624507628
RF,0.5,83.72461050233758
XGBoost,0.5,81.49130172964725
LightGBM,0.5,81.52732851851377
Ensemble,0.5,82.24774691683287
U-Net,0.5,0.7058936719259123
Splatformer,0.5,0.7151134014129639
IDW,0.5,117.85053378252563
Kriging,0.5,95.01421624507628
RF,0.5,83.72461050233758
XGBoost,0.5,81.49130172964725
LightGBM,0.5,81.52732851851377
Ensemble,0.5,82.24774691683287
U-Net,0.5,0.7170856296068203
Splatformer,0.5,0.7457257509231567
