,predicted_rsrp,predicted_rsrq,predicted_sinr,true_rsrp,true_rsrq,true_sinr
0,-41.49477,-13.555775,-7.587454,-103.0,-15.0,-13.0
1,-41.490387,-13.310467,-7.4727874,-89.0,-13.0,-7.0
2,-41.490322,-13.308181,-7.467611,-88.0,-9.0,-7.0
3,-41.494705,-13.556173,-7.592557,-102.0,-19.5,-12.0
4,-41.49448,-13.456856,-7.6011634,-86.0,-8.0,-4.0
5,-41.493946,-13.373669,-7.5298963,-88.0,-7.0,-3.0
6,-41.48247,-13.279111,-7.3625274,-89.0,-10.0,-3.0
7,-41.49294,-13.356758,-7.517491,-88.0,-11.0,-13.0
8,-41.49557,-13.507098,-7.594429,-103.0,-18.0,-20.0
9,-41.493984,-13.563692,-7.631373,-102.0,-19.5,-12.0
10,-41.494633,-13.537039,-7.533451,-82.0,-11.0,7.0
11,-41.49444,-13.562879,-7.60432,-102.0,-19.5,-12.0
12,-41.489864,-13.464052,-7.6481752,-92.0,-12.0,-7.0
13,-41.492558,-13.391817,-7.4907675,-93.0,-16.0,-20.0
14,-41.486614,-13.6017065,-7.7035413,-117.0,-16.0,-9.0
15,-41.494244,-13.383932,-7.547287,-88.0,-7.0,-3.0
16,-41.490967,-13.350054,-7.520673,-89.0,-13.0,-7.0
17,-41.493694,-13.446522,-7.598989,-86.0,-8.0,-4.0
18,-41.48688,-13.513603,-7.7097597,-92.0,-8.0,-10.0
19,-41.483097,-13.609436,-7.7241445,-118.0,-15.0,-10.0
20,-41.494106,-13.560953,-7.6305494,-102.0,-19.5,-12.0
21,-41.492603,-13.559974,-7.632499,-106.0,-19.5,-20.0
22,-41.49411,-13.43192,-7.580057,-86.0,-8.0,-4.0
23,-41.489574,-13.299337,-7.455546,-87.0,-11.0,-1.0
24,-41.493206,-13.415991,-7.4436283,-95.0,-9.0,-4.0
25,-41.486176,-13.312046,-7.3684306,-89.0,-10.0,-3.0
26,-41.49236,-13.496109,-7.645681,-92.0,-8.0,-10.0
27,-41.493618,-13.519911,-7.6475267,-104.0,-17.0,-9.0
28,-41.486103,-13.338648,-7.3449636,-103.0,-13.0,-3.0
29,-41.492573,-13.390015,-7.488626,-93.0,-16.0,-20.0
30,-41.49525,-13.4652815,-7.498374,-100.0,-14.0,-8.0
31,-41.48727,-13.36932,-7.3853874,-95.0,-9.0,0.0
32,-41.493664,-13.566563,-7.62686,-102.0,-19.5,-12.0
33,-41.48815,-13.3678055,-7.379917,-94.0,-8.0,-1.0
34,-41.495293,-13.537677,-7.553082,-103.0,-17.0,-11.0
35,-41.493153,-13.524552,-7.6476493,-95.0,-16.0,-8.0
36,-41.491848,-13.530924,-7.646663,-98.0,-17.0,-11.0
37,-41.49443,-13.559557,-7.576186,-103.0,-19.0,-14.0
38,-41.493874,-13.516653,-7.642655,-94.0,-14.0,-10.0
