model,metric,split,size,value
MLP,mae,test,0.1,1.9262418619791666
MLP,rmse,test,0.1,2.5554008857423716
MLP,mae,cross,0.1,19.197926387749245
MLP,rmse,cross,0.1,19.69494362793367
IDW,mae,test,0.1,0.8245913168964476
IDW,rmse,test,0.1,2.491655452029862
IDW,mae,cross,0.1,10.880446117215971
IDW,rmse,cross,0.1,12.296227264465577
Kriging,mae,test,0.1,2.911754712570411
Kriging,rmse,test,0.1,4.015672525500135
Kriging,mae,cross,0.1,11.574748987589281
Kriging,rmse,cross,0.1,13.017219310121392
Ensemble,mae,test,0.1,1.1902069953932868
Ensemble,rmse,test,0.1,2.1340633836187997
Ensemble,mae,cross,0.1,7.362655541647802
Ensemble,rmse,cross,0.1,9.143348289057304
MLP,mae,test,0.2,2.2461424763997395
MLP,rmse,test,0.2,2.9547558414652166
MLP,mae,cross,0.2,32.353148044684
MLP,rmse,cross,0.2,32.91561993356888
IDW,mae,test,0.2,1.0351685201940668
IDW,rmse,test,0.2,2.4012324191728704
IDW,mae,cross,0.2,10.935336942606542
IDW,rmse,cross,0.2,12.352907876949233
Kriging,mae,test,0.2,2.9226655435605253
Kriging,rmse,test,0.2,4.03241212608374
Kriging,mae,cross,0.2,11.59904466659779
Kriging,rmse,cross,0.2,13.037076898344662
Ensemble,mae,test,0.2,1.324496499732595
Ensemble,rmse,test,0.2,2.0833434703205027
Ensemble,mae,cross,0.2,7.512366833541272
Ensemble,rmse,cross,0.2,9.234742383810051
MLP,mae,test,0.3,2.4064535861545138
MLP,rmse,test,0.3,3.2017925697685934
MLP,mae,cross,0.3,19.659181583562546
MLP,rmse,cross,0.3,20.193802693697588
IDW,mae,test,0.3,1.1886193863959573
IDW,rmse,test,0.3,2.536477920277149
IDW,mae,cross,0.3,10.943411216004288
IDW,rmse,cross,0.3,12.36013632880707
Kriging,mae,test,0.3,3.399777699195284
Kriging,rmse,test,0.3,4.7315106119804025
Kriging,mae,cross,0.3,11.595987221384668
Kriging,rmse,cross,0.3,13.033759577718678
Ensemble,mae,test,0.3,1.5415134853093586
Ensemble,rmse,test,0.3,2.3145534133815064
Ensemble,mae,cross,0.3,7.460283398494507
Ensemble,rmse,cross,0.3,9.281544620803722
