model,metric,split,size,value
MLP,mae,test,0.1,2.2195755004882813
MLP,rmse,test,0.1,2.806789712861292
MLP,mae,cross,0.1,24.696613424628445
MLP,rmse,cross,0.1,25.276065683629078
IDW,mae,test,0.1,0.111224235912659
IDW,rmse,test,0.1,0.44737036404203445
IDW,mae,cross,0.1,10.911208068551048
IDW,rmse,cross,0.1,12.317284543795031
Kriging,mae,test,0.1,3.372195211481339
Kriging,rmse,test,0.1,3.9171909775915625
Kriging,mae,cross,0.1,11.628354180404934
Kriging,rmse,cross,0.1,13.06416636558072
Ensemble,mae,test,0.1,1.0194416495563108
Ensemble,rmse,test,0.1,1.4898933106409031
Ensemble,mae,cross,0.1,7.5322250342969586
Ensemble,rmse,cross,0.1,9.236574274036338
MLP,mae,test,0.2,2.2620212554931642
MLP,rmse,test,0.2,2.7059644566435823
MLP,mae,cross,0.2,16.731617869239823
MLP,rmse,cross,0.2,17.425654611630478
IDW,mae,test,0.2,0.3253150024820412
IDW,rmse,test,0.2,0.738759338250792
IDW,mae,cross,0.2,10.870027294637001
IDW,rmse,cross,0.2,12.278964871280476
Kriging,mae,test,0.2,3.3264516220000226
Kriging,rmse,test,0.2,4.026695110351842
Kriging,mae,cross,0.2,11.578878998377819
Kriging,rmse,cross,0.2,13.020189612037571
Ensemble,mae,test,0.2,1.3048648364774884
Ensemble,rmse,test,0.2,1.79124970449521
Ensemble,mae,cross,0.2,7.533641786917907
Ensemble,rmse,cross,0.2,9.261825059441502
MLP,mae,test,0.3,2.9697124993623194
MLP,rmse,test,0.3,3.371565680923198
MLP,mae,cross,0.3,13.588066973864915
MLP,rmse,cross,0.3,14.373886504023941
IDW,mae,test,0.3,3.432471536072187
IDW,rmse,test,0.3,4.377408541737227
IDW,mae,cross,0.3,10.746706548093414
IDW,rmse,cross,0.3,12.162382044753704
Kriging,mae,test,0.3,1816.665409819765
Kriging,rmse,test,0.3,3056.326024196459
Kriging,mae,cross,0.3,855.0444498821502
Kriging,rmse,cross,0.3,2272.6381856997605
Ensemble,mae,test,0.3,3.700775384505646
Ensemble,rmse,test,0.3,4.747273987840051
Ensemble,mae,cross,0.3,6.740679656796302
Ensemble,rmse,cross,0.3,8.815773621582464
MLP,mae,test,0.4,2.7983527871506726
MLP,rmse,test,0.4,3.2423100275075036
MLP,mae,cross,0.4,23.570125391732542
MLP,rmse,cross,0.4,24.08455661339549
IDW,mae,test,0.4,3.432471536072187
IDW,rmse,test,0.4,4.377408541737227
IDW,mae,cross,0.4,10.746706548093414
IDW,rmse,cross,0.4,12.162382044753704
Kriging,mae,test,0.4,1816.665409819765
Kriging,rmse,test,0.4,3056.326024196459
Kriging,mae,cross,0.4,855.0444498821502
Kriging,rmse,cross,0.4,2272.6381856997605
Ensemble,mae,test,0.4,3.700775384505646
Ensemble,rmse,test,0.4,4.747273987840051
Ensemble,mae,cross,0.4,6.740679656796302
Ensemble,rmse,cross,0.4,8.815773621582464
MLP,mae,test,0.5,2.729282075492897
MLP,rmse,test,0.5,3.14086709381947
MLP,mae,cross,0.5,29.90798360309187
MLP,rmse,cross,0.5,30.442033055298065
IDW,mae,test,0.5,3.432471536072187
IDW,rmse,test,0.5,4.377408541737227
IDW,mae,cross,0.5,10.746706548093414
IDW,rmse,cross,0.5,12.162382044753704
Kriging,mae,test,0.5,1816.665409819765
Kriging,rmse,test,0.5,3056.326024196459
Kriging,mae,cross,0.5,855.0444498821502
Kriging,rmse,cross,0.5,2272.6381856997605
Ensemble,mae,test,0.5,3.700775384505646
Ensemble,rmse,test,0.5,4.747273987840051
Ensemble,mae,cross,0.5,6.740679656796302
Ensemble,rmse,cross,0.5,8.815773621582464
MLP,mae,test,0.1,2.22668571472168
MLP,rmse,test,0.1,2.6512420573131386
MLP,mae,cross,0.1,25.40338709603635
MLP,rmse,cross,0.1,26.12922052552587
IDW,mae,test,0.1,0.111224235912659
IDW,rmse,test,0.1,0.44737036404203445
IDW,mae,cross,0.1,10.911208068551048
IDW,rmse,cross,0.1,12.317284543795031
Kriging,mae,test,0.1,3.372195211481339
Kriging,rmse,test,0.1,3.9171909775915625
Kriging,mae,cross,0.1,11.628354180404934
Kriging,rmse,cross,0.1,13.06416636558072
