model,metric,split,size,value
MLP,mae,test,0.1,3.469902903
MLP,rmse,test,0.1,4.435839826
MLP,mae,cross,0.1,21.25088286
MLP,rmse,cross,0.1,21.74290762
IDW,mae,test,0.1,3.387290364
IDW,rmse,test,0.1,4.13855491
IDW,mae,cross,0.1,10.84180113
IDW,rmse,cross,0.1,12.25618092
Kriging,mae,test,0.1,3.883360028
Kriging,rmse,test,0.1,4.519583199
Kriging,mae,cross,0.1,11.51013969
Kriging,rmse,cross,0.1,12.9551665
Ensemble,mae,test,0.1,4.329459469
Ensemble,rmse,test,0.1,5.298575527
Ensemble,mae,cross,0.1,7.647021858
Ensemble,rmse,cross,0.1,9.286951998
MLP,mae,test,0.2,4.118826294
MLP,rmse,test,0.2,4.925095108
MLP,mae,cross,0.2,9.833778095
MLP,rmse,cross,0.2,10.82138416
IDW,mae,test,0.2,4.097694374
IDW,rmse,test,0.2,4.967050562
IDW,mae,cross,0.2,10.83671149
IDW,rmse,cross,0.2,12.26269739
Kriging,mae,test,0.2,4.560049744
Kriging,rmse,test,0.2,5.274930311
Kriging,mae,cross,0.2,11.52504539
Kriging,rmse,cross,0.2,12.96880109
Ensemble,mae,test,0.2,4.246875573
Ensemble,rmse,test,0.2,5.390912056
Ensemble,mae,cross,0.2,7.623895471
Ensemble,rmse,cross,0.2,9.245076503
MLP,mae,test,0.3,3.787125821
MLP,rmse,test,0.3,4.618196065
MLP,mae,cross,0.3,6.257041555
MLP,rmse,cross,0.3,8.216113273
IDW,mae,test,0.3,4.066270384
IDW,rmse,test,0.3,4.71571317
IDW,mae,cross,0.3,10.2596751
IDW,rmse,cross,0.3,11.80071749
Kriging,mae,test,0.3,4.179698356
Kriging,rmse,test,0.3,4.799856185
Kriging,mae,cross,0.3,11.20929136
Kriging,rmse,cross,0.3,12.69035481
Ensemble,mae,test,0.3,3.522861213
Ensemble,rmse,test,0.3,4.602265425
Ensemble,mae,cross,0.3,7.759403433
Ensemble,rmse,cross,0.3,9.397214745
MLP,mae,test,0.4,3.316336845
MLP,rmse,test,0.4,4.345545928
MLP,mae,cross,0.4,5.20188022
MLP,rmse,cross,0.4,7.306620742
IDW,mae,test,0.4,4.40726576
IDW,rmse,test,0.4,5.284302319
IDW,mae,cross,0.4,10.1253261
IDW,rmse,cross,0.4,11.72646769
Kriging,mae,test,0.4,4.211954334
Kriging,rmse,test,0.4,4.858121743
Kriging,mae,cross,0.4,11.19460196
Kriging,rmse,cross,0.4,12.66760688
Ensemble,mae,test,0.4,4.483379769
Ensemble,rmse,test,0.4,5.246602427
Ensemble,mae,cross,0.4,7.645343558
Ensemble,rmse,cross,0.4,9.340440333
MLP,mae,test,0.5,3.82766638
MLP,rmse,test,0.5,4.742249289
MLP,mae,cross,0.5,5.499958527
MLP,rmse,cross,0.5,7.463652561
IDW,mae,test,0.5,5.048713749
IDW,rmse,test,0.5,6.131729796
IDW,mae,cross,0.5,9.354324636
IDW,rmse,cross,0.5,11.16567666
Kriging,mae,test,0.5,4.211954334
Kriging,rmse,test,0.5,4.858121743
Kriging,mae,cross,0.5,11.19460196
Kriging,rmse,cross,0.5,12.66760688
Ensemble,mae,test,0.5,5.293116599
Ensemble,rmse,test,0.5,5.967951224
Ensemble,mae,cross,0.5,7.758534715
Ensemble,rmse,cross,0.5,9.425312394
MLP,mae,test,0.1,4.097914632
MLP,rmse,test,0.1,4.631754494
MLP,mae,cross,0.1,6.558600025
MLP,rmse,cross,0.1,7.93781463
IDW,mae,test,0.1,3.387290364
IDW,rmse,test,0.1,4.13855491
IDW,mae,cross,0.1,10.84180113
IDW,rmse,cross,0.1,12.25618092
Kriging,mae,test,0.1,3.883360028
Kriging,rmse,test,0.1,4.519583199
Kriging,mae,cross,0.1,11.51013969
Kriging,rmse,cross,0.1,12.9551665
Ensemble,mae,test,0.1,4.329459469
Ensemble,rmse,test,0.1,5.298575527
Ensemble,mae,cross,0.1,7.647021858
Ensemble,rmse,cross,0.1,9.286951998
MLP,mae,test,0.2,3.43983462
MLP,rmse,test,0.2,4.702824756
MLP,mae,cross,0.2,15.94176599
MLP,rmse,cross,0.2,16.74953116
IDW,mae,test,0.2,4.097694374
IDW,rmse,test,0.2,4.967050562
IDW,mae,cross,0.2,10.83671149
IDW,rmse,cross,0.2,12.26269739
Kriging,mae,test,0.2,4.560049744
Kriging,rmse,test,0.2,5.274930311
Kriging,mae,cross,0.2,11.52504539
Kriging,rmse,cross,0.2,12.96880109
Ensemble,mae,test,0.2,4.246875573
Ensemble,rmse,test,0.2,5.390912056
Ensemble,mae,cross,0.2,7.623895471
Ensemble,rmse,cross,0.2,9.245076503
MLP,mae,test,0.3,3.723107096
MLP,rmse,test,0.3,4.538397466
MLP,mae,cross,0.3,5.451010604
MLP,rmse,cross,0.3,7.499306192
IDW,mae,test,0.3,4.066270384
IDW,rmse,test,0.3,4.71571317
IDW,mae,cross,0.3,10.2596751
IDW,rmse,cross,0.3,11.80071749
Kriging,mae,test,0.3,4.179698356
Kriging,rmse,test,0.3,4.799856185
Kriging,mae,cross,0.3,11.20929136
Kriging,rmse,cross,0.3,12.69035481
Ensemble,mae,test,0.3,3.522861213
Ensemble,rmse,test,0.3,4.602265425
Ensemble,mae,cross,0.3,7.759403433
Ensemble,rmse,cross,0.3,9.397214745
