model,metric,split,size,value
MLP,mae,test,0.1,2.3894020883660567
MLP,rmse,test,0.1,3.0115207292113033
MLP,mae,cross,0.1,6.533791972291836
MLP,rmse,cross,0.1,8.206885095140386
IDW,mae,test,0.1,0.8186518910198473
IDW,rmse,test,0.1,1.3858231601418682
IDW,mae,cross,0.1,11.7820106456537
IDW,rmse,cross,0.1,12.401346147203908
Kriging,mae,test,0.1,3.654246366811316
Kriging,rmse,test,0.1,5.375143751134298
Kriging,mae,cross,0.1,12.232888840807075
Kriging,rmse,cross,0.1,12.992989060079994
Ensemble,mae,test,0.1,1.1967940928599035
Ensemble,rmse,test,0.1,1.7476356626580147
Ensemble,mae,cross,0.1,6.623202225311471
Ensemble,rmse,cross,0.1,8.388894156243863
MLP,mae,test,0.2,2.5123403394544446
MLP,rmse,test,0.2,3.0272371543959573
MLP,mae,cross,0.2,9.397809366943687
MLP,rmse,cross,0.2,10.71737361932691
IDW,mae,test,0.2,1.462890736199179
IDW,rmse,test,0.2,2.9615966431319873
IDW,mae,cross,0.2,11.797763849436564
IDW,rmse,cross,0.2,12.416565789680126
Kriging,mae,test,0.2,3.223131425637128
Kriging,rmse,test,0.2,4.782611570571961
Kriging,mae,cross,0.2,12.22255294944502
Kriging,rmse,cross,0.2,12.980596358765933
Ensemble,mae,test,0.2,1.847904476612895
Ensemble,rmse,test,0.2,2.702094109197375
Ensemble,mae,cross,0.2,6.5996997679898906
Ensemble,rmse,cross,0.2,8.34935326921067
MLP,mae,test,0.3,2.457803658076695
MLP,rmse,test,0.3,3.208668804344293
MLP,mae,cross,0.3,5.9742489090885025
MLP,rmse,cross,0.3,7.255049752821603
IDW,mae,test,0.3,2.0344913316145545
IDW,rmse,test,0.3,3.5777914638628885
IDW,mae,cross,0.3,11.90617138760255
IDW,rmse,cross,0.3,12.521055978542531
Kriging,mae,test,0.3,3.3478531481873617
Kriging,rmse,test,0.3,5.131398988611445
Kriging,mae,cross,0.3,12.235806554912317
Kriging,rmse,cross,0.3,12.995676295457015
Ensemble,mae,test,0.3,1.964399494513059
Ensemble,rmse,test,0.3,2.7788087970465707
Ensemble,mae,cross,0.3,6.956729457618197
Ensemble,rmse,cross,0.3,8.557390028968067
MLP,mae,test,0.4,3.8181981732768397
MLP,rmse,test,0.4,4.813190615858592
MLP,mae,cross,0.4,14.972889048666998
MLP,rmse,cross,0.4,18.65699164959514
IDW,mae,test,0.4,4.360161008109613
IDW,rmse,test,0.4,6.1428913389859074
IDW,mae,cross,0.4,12.512109439647435
IDW,rmse,cross,0.4,13.136153398934505
Kriging,mae,test,0.4,4.654689859034805
Kriging,rmse,test,0.4,6.218068534816535
Kriging,mae,cross,0.4,12.631096224173767
Kriging,rmse,cross,0.4,13.395267705425216
Ensemble,mae,test,0.4,4.551498172391825
Ensemble,rmse,test,0.4,6.215116242411422
Ensemble,mae,cross,0.4,11.329664312522402
Ensemble,rmse,cross,0.4,12.306757542151061
MLP,mae,test,0.5,4.0272920670047885
MLP,rmse,test,0.5,5.469695196484818
MLP,mae,cross,0.5,12.317691093148635
MLP,rmse,cross,0.5,13.553910464387073
IDW,mae,test,0.5,4.360161008109613
IDW,rmse,test,0.5,6.1428913389859074
IDW,mae,cross,0.5,12.512109439647435
IDW,rmse,cross,0.5,13.136153398934505
Kriging,mae,test,0.5,4.654689859034805
Kriging,rmse,test,0.5,6.218068534816535
Kriging,mae,cross,0.5,12.631096224173767
Kriging,rmse,cross,0.5,13.395267705425216
Ensemble,mae,test,0.5,4.551498172391825
Ensemble,rmse,test,0.5,6.215116242411422
Ensemble,mae,cross,0.5,11.329664312522402
Ensemble,rmse,cross,0.5,12.306757542151061
MLP,mae,test,0.1,2.366785952919408
MLP,rmse,test,0.1,3.1189136905875277
MLP,mae,cross,0.1,3.7510158891179954
MLP,rmse,cross,0.1,5.366359619248741
IDW,mae,test,0.1,0.8186518910198473
IDW,rmse,test,0.1,1.3858231601418682
IDW,mae,cross,0.1,11.7820106456537
IDW,rmse,cross,0.1,12.401346147203908
Kriging,mae,test,0.1,3.654246366811316
Kriging,rmse,test,0.1,5.375143751134298
Kriging,mae,cross,0.1,12.232888840807075
Kriging,rmse,cross,0.1,12.992989060079994
Ensemble,mae,test,0.1,1.1967940928599035
Ensemble,rmse,test,0.1,1.7476356626580147
Ensemble,mae,cross,0.1,6.623202225311471
Ensemble,rmse,cross,0.1,8.388894156243863
MLP,mae,test,0.2,2.4776743296030403
MLP,rmse,test,0.2,3.003594357673
MLP,mae,cross,0.2,4.262485779911639
MLP,rmse,cross,0.2,5.689440548791587
IDW,mae,test,0.2,1.462890736199179
IDW,rmse,test,0.2,2.9615966431319873
IDW,mae,cross,0.2,11.797763849436564
IDW,rmse,cross,0.2,12.416565789680126
Kriging,mae,test,0.2,3.223131425637128
Kriging,rmse,test,0.2,4.782611570571961
Kriging,mae,cross,0.2,12.22255294944502
Kriging,rmse,cross,0.2,12.980596358765933
Ensemble,mae,test,0.2,1.847904476612895
Ensemble,rmse,test,0.2,2.702094109197375
Ensemble,mae,cross,0.2,6.5996997679898906
Ensemble,rmse,cross,0.2,8.34935326921067
MLP,mae,test,0.3,2.5013276508876254
MLP,rmse,test,0.3,3.094229517701652
MLP,mae,cross,0.3,11.54440364301444
MLP,rmse,cross,0.3,12.282181599730716
