model,metric,split,size,value
MLP,mae,test,0.1,4.374884661506204
MLP,rmse,test,0.1,7.916856509376611
MLP,mae,cross,0.1,8.027299337118984
MLP,rmse,cross,0.1,9.368540878892114
IDW,mae,test,0.1,5.820893186014483
IDW,rmse,test,0.1,8.848054699169385
IDW,mae,cross,0.1,11.615726682760268
IDW,rmse,cross,0.1,12.238693887769497
Kriging,mae,test,0.1,6.068218126074051
Kriging,rmse,test,0.1,8.37287657078047
Kriging,mae,cross,0.1,12.414570294582045
Kriging,rmse,cross,0.1,13.094192937196059
Ensemble,mae,test,0.1,9.83534359679363
Ensemble,rmse,test,0.1,12.930835482698312
Ensemble,mae,cross,0.1,6.996957013919991
Ensemble,rmse,cross,0.1,9.034208507507719
MLP,mae,test,0.2,3.34430986292222
MLP,rmse,test,0.2,5.81170099704477
MLP,mae,cross,0.2,3.718166172584217
MLP,rmse,cross,0.2,5.269535289877707
IDW,mae,test,0.2,4.492886818964375
IDW,rmse,test,0.2,6.792348713378049
IDW,mae,cross,0.2,11.306696598199439
IDW,rmse,cross,0.2,11.952345853445436
Kriging,mae,test,0.2,4.486326066745242
Kriging,rmse,test,0.2,6.647944890108586
Kriging,mae,cross,0.2,12.794897443245565
Kriging,rmse,cross,0.2,13.587476566734795
Ensemble,mae,test,0.2,6.34868072241733
Ensemble,rmse,test,0.2,9.940604267720248
Ensemble,mae,cross,0.2,5.315251689980479
Ensemble,rmse,cross,0.2,6.619346777827478
MLP,mae,test,0.3,4.059600929808773
MLP,rmse,test,0.3,5.8413671416907285
MLP,mae,cross,0.3,13.990133298289186
MLP,rmse,cross,0.3,14.633903596422083
IDW,mae,test,0.3,4.253299025302806
IDW,rmse,test,0.3,6.127816087238083
IDW,mae,cross,0.3,11.444924627122456
IDW,rmse,cross,0.3,12.069563523958358
Kriging,mae,test,0.3,4.837184526160588
Kriging,rmse,test,0.3,6.5621561581399925
Kriging,mae,cross,0.3,12.111759975922215
Kriging,rmse,cross,0.3,12.951152262616946
Ensemble,mae,test,0.3,5.795032538327607
Ensemble,rmse,test,0.3,8.45733797076971
Ensemble,mae,cross,0.3,5.20794804374492
Ensemble,rmse,cross,0.3,6.464041541321585
MLP,mae,test,0.4,4.296314822041929
MLP,rmse,test,0.4,7.344985861935894
MLP,mae,cross,0.4,6.9688098146573925
MLP,rmse,cross,0.4,8.265452257176225
IDW,mae,test,0.4,4.564272185707005
IDW,rmse,test,0.4,7.728034125584162
IDW,mae,cross,0.4,10.864301749076855
IDW,rmse,cross,0.4,11.548047225456445
Kriging,mae,test,0.4,4.907265682036403
