model,metric,split,size,value
MLP,mae,test,0.1,3.2462253196566713
MLP,rmse,test,0.1,5.385292580033239
MLP,mae,cross,0.1,14.439995378854285
MLP,rmse,cross,0.1,15.188820065991925
IDW,mae,test,0.1,2.2318630689273573
IDW,rmse,test,0.1,4.003401116680736
IDW,mae,cross,0.1,11.67801403818226
IDW,rmse,cross,0.1,12.302353847932801
Kriging,mae,test,0.1,3.542445706373975
Kriging,rmse,test,0.1,6.070516450930469
Kriging,mae,cross,0.1,12.298342897818346
Kriging,rmse,cross,0.1,13.077730534693398
Ensemble,mae,test,0.1,2.3034415694351096
Ensemble,rmse,test,0.1,3.5074266893713664
Ensemble,mae,cross,0.1,6.85390532498263
Ensemble,rmse,cross,0.1,8.417180060520051
MLP,mae,test,0.2,2.8300574059579886
MLP,rmse,test,0.2,4.246255797432208
MLP,mae,cross,0.2,7.309493798967027
MLP,rmse,cross,0.2,8.471461714551745
IDW,mae,test,0.2,1.518813994664236
IDW,rmse,test,0.2,3.1293615164268633
IDW,mae,cross,0.2,11.7168565823088
IDW,rmse,cross,0.2,12.338481968074689
Kriging,mae,test,0.2,2.9747250533876577
Kriging,rmse,test,0.2,4.869652276699701
Kriging,mae,cross,0.2,12.394262004447812
Kriging,rmse,cross,0.2,13.180788723158628
Ensemble,mae,test,0.2,1.635780615327139
Ensemble,rmse,test,0.2,2.6080226349864675
Ensemble,mae,cross,0.2,6.803402980550237
Ensemble,rmse,cross,0.2,8.4881728788537
MLP,mae,test,0.3,2.6574884551802493
MLP,rmse,test,0.3,4.072567787130621
MLP,mae,cross,0.3,3.9482570275405005
MLP,rmse,cross,0.3,5.2770686369171065
IDW,mae,test,0.3,1.7488383073945541
IDW,rmse,test,0.3,3.4064280036751304
IDW,mae,cross,0.3,11.829239797536117
IDW,rmse,cross,0.3,12.451546159116635
Kriging,mae,test,0.3,2.9697028311686298
Kriging,rmse,test,0.3,4.733208725080592
Kriging,mae,cross,0.3,12.48065002378506
Kriging,rmse,cross,0.3,13.282879088981531
Ensemble,mae,test,0.3,1.9978601666588192
Ensemble,rmse,test,0.3,3.2672922353212868
Ensemble,mae,cross,0.3,5.864736680638984
Ensemble,rmse,cross,0.3,7.526041561587292
MLP,mae,test,0.4,3.1150000811797645
MLP,rmse,test,0.4,4.239278189125012
MLP,mae,cross,0.4,3.883651120595664
MLP,rmse,cross,0.4,5.413950941105808
IDW,mae,test,0.4,1.6088936437929915
IDW,rmse,test,0.4,3.0880470319824105
IDW,mae,cross,0.4,11.89278022436969
IDW,rmse,cross,0.4,12.500608958018432
Kriging,mae,test,0.4,3.075962443256477
Kriging,rmse,test,0.4,4.800016723252195
Kriging,mae,cross,0.4,12.594876484410445
Kriging,rmse,cross,0.4,13.445035701619034
Ensemble,mae,test,0.4,2.0008049696525627
Ensemble,rmse,test,0.4,3.2990870526352123
Ensemble,mae,cross,0.4,6.463466528146638
Ensemble,rmse,cross,0.4,8.374128065763312
MLP,mae,test,0.5,2.850060500497893
MLP,rmse,test,0.5,3.923830130602497
MLP,mae,cross,0.5,3.646330255102441
MLP,rmse,cross,0.5,5.322789777790108
IDW,mae,test,0.5,1.7590577623136958
IDW,rmse,test,0.5,3.1484717130634388
IDW,mae,cross,0.5,12.070999180902653
IDW,rmse,cross,0.5,12.676819876545302
Kriging,mae,test,0.5,3.365100289812932
Kriging,rmse,test,0.5,5.016098189226882
Kriging,mae,cross,0.5,12.8919939476739
Kriging,rmse,cross,0.5,13.771071170725703
Ensemble,mae,test,0.5,2.262081483298623
Ensemble,rmse,test,0.5,3.934811704539967
Ensemble,mae,cross,0.5,6.436793793233916
Ensemble,rmse,cross,0.5,8.293080297491741
MLP,mae,test,0.1,2.9506427540498623
MLP,rmse,test,0.1,4.9867398505824525
MLP,mae,cross,0.1,11.57820716663856
MLP,rmse,cross,0.1,12.561678642246553
IDW,mae,test,0.1,1.416752743142459
IDW,rmse,test,0.1,3.8040316167332784
IDW,mae,cross,0.1,11.639794922954499
IDW,rmse,cross,0.1,12.27039088964467
Kriging,mae,test,0.1,2.6267912896436805
Kriging,rmse,test,0.1,5.02950761884494
Kriging,mae,cross,0.1,12.252007704298277
Kriging,rmse,cross,0.1,13.039194152788298
Ensemble,mae,test,0.1,1.592629361461573
Ensemble,rmse,test,0.1,3.8117337506678566
Ensemble,mae,cross,0.1,6.860595392233156
Ensemble,rmse,cross,0.1,8.296805044955986
MLP,mae,test,0.2,3.0621215969908473
MLP,rmse,test,0.2,5.174143621222411
MLP,mae,cross,0.2,9.339831708425498
MLP,rmse,cross,0.2,10.228615244301336
IDW,mae,test,0.2,1.7476476128815404
IDW,rmse,test,0.2,4.714184801721585
IDW,mae,cross,0.2,11.730229685016491
IDW,rmse,cross,0.2,12.356091339204712
Kriging,mae,test,0.2,3.8398770814343797
Kriging,rmse,test,0.2,6.691742207399545
Kriging,mae,cross,0.2,12.388585627255582
Kriging,rmse,cross,0.2,13.155307026502856
Ensemble,mae,test,0.2,2.0937743583932775
Ensemble,rmse,test,0.2,4.024126289108909
Ensemble,mae,cross,0.2,6.944103642198335
Ensemble,rmse,cross,0.2,8.440477501078087
MLP,mae,test,0.3,2.994154288098703
MLP,rmse,test,0.3,4.793060592432973
MLP,mae,cross,0.3,8.305256502695352
MLP,rmse,cross,0.3,9.940052130962668
IDW,mae,test,0.3,1.7653254856887544
IDW,rmse,test,0.3,4.106686218921304
IDW,mae,cross,0.3,11.809654111204319
IDW,rmse,cross,0.3,12.432696204232222
Kriging,mae,test,0.3,3.7686499501035815
Kriging,rmse,test,0.3,6.155502802486875
Kriging,mae,cross,0.3,12.556574207475022
Kriging,rmse,cross,0.3,13.362446637190782
Ensemble,mae,test,0.3,2.223324052292038
Ensemble,rmse,test,0.3,3.7986524610238925
Ensemble,mae,cross,0.3,7.389159704658372
Ensemble,rmse,cross,0.3,8.821166211162206
MLP,mae,test,0.4,2.706549940438106
MLP,rmse,test,0.4,4.384543650752817
MLP,mae,cross,0.4,10.7305116717276
MLP,rmse,cross,0.4,11.83357958831114
IDW,mae,test,0.4,1.6651364084981934
