Method,Test Size,MAE,,,,MAEt,,,,MAEu,,,,MAEe,,,,MAEi,,,,MAEk
IDW,0.1,1.309895464,,Transformer,0.1,1.54751269,,U-Net,0.1,61.44436227,,Ensemble,0.1,1.436874418,,IDW,0.1,1.309895464,,Kriging,0.1,3.374315793
Kriging,0.1,3.374315793,,Transformer,0.2,2.205099889,,U-Net,0.2,64.66613515,,Ensemble,0.2,1.272453834,,IDW,0.2,0.769151688,,Kriging,0.2,2.568193812
Ensemble,0.1,1.436874418,,Transformer,0.3,1.697596992,,U-Net,0.3,62.34480388,,Ensemble,0.3,1.453510191,,IDW,0.3,0.894333545,,Kriging,0.3,3.487648413
U-Net,0.1,61.44436227,,Transformer,0.4,2.042517168,,U-Net,0.4,64.41971193,,Ensemble,0.4,1.506532961,,IDW,0.4,0.984718646,,Kriging,0.4,2.662636526
Transformer,0.1,1.54751269,,Transformer,0.5,1.438713074,,U-Net,0.5,63.82510764,,Ensemble,0.5,1.771495573,,IDW,0.5,1.593398,,Kriging,0.5,3.015576371
IDW,0.2,0.769151688,,Transformer,0.1,1.510680244,,U-Net,0.1,61.01456006,,Ensemble,0.1,1.289861619,,IDW,0.1,0.82296846,,Kriging,0.1,3.768938689
Kriging,0.2,2.568193812,,Transformer,0.2,1.62806124,,U-Net,0.2,64.57832355,,Ensemble,0.2,1.302830645,,IDW,0.2,0.449138488,,Kriging,0.2,2.979794226
Ensemble,0.2,1.272453834,,Transformer,0.3,1.750429731,,U-Net,0.3,63.71579994,,Ensemble,0.3,1.471634926,,IDW,0.3,1.041171682,,Kriging,0.3,2.770969272
U-Net,0.2,64.66613515,,Transformer,0.4,1.838741183,,U-Net,0.4,64.03088882,,Ensemble,0.4,1.430883561,,IDW,0.4,1.254905224,,Kriging,0.4,3.912183521
Transformer,0.2,2.205099889,,Transformer,0.5,1.542359258,,U-Net,0.5,64.06871633,,Ensemble,0.5,1.588556927,,IDW,0.5,1.302438786,,Kriging,0.5,2.423721429
IDW,0.3,0.894333545,,Transformer,0.1,1.264362755,,U-Net,0.1,65.36551869,,Ensemble,0.1,1.337645128,,IDW,0.1,1.096193067,,Kriging,0.1,3.452946087
Kriging,0.3,3.487648413,,Transformer,0.2,1.475730193,,U-Net,0.2,65.88464894,,Ensemble,0.2,1.590608825,,IDW,0.2,1.221450899,,Kriging,0.2,3.769658575
Ensemble,0.3,1.453510191,,Transformer,0.3,1.693761102,,U-Net,0.3,66.8061396,,Ensemble,0.3,1.56197714,,IDW,0.3,1.01364991,,Kriging,0.3,3.590720608
U-Net,0.3,62.34480388,,Transformer,0.4,1.823444503,,U-Net,0.4,65.34151643,,Ensemble,0.4,1.629578115,,IDW,0.4,1.146312657,,Kriging,0.4,3.31478878
Transformer,0.3,1.697596992,,Transformer,0.5,1.362323976,,U-Net,0.5,65.96237672,,Ensemble,0.5,1.66870256,,IDW,0.5,1.198150681,,Kriging,0.5,3.088824772
IDW,0.4,0.984718646,,Transformer,0.1,2.037011873,,U-Net,0.1,67.8089645,,Ensemble,0.1,1.209081479,,IDW,0.1,0.69408704,,Kriging,0.1,3.606824681
Kriging,0.4,2.662636526,,Transformer,0.2,1.714425501,,U-Net,0.2,64.21210313,,Ensemble,0.2,1.272453834,,IDW,0.2,0.769151688,,Kriging,0.2,2.568193812
Ensemble,0.4,1.506532961,,Transformer,0.3,1.577137446,,U-Net,0.3,63.68954417,,Ensemble,0.3,1.505754042,,IDW,0.3,1.13028749,,Kriging,0.3,2.252120155
U-Net,0.4,64.41971193,,Transformer,0.4,1.688428538,,U-Net,0.4,65.204947,,Ensemble,0.4,1.55248349,,IDW,0.4,0.854989337,,Kriging,0.4,4.043162901
Transformer,0.4,2.042517168,,Transformer,0.5,1.720517545,,U-Net,0.5,64.3912795,,Ensemble,0.5,1.701461267,,IDW,0.5,1.243876699,,Kriging,0.5,3.606076879
IDW,0.5,1.593398,,Transformer,0.1,1.406006824,,U-Net,0.1,68.4041097,,Ensemble,0.1,1.415987175,,IDW,0.1,1.223691824,,Kriging,0.1,2.057759499
Kriging,0.5,3.015576371,,Transformer,0.2,1.564467425,,U-Net,0.2,64.58625105,,Ensemble,0.2,1.42695941,,IDW,0.2,1.375138463,,Kriging,0.2,4.194456634
Ensemble,0.5,1.771495573,,Transformer,0.3,1.992268442,,U-Net,0.3,64.14717177,,Ensemble,0.3,1.369712149,,IDW,0.3,0.960551466,,Kriging,0.3,2.707830509
U-Net,0.5,63.82510764,,Transformer,0.4,1.778039847,,U-Net,0.4,63.09032286,,Ensemble,0.4,1.571718925,,IDW,0.4,1.0952899,,Kriging,0.4,3.166547564
Transformer,0.5,1.438713074,,Transformer,0.5,1.482095775,,U-Net,0.5,63.99984162,,Ensemble,0.5,1.654028644,,IDW,0.5,1.293537736,,Kriging,0.5,3.896805688
