,predicted_rsrp,predicted_rsrq,predicted_sinr,true_rsrp,true_rsrq,true_sinr
0,-95.200356,-15.519351,-8.967167,-94.0,-15.0,-8.0
1,-96.501686,-11.469403,-6.317126,-96.0,-12.0,-6.0
2,-95.60773,-8.724464,0.010304153,-95.0,-9.0,0.0
3,-91.4018,-10.401392,-5.194941,-90.0,-10.0,-6.0
4,-92.35322,-7.8484054,-7.3487935,-90.0,-8.0,-6.0
5,-94.1497,-10.62027,-5.9770823,-93.0,-10.0,-6.0
6,-98.55274,-11.646836,-0.7269637,-97.0,-12.0,-2.0
7,-89.36132,-9.547295,-3.4693902,-89.0,-10.0,-4.0
8,-100.154205,-12.604156,-6.650396,-98.0,-12.0,-6.0
9,-106.30515,-19.763184,-16.103325,-106.0,-19.0,-20.0
10,-100.76885,-15.096563,-20.894434,-99.0,-15.0,-20.0
11,-94.150925,-14.249255,-11.53677,-93.0,-14.0,-12.0
12,-109.27497,-16.096392,-11.966961,-117.0,-16.0,-9.0
13,-103.91676,-13.200725,-2.4929552,-103.0,-13.0,-3.0
14,-89.26621,-9.674849,-3.4255133,-89.0,-10.0,-4.0
15,-102.102264,-14.2648945,-8.322893,-100.0,-14.0,-8.0
16,-101.36457,-14.244318,-8.125397,-100.0,-14.0,-8.0
17,-109.2822,-16.323439,-13.722834,-118.0,-15.0,-20.0
18,-104.08144,-13.640627,-2.890737,-103.0,-13.0,-3.0
19,-103.28475,-17.971233,-21.654795,-102.0,-18.0,-20.0
20,-92.13865,-13.812426,-1.3688462,-91.0,-14.0,-2.0
21,-92.093575,-11.993412,-21.098162,-90.0,-11.0,-20.0
22,-94.956436,-8.527082,-3.7001536,-94.0,-8.0,-3.0
23,-98.36381,-15.888859,-15.512653,-99.0,-18.0,-20.0
24,-97.00457,-15.940294,-12.344818,-95.0,-15.0,-10.0
25,-99.22688,-7.891108,0.0724079,-98.0,-8.0,0.0
26,-92.45852,-16.380308,-10.690466,-92.0,-15.0,-10.0
27,-88.62703,-9.273426,-3.637671,-87.0,-8.0,-2.0
28,-91.8449,-11.485214,-10.863724,-90.0,-13.0,-9.0
29,-96.07581,-15.334145,-10.699562,-95.0,-14.0,-20.0
30,-104.89268,-19.429487,-14.513123,-103.0,-19.0,-14.0
31,-95.696335,-17.0417,-9.186785,-95.0,-16.0,-8.0
32,-101.47004,-17.9501,-10.875832,-101.0,-17.0,-10.0
33,-89.86335,-10.664932,-2.2319174,-89.0,-10.0,-3.0
34,-105.398094,-20.027456,-17.924326,-107.0,-19.5,-20.0
35,-90.81593,-11.523733,-6.7786784,-88.0,-9.0,-7.0
36,-88.25424,-8.402374,-4.10018,-88.0,-11.0,-13.0
37,-93.51143,-12.355486,-6.8110547,-92.0,-12.0,-7.0
38,-96.21169,-15.20541,-10.962601,-97.0,-15.0,-9.0
39,-95.785164,-16.426855,-8.499445,-95.0,-16.0,-8.0
40,-90.720024,-11.4896755,-5.442002,-87.0,-11.0,-1.0
41,-90.40035,-10.022585,-2.8357387,-89.0,-10.0,-3.0
42,-97.03041,-12.6082535,-5.5479846,-96.0,-12.0,-6.0
43,-96.435524,-9.523935,-3.4533994,-95.0,-9.0,-4.0
44,-95.84892,-11.10077,-8.556089,-95.0,-11.0,-9.0
45,-93.60049,-11.204467,-4.018163,-92.0,-11.0,-4.0
46,-99.53469,-13.904596,-7.8999515,-99.0,-14.0,-7.0
47,-98.55468,-11.614094,-1.0427849,-97.0,-12.0,-2.0
48,-91.42523,-12.448819,-7.690327,-91.0,-12.0,-6.0
49,-90.23137,-11.008435,-9.438307,-88.0,-9.0,-7.0
50,-94.30962,-8.133984,0.13927373,-93.0,-9.0,0.0
51,-109.22538,-16.123411,-11.189007,-117.0,-16.0,-9.0
52,-109.272095,-16.306587,-11.671249,-116.0,-16.0,-11.0
53,-101.15716,-14.196724,-8.281456,-100.0,-14.0,-8.0
54,-96.74186,-15.853786,-11.767508,-92.0,-16.0,-13.0
55,-95.3745,-16.549843,-11.214752,-94.0,-16.0,-11.0
56,-99.50047,-14.065897,-6.8783927,-99.0,-14.0,-7.0
57,-93.68689,-15.325426,-17.349009,-93.0,-16.0,-20.0
58,-98.52189,-12.508379,-4.7922444,-96.0,-12.0,-4.0
59,-90.29923,-11.601681,-6.2581325,-88.0,-9.0,-7.0
60,-102.92994,-19.80078,-12.391787,-102.0,-19.5,-12.0
61,-98.75788,-8.343005,0.3759566,-98.0,-8.0,0.0
62,-89.62374,-10.76799,-3.7673357,-89.0,-10.0,-4.0
63,-96.733536,-15.625235,-12.046011,-95.0,-15.0,-10.0
64,-94.43852,-10.438217,-5.148969,-93.0,-10.0,-6.0
65,-88.28236,-8.328527,-4.138146,-88.0,-7.0,-3.0
66,-94.963005,-13.985987,-9.510862,-94.0,-14.0,-10.0
67,-94.3367,-15.974121,-20.508768,-93.0,-16.0,-20.0
68,-93.6896,-14.32184,-8.91099,-94.0,-16.0,-11.0
69,-96.042274,-15.2894945,-10.543423,-94.0,-15.0,-8.0
70,-104.58293,-17.235674,-11.392078,-103.0,-17.0,-11.0
71,-89.256355,-10.006406,1.17902,-91.0,-9.0,4.0
72,-101.74732,-20.081944,-20.79422,-100.0,-19.5,-20.0
73,-93.294044,-12.295401,-7.1610646,-92.0,-12.0,-7.0
74,-93.91105,-8.6638775,-0.7046914,-93.0,-9.0,0.0
75,-94.71937,-16.594229,-9.013832,-94.0,-16.0,-9.0
76,-94.68868,-8.039091,-0.41490144,-94.0,-8.0,-1.0
77,-92.42802,-12.183197,4.2257047,-93.0,-12.0,3.0
78,-95.57708,-9.449992,-7.3062572,-94.0,-9.0,-7.0
79,-90.301506,-12.447134,-4.810636,-89.0,-12.0,-5.0
80,-98.96191,-11.653486,-1.645502,-97.0,-12.0,-2.0
81,-95.920425,-15.368807,-10.324776,-94.0,-15.0,-8.0
82,-102.5118,-13.722072,-3.7867622,-103.0,-13.0,-3.0
83,-99.4835,-10.627832,-8.98708,-96.0,-10.0,-8.0
84,-94.059395,-10.511422,-6.1707954,-93.0,-10.0,-6.0
85,-89.76746,-11.958397,-3.813828,-87.0,-11.0,-1.0
86,-98.28038,-11.810947,-0.70672226,-97.0,-12.0,-2.0
87,-94.92169,-8.294267,-0.39751,-94.0,-8.0,-1.0
88,-102.372086,-19.153221,-12.520359,-101.0,-19.0,-12.0
89,-94.690865,-8.401285,0.12465888,-94.0,-8.0,-1.0
90,-109.26464,-16.065603,-11.367926,-117.0,-16.0,-9.0
91,-90.5276,-10.627363,-2.9227371,-89.0,-10.0,-3.0
92,-96.44785,-15.409129,-11.627594,-95.0,-14.0,-11.0
93,-88.411705,-9.5515375,0.553952,-87.0,-10.0,1.0
94,-92.47709,-14.411613,-11.539665,-92.0,-15.0,-11.0
95,-96.07226,-8.86351,0.4949721,-95.0,-9.0,0.0
96,-96.219154,-15.257787,-10.942499,-97.0,-15.0,-9.0
97,-96.25214,-14.928682,-11.499336,-95.0,-14.0,-11.0
98,-95.791756,-15.335438,-9.965382,-94.0,-15.0,-8.0
99,-88.663536,-7.723351,-3.999618,-88.0,-7.0,-3.0
100,-103.942245,-13.130091,-2.6223514,-103.0,-13.0,-3.0
101,-101.53316,-17.649942,-10.557459,-101.0,-17.0,-10.0
102,-94.22948,-16.210539,-10.926733,-94.0,-16.0,-11.0
103,-101.435,-14.294276,-9.376453,-98.0,-14.0,-10.0
104,-101.73961,-19.174858,-12.527504,-101.0,-19.0,-12.0
105,-96.21012,-15.305447,-10.936663,-97.0,-15.0,-9.0
106,-94.69103,-16.676868,-9.104685,-94.0,-16.0,-9.0
107,-109.29746,-16.323845,-11.839794,-116.0,-16.0,-11.0
