,predicted_rsrp,predicted_rsrq,predicted_sinr,true_rsrp,true_rsrq,true_sinr,,,,,,,,,,,,distance_to_tower,azimuth,elevation_angle,,rsrp_mae,distX100
0,-101.521835,-15.662937,-10.136777,-118,-16,-20,,,,,,,,,,,,0.000247146,172.1420115,-86.12358429,,16.478165,0.0247146
1,-101.46,-15.218004,-9.836692,-118,-15,-10,,,,,,,,,,,,0.000247146,172.1420115,-86.12358429,,16.54,0.0247146
2,-97.67014,-11.846661,-6.9528227,-118,-15,-10,,,,,,,,,,,,0.000236128,171.7728299,-86.12358429,,20.32986,0.0236128
3,-100.574005,-15.831589,-12.357215,-118,-15,-20,,,,,,,,,,,,0.000215301,169.1443462,-86.53177074,,17.425995,0.0215301
4,-101.32153,-15.401448,-11.557313,-117,-14,-9,,,,,,,,,,,,0.000186112,163.1100729,-86.53177074,,15.67847,0.0186112
5,-101.30325,-15.623432,-11.761504,-118,-16,-20,,,,,,,,,,,,0.000298851,102.9406227,-86.53177074,,16.69675,0.0298851
6,-99.81915,-14.422539,-9.302474,-118,-16,-20,,,,,,,,,,,,0.000572948,83.29146896,-82.13824652,,18.18085,0.0572948
7,-100.93376,-14.452545,-8.057069,-117,-16,-9,,,,,,,,,,,,0.000572948,83.29146896,-82.13824652,,16.06624,0.0572948
8,-100.5602,-13.955565,-8.193495,-117,-16,-9,,,,,,,,,,,,0.000495653,86.12846444,-82.13824652,,16.4398,0.0495653
9,-101.80088,-15.479533,-10.48808,-117,-16,-9,,,,,,,,,,,,0.000408891,96.26497204,-85.58222566,,15.19912,0.0408891
10,-101.48538,-15.943327,-11.231767,-117,-16,-9,,,,,,,,,,,,0.000357795,111.9633282,-85.58222566,,15.51462,0.0357795
11,-101.56116,-15.216486,-10.012067,-117,-16,-9,,,,,,,,,,,,0.000808573,220.7353125,-86.10104311,,15.43884,0.0808573
12,-97.436646,-13.064998,-7.842951,-117,-16,-9,,,,,,,,,,,,0.00435395,244.8411769,-86.10104311,,19.563354,0.435395
13,-100.50903,-14.802727,-10.073601,-117,-16,-9,,,,,,,,,,,,0.006938855,247.1129839,-50.33886662,,16.49097,0.6938855
14,-98.86325,-15.107605,-12.406251,-117,-16,-9,,,,,,,,,,,,0.006938855,247.1129839,-50.33886662,,18.13675,0.6938855
15,-101.53796,-15.695477,-10.087899,-117,-16,-9,,,,,,,,,,,,0.007547417,251.2079789,-50.33886662,,15.46204,0.7547417
16,-101.489975,-16.244524,-11.339614,-117,-16,-9,,,,,,,,,,,,0.007351174,260.391512,-50.44639716,,15.510025,0.7351174
17,-95.29033,-11.917152,-7.5876064,-118,-17,-20,,,,,,,,,,,,0.007584247,281.0227236,-50.44639716,,22.70967,0.7584247
18,-100.18959,-14.332022,-10.490336,-116,-16,-11,,,,,,,,,,,,0.009733781,314.562049,-50.44639716,,15.81041,0.9733781
19,-100.450386,-14.801201,-9.968301,-116,-16,-11,,,,,,,,,,,,0.011660377,327.7939826,-41.76024942,,15.549614,1.1660377
20,-98.3988,-12.633186,-7.550846,-116,-16,-11,,,,,,,,,,,,0.014638777,339.3987199,-41.76024942,,17.6012,1.4638777
21,-99.789185,-14.011763,-7.6989937,-116,-16,-11,,,,,,,,,,,,0.014638777,339.3987199,-41.76024942,,16.210815,1.4638777
22,-101.604996,-15.362855,-9.7153845,-116,-16,-11,,,,,,,,,,,,0.017389864,345.2519953,-29.67627644,,14.395004,1.7389864
23,-101.70366,-15.576977,-11.290887,-116,-16,-11,,,,,,,,,,,,0.021030553,349.8200679,-29.67627644,,14.29634,2.1030553
