,predicted_rsrp,predicted_rsrq,predicted_sinr,true_rsrp,true_rsrq,true_sinr
0,-110.51147,-11.435986,-4.59552,-109.0,-11.0,-4.0
1,-115.34199,-20.47963,-19.95662,-115.0,-19.0,-20.0
2,-105.01545,-13.193972,-4.392736,-104.0,-13.0,-4.0
3,-105.28927,-8.094206,-1.8914074,-103.0,-8.0,-1.0
4,-112.23577,-15.129078,-5.4597716,-111.0,-15.0,-6.0
5,-111.99053,-11.836596,-7.9838934,-110.0,-11.0,-7.0
6,-117.06428,-19.51475,-17.964378,-118.0,-19.0,-20.0
7,-106.29338,-8.755318,-0.23446496,-106.0,-9.0,-1.0
8,-115.179016,-18.236956,-13.517417,-113.0,-19.0,-14.0
9,-96.24321,-9.572846,3.0977404,-94.0,-9.0,3.0
10,-117.47196,-19.467316,-16.117767,-115.0,-19.5,-15.0
11,-106.16007,-13.350359,-5.810864,-105.0,-13.0,-6.0
12,-110.80256,-11.30406,-6.6295724,-110.0,-11.0,-7.0
13,-106.565216,-10.147708,1.5531458,-105.0,-8.0,5.0
14,-111.9154,-11.748376,-7.98176,-110.0,-11.0,-7.0
15,-113.91859,-17.885237,-11.983168,-111.0,-18.0,-12.0
16,-113.33934,-15.945141,-8.389083,-111.0,-15.0,-6.0
17,-109.71314,-11.599746,-3.7947626,-109.0,-11.0,-4.0
18,-107.22646,-10.999418,-0.17493887,-104.0,-11.0,-1.0
19,-107.81048,-9.852606,-2.1201336,-106.0,-10.0,-2.0
20,-115.80554,-19.341473,-17.359568,-114.0,-18.0,-14.0
21,-105.01281,-10.89802,-2.0675504,-104.0,-11.0,-1.0
22,-114.74698,-11.709057,-5.4170203,-115.0,-10.0,-4.0
23,-106.92501,-10.357783,-1.4647526,-106.0,-10.0,-2.0
24,-115.328636,-19.34202,-14.663814,-113.0,-19.0,-14.0
25,-115.53942,-12.392763,-6.286107,-115.0,-10.0,-4.0
26,-113.94755,-18.268566,-13.351555,-113.0,-19.0,-14.0
27,-101.7585,-10.827583,-0.64662355,-100.0,-11.0,-1.0
28,-113.52197,-19.225164,-14.685722,-111.0,-19.0,-14.0
29,-101.48055,-9.351963,0.8453255,-101.0,-8.0,1.0
30,-102.0071,-14.137488,-3.511941,-100.0,-14.0,-3.0
31,-107.47169,-9.278436,-1.2224995,-106.0,-9.0,-1.0
32,-106.81165,-12.326347,-0.46011156,-104.0,-12.0,2.0
33,-101.070244,-10.18009,2.0462604,-98.0,-10.0,2.0
34,-112.86561,-18.570637,-13.539918,-111.0,-18.0,-12.0
35,-103.51331,-11.877459,-2.3873823,-98.0,-10.0,2.0
36,-105.1376,-12.623501,-4.1775517,-103.0,-12.0,-4.0
37,-104.46781,-9.736626,-1.1025699,-103.0,-9.0,-1.0
38,-101.978226,-11.330259,-1.7832543,-100.0,-11.0,-1.0
39,-106.108986,-10.790392,-0.9148423,-104.0,-10.0,0.0
40,-117.49413,-19.783281,-14.287911,-115.0,-19.0,-13.0
41,-112.440765,-17.92611,-11.922268,-111.0,-18.0,-12.0
42,-111.95469,-16.88617,-13.845425,-111.0,-17.0,-17.0
43,-105.29114,-13.360559,-4.253099,-104.0,-13.0,-4.0
44,-104.69228,-9.390501,-1.1059138,-103.0,-9.0,-1.0
45,-113.40693,-18.672468,-13.275401,-111.0,-19.0,-14.0
46,-112.08484,-12.037832,-8.320956,-110.0,-11.0,-7.0
47,-103.13427,-10.601418,-0.3810392,-101.0,-10.0,1.0
48,-104.95342,-12.449247,-4.089127,-103.0,-12.0,-4.0
49,-116.07605,-19.250837,-16.993122,-114.0,-18.0,-20.0
50,-116.86505,-19.457533,-16.42659,-114.0,-19.5,-16.0
51,-103.925125,-9.161707,0.13002293,-101.0,-10.0,1.0
52,-110.36291,-19.492147,-19.827467,-109.0,-19.0,-20.0
53,-105.195335,-9.418148,-0.24537976,-103.0,-9.0,-1.0
54,-114.03959,-15.533031,-7.518665,-111.0,-15.0,-6.0
55,-104.12014,-13.509598,-8.051216,-112.0,-19.5,-15.0
56,-106.51038,-9.00016,-1.6054049,-104.0,-9.0,-2.0
57,-105.92061,-19.571724,-15.829788,-103.0,-19.0,-15.0
58,-114.381454,-18.282871,-12.916906,-113.0,-19.0,-15.0
59,-116.66544,-17.743038,-11.49204,-114.0,-17.0,-10.0
60,-112.595406,-14.609617,-8.625195,-109.0,-13.0,-8.0
61,-107.20988,-14.104677,-7.0380645,-105.0,-13.0,-6.0
62,-115.52058,-18.446554,-15.508772,-114.0,-18.0,-14.0
63,-115.45784,-16.438816,-10.31096,-112.0,-15.0,-5.0
64,-103.046555,-7.434007,-0.21292718,-93.0,-7.0,4.0
65,-115.32931,-18.75044,-16.033384,-114.0,-18.0,-14.0
66,-116.68308,-17.370955,-11.203508,-114.0,-17.0,-10.0
67,-104.66184,-8.195135,-1.4705247,-106.0,-9.0,-1.0
68,-117.44282,-19.375431,-13.595288,-117.0,-19.5,-13.0
69,-106.94831,-10.859893,-1.851384,-104.0,-11.0,-1.0
70,-105.98942,-9.086876,-1.1846219,-104.0,-11.0,-1.0
71,-107.76757,-10.369038,-2.2599382,-109.0,-11.0,-4.0
72,-115.07726,-14.964795,-9.335978,-113.0,-15.0,-7.0
73,-99.474365,-10.203567,2.3178961,-100.0,-10.0,2.0
74,-105.19994,-12.593821,-4.201755,-103.0,-12.0,-4.0
75,-113.26745,-15.383877,-8.492576,-110.0,-14.0,-8.0
76,-104.648155,-14.466966,-9.954265,-96.0,-10.0,-4.0
77,-118.00259,-18.251577,-14.112937,-112.0,-17.0,-12.0
78,-116.712006,-17.60905,-11.348589,-114.0,-17.0,-10.0
79,-106.54007,-10.903416,-1.5822994,-104.0,-11.0,-1.0
80,-116.10732,-17.174917,-12.318009,-140.0,-19.5,-20.0
81,-101.73279,-10.318043,-0.21607716,-100.0,-11.0,-1.0
82,-100.67578,-7.6764054,0.7223677,-100.0,-7.0,0.0
83,-116.836555,-18.629496,-13.511656,-115.0,-19.5,-15.0
