gps.lat,gps.lon,altitudeAMSL,localPosition.x,localPosition.y,localPosition.z,pressure,temperature,humidity,gas_resistance,distance_to_tower,azimuth,elevation_angle
52.6081822,1.5428175,15200,1.7,1.1,-3.7,1016.595338,7.380195313,77.82039927,3013426,0.000247146,172.1420115,-86.12358429
52.6081822,1.5428175,15200,1.7,1.1,-3.7,1016.59947,7.424921875,77.87603734,325907,0.000247146,172.1420115,-86.12358429
52.6081821,1.5428175,15200,1.7,1.1,-3.7,1016.606686,7.510664063,77.88858722,341903,0.000236128,171.7728299,-86.12358429
52.6081819,1.5428174,15200,1.6,1.1,-3.7,1016.613139,7.596992188,77.88019094,355432,0.000215301,169.1443462,-86.53177074
52.6081816,1.5428172,15200,1.6,1.1,-3.7,1016.618429,7.673359375,77.82123948,365322,0.000186112,163.1100729,-86.53177074
52.6081806,1.5428137,15200,1.6,1.1,-3.7,1016.622888,7.739960938,77.73282546,384312,0.000298851,102.9406227,-86.53177074
52.6081794,1.5428096,15800,1.4,0.8,-4.3,1016.620099,7.7815625,77.63376901,393392,0.000572948,83.29146896,-82.13824652
52.6081794,1.5428096,15800,1.4,0.8,-4.3,1016.616389,7.825703125,77.52812015,405063,0.000572948,83.29146896,-82.13824652
52.6081797,1.5428107,15800,1.4,0.8,-4.3,1016.621359,7.849335938,77.41951172,406752,0.000495653,86.12846444,-82.13824652
52.6081804,1.542812,18500,1.5,0.8,-7,1016.623674,7.879609375,77.30492636,416429,0.000408891,96.26497204,-85.58222566
52.6081812,1.5428131,18500,1.5,0.8,-7,1016.627763,7.901679688,77.19619151,422355,0.000357795,111.9633282,-85.58222566
52.6081855,1.5428258,20200,2,1.7,-8.7,1016.627804,7.923359375,77.06647141,429260,0.000808573,220.7353125,-86.10104311
52.6081966,1.5428762,20200,2,1.7,-8.7,1016.628565,7.937226563,76.97062598,433622,0.00435395,244.8411769,-86.10104311
52.6082042,1.5429124,20300,4.1,7.8,-8.8,1016.627804,7.949140625,76.85357572,439202,0.006938855,247.1129839,-50.33886662
52.6082042,1.5429124,20300,4.1,7.8,-8.8,1016.633305,7.966914063,76.76537126,441760,0.006938855,247.1129839,-50.33886662
52.6082018,1.5429235,20300,4.1,7.8,-8.8,1016.641602,7.980195313,76.65560359,449615,0.007547417,251.2079789,-50.33886662
52.608191,1.542925,20500,1.4,8.4,-9,1016.639307,7.982929688,76.54435054,451698,0.007351174,260.391512,-50.44639716
52.608167,1.5429279,20500,1.4,8.4,-9,1016.641523,7.988398438,76.44052344,453498,0.007584247,281.0227236,-50.44639716
52.6081187,1.5429205,20500,1.4,8.4,-9,1016.629887,7.98546875,76.33552169,460846,0.009733781,314.562049,-50.44639716
52.6080914,1.5429099,21400,-6.9,7.7,-9.9,1016.629887,7.98546875,76.34946223,461157,0.011660377,327.7939826,-41.76024942
52.6080569,1.5428942,21400,-6.9,7.7,-9.9,1016.631769,7.983515625,76.40494873,465878,0.014638777,339.3987199,-41.76024942
52.6080569,1.5428942,21400,-6.9,7.7,-9.9,1016.614578,7.98546875,76.07777771,471672,0.014638777,339.3987199,-41.76024942
52.6080289,1.5428835,22200,-15.8,5.5,-10.6,1016.583237,7.99328125,75.98146319,474623,0.017389864,345.2519953,-29.67627644
52.607994,1.542873,22200,-15.8,5.5,-10.6,1016.531633,8.01046875,75.90741766,478281,0.021030553,349.8200679,-29.67627644
52.6079582,1.5428638,23000,-24.7,3.9,-11.5,1016.44848,8.02296875,75.84662592,481655,0.024875903,352.8526994,-22.78268964
52.6079154,1.5428521,23000,-24.7,3.9,-11.5,1016.361649,8.038398438,75.7028512,485078,0.029534869,355.5251418,-22.78268964
52.6078799,1.542841,23000,-24.7,3.9,-11.5,1016.276466,8.050703125,75.35042553,488899,0.033431119,357.3353045,-22.78268964
52.6078799,1.542841,23000,-24.7,3.9,-11.5,1016.194946,8.045625,75.15546635,491716,0.033431119,357.3353045,-22.78268964
52.6078439,1.5428293,23900,-33.7,2.3,-12.4,1016.142995,8.048164063,75.01720243,492781,0.037408663,358.8303696,-18.76812148
52.6078156,1.5428209,23900,-33.7,2.3,-12.4,1016.104611,8.06203125,75.22717882,495284,0.040550498,359.7231049,-18.76812148
52.6077812,1.5428106,25000,-42.7,0.6,-13.5,1016.080706,8.070234375,75.20755469,498903,0.044380847,0.645590641,-16.4715864
52.6077394,1.5427971,25000,-42.7,0.6,-13.5,1016.044893,8.085664063,74.67638697,500733,0.049049911,1.649987862,-16.4715864
52.6077041,1.5427865,25900,-51.6,-1.1,-14.4,1016.012112,8.097773438,75.16991653,503317,0.053000592,2.301760633,-14.72923454
52.6076757,1.5427792,25900,-51.6,-1.1,-14.4,1015.940521,8.110078125,74.41712276,508188,0.056179458,2.675014103,-14.72923454
52.6076757,1.5427792,25900,-51.6,-1.1,-14.4,1015.891505,8.1175,74.81938337,507810,0.056179458,2.675014103,-14.72923454
52.60764,1.542769,26800,-60.6,-2.6,-15.3,1015.84037,8.132929688,74.19935283,510850,0.060182206,3.154004895,-13.44589998
52.6076037,1.5427587,26800,-60.6,-2.6,-15.3,1015.805099,8.1425,74.06267984,515869,0.064255714,3.575533233,-13.44589998
52.6075542,1.5427443,26800,-60.6,-2.6,-15.3,1015.754698,8.150117188,73.95339577,522182,0.069817066,4.090648493,-13.44589998
52.6075263,1.5427345,27700,-69.6,-4.1,-16.2,1015.702044,8.156367188,73.83018422,519401,0.072962601,4.435455662,-12.47705907
52.6074911,1.5427233,27700,-69.6,-4.1,-16.2,1015.662901,8.170820313,73.74265628,524187,0.076927983,4.771852858,-12.47705907
52.6074624,1.5427148,28700,-78.6,-5.9,-17.2,1015.634609,8.185664063,73.64144327,520987,0.080159172,4.99109462,-11.78497534
52.6074624,1.5427148,28700,-78.6,-5.9,-17.2,1015.599892,8.228632813,73.58558524,527427,0.080159172,4.99109462,-11.78497534
52.6074265,1.5427052,28700,-78.6,-5.9,-17.2,1015.557623,8.232929688,73.44853239,529883,0.084196114,5.194368252,-11.78497534
52.6073777,1.5426916,29500,-87.6,-7.4,-18,1015.508767,8.245625,73.35402236,530707,0.089688734,5.464990926,-11.11022727
52.6073558,1.5426846,29500,-87.6,-7.4,-18,1015.461444,8.245820313,73.24402721,531120,0.092160194,5.613445838,-11.11022727
52.6073381,1.5426777,29500,-87.6,-7.4,-18,1015.419356,8.280195313,73.21453558,532778,0.094166566,5.778566831,-11.11022727
52.6073325,1.5426686,30100,-92.6,-8.4,-18.6,1015.373802,8.318671875,73.09629781,536969,0.094850365,6.110251594,-10.87900797
52.607341,1.5426108,30100,-92.6,-8.4,-18.6,1015.331282,8.329023438,73.01533641,538663,0.094412234,8.529078917,-10.87900797
52.607341,1.5426108,30100,-92.6,-8.4,-18.6,1015.285105,8.327851563,72.88471936,539941,0.094412234,8.529078917,-10.87900797
52.6073539,1.5425544,30200,-91.3,-15,-18.7,1015.23987,8.359296875,72.85485642,542948,0.093645849,10.96636259,-10.98022354
52.6073674,1.542512,30200,-91.3,-15,-18.7,1015.205942,8.35109375,72.71647942,546424,0.092770892,12.8807016,-10.98022354
52.6073851,1.5424593,30200,-87,-23,-18.6,1015.175325,8.343867188,72.61260369,544246,0.091732591,15.32446401,-11.20532275
52.6073997,1.542417,30200,-87,-23,-18.6,1015.133649,8.345429688,72.54428231,548179,0.090981109,17.33183067,-11.20532275
52.6074172,1.5423656,30200,-82.4,-31,-18.6,1015.089763,8.366328125,72.4718603,546862,0.090246746,19.80666962,-11.43279475
52.6074172,1.5423656,30200,-82.4,-31,-18.6,1015.041277,8.367890625,72.38988483,549503,0.090246746,19.80666962,-11.43279475
52.6074414,1.5422937,30200,-82.4,-31,-18.6,1014.997611,8.389960938,72.33136987,552617,0.08953676,23.31935151,-11.43279475
52.6074548,1.5422522,30200,-82.4,-31,-18.6,1014.944698,8.395039063,72.21572371,556219,0.08933954,25.35086356,-11.43279475
52.6074719,1.5421999,30200,-78.1,-39.1,-18.7,1014.902901,8.404804688,72.1692031,556219,0.089231215,27.92706694,-11.57423443
52.6074889,1.542149,30200,-78.1,-39.1,-18.7,1014.85797,8.401289063,72.04559521,560788,0.089265443,30.44879109,-11.57423443
52.6075032,1.5421083,30300,-73.7,-46.9,-18.7,1014.820123,8.412421875,71.97195888,561249,0.08935106,32.48817384,-11.56783599
52.6075289,1.542037,30300,-73.7,-46.9,-18.7,1014.789129,8.409101563,71.90314945,558038,0.089715061,36.07010282,-11.56783599
52.6075289,1.542037,30300,-73.7,-46.9,-18.7,1014.779311,8.415546875,72.1228295,560328,0.089715061,36.07010282,-11.56783599
52.607544,1.5419947,30100,-69.2,-54.8,-18.6,1014.769884,8.4284375,72.28202814,567313,0.090108599,38.17073815,-11.39140358
52.6075604,1.5419456,30100,-69.2,-54.8,-18.6,1014.71206,8.441914063,72.01712335,564965,0.090811148,40.53124341,-11.39140358
52.6075716,1.5419104,30100,-65.8,-61.1,-18.6,1014.672626,8.44484375,71.91500519,570155,0.09145434,42.17336185,-11.20786629
52.6075814,1.5418778,30100,-65.8,-61.1,-18.6,1014.650438,8.448945313,71.90191459,565902,0.092162192,43.64541807,-11.20786629
52.6076044,1.5418178,30100,-65.8,-61.1,-18.6,1014.62336,8.443867188,71.83971001,569680,0.093240237,46.53881719,-11.20786629
52.6076282,1.5417921,30300,-61.2,-67.4,-18.8,1014.60554,8.448554688,71.78572418,568730,0.09273857,48.46756784,-11.18225395
52.6076282,1.5417921,30300,-61.2,-67.4,-18.8,1014.595909,8.453046875,71.73855222,567784,0.09273857,48.46756784,-11.18225395
52.607659,1.5417589,30300,-61.2,-67.4,-18.8,1014.589108,8.463398438,71.69903918,570155,0.092243985,50.98973539,-11.18225395
52.6076878,1.5417272,30300,-53.5,-72.4,-18.8,1014.586511,8.4690625,71.66570137,572067,0.091980301,53.38539742,-11.30752492
