model,metric,split,size,value
LinReg,mae,test,0.1,1.9616534980263367
LinReg,rmse,test,0.1,3.0730115359677286
LinReg,mae,cross,0.1,30.378630313120027
LinReg,rmse,cross,0.1,31.026117609602508
ANN,mae,test,0.1,1.6062889099121094
ANN,rmse,test,0.1,2.631209276957094
ANN,mae,cross,0.1,2.577423095703125
ANN,rmse,cross,0.1,4.104456897770441
IDW,mae,test,0.1,1.130869667359903
IDW,rmse,test,0.1,2.6097593353146245
IDW,mae,cross,0.1,9.214305479562029
IDW,rmse,cross,0.1,10.410424478561561
Kriging,mae,test,0.1,2.7678571428885874
Kriging,rmse,test,0.1,4.157525346495284
Kriging,mae,cross,0.1,10.767857142888587
Kriging,rmse,cross,0.1,11.605774433311147
Ensemble,mae,test,0.1,0.6903078281102069
Ensemble,rmse,test,0.1,2.4985372665616903
Ensemble,mae,cross,0.1,6.422545030388619
Ensemble,rmse,cross,0.1,8.70862466919176
LinReg,mae,test,0.2,1.928927128712722
LinReg,rmse,test,0.2,3.258096130972035
LinReg,mae,cross,0.2,30.570341182283272
LinReg,rmse,cross,0.2,31.220513825911276
ANN,mae,test,0.2,1.7075366973876953
ANN,rmse,test,0.2,2.874158041306777
ANN,mae,cross,0.2,2.7674331665039062
ANN,rmse,cross,0.2,4.399938335818332
IDW,mae,test,0.2,1.1338734443599918
IDW,rmse,test,0.2,2.544597539090134
IDW,mae,cross,0.2,9.368111926292045
IDW,rmse,cross,0.2,10.54279454131861
Kriging,mae,test,0.2,2.840871021795664
Kriging,rmse,test,0.2,5.122481358523217
Kriging,mae,cross,0.2,10.840871021795664
Kriging,rmse,cross,0.2,11.67246294565311
Ensemble,mae,test,0.2,0.8656335618500606
Ensemble,rmse,test,0.2,2.5615892842922205
Ensemble,mae,cross,0.2,6.248413941588979
Ensemble,rmse,cross,0.2,8.674118803352485
LinReg,mae,test,0.3,1.9305387028621936
LinReg,rmse,test,0.3,3.4414676178232684
LinReg,mae,cross,0.3,30.73971855640798
LinReg,rmse,cross,0.3,31.391237674589444
ANN,mae,test,0.3,1.607818603515625
ANN,rmse,test,0.3,2.9779483834844833
ANN,mae,cross,0.3,2.435302734375
ANN,rmse,cross,0.3,4.136609050222868
IDW,mae,test,0.3,1.1536993980165704
IDW,rmse,test,0.3,2.5546536207581267
IDW,mae,cross,0.3,9.360253766191946
IDW,rmse,cross,0.3,10.546180757167141
Kriging,mae,test,0.3,3.160919540150033
Kriging,rmse,test,0.3,5.378140762051008
Kriging,mae,cross,0.3,10.839080459849939
Kriging,rmse,cross,0.3,11.670826598715408
Ensemble,mae,test,0.3,0.8894386766736204
Ensemble,rmse,test,0.3,2.487709141434659
Ensemble,mae,cross,0.3,6.332528405834651
Ensemble,rmse,cross,0.3,8.715101728540102
LinReg,mae,test,0.4,2.067879102854434
LinReg,rmse,test,0.4,3.574167230172521
LinReg,mae,cross,0.4,30.63385987486184
LinReg,rmse,cross,0.4,31.284570877940837
ANN,mae,test,0.4,1.5879936218261719
ANN,rmse,test,0.4,3.092518242204382
ANN,mae,cross,0.4,2.8857269287109375
ANN,rmse,cross,0.4,4.355071185832058
IDW,mae,test,0.4,1.0425895840524149
IDW,rmse,test,0.4,2.6129857330667288
IDW,mae,cross,0.4,9.353243016263193
IDW,rmse,cross,0.4,10.519542397360016
Kriging,mae,test,0.4,3.0669642857016726
Kriging,rmse,test,0.4,5.217546341588386
Kriging,mae,cross,0.4,10.93303571427272
Kriging,rmse,cross,0.4,11.756750511132614
Ensemble,mae,test,0.4,0.9755608656167496
Ensemble,rmse,test,0.4,2.842569532047536
Ensemble,mae,cross,0.4,6.332265105799834
Ensemble,rmse,cross,0.4,8.747445216126344
LinReg,mae,test,0.5,2.1115402724513004
LinReg,rmse,test,0.5,3.6069373961239015
LinReg,mae,cross,0.5,31.15716408167941
LinReg,rmse,cross,0.5,31.755995077684734
ANN,mae,test,0.5,2.079580307006836
ANN,rmse,test,0.5,3.1577528450465677
ANN,mae,cross,0.5,2.532318115234375
ANN,rmse,cross,0.5,4.301337775748747
IDW,mae,test,0.5,1.1726034911693333
IDW,rmse,test,0.5,2.71023858402056
IDW,mae,cross,0.5,9.615129947482387
IDW,rmse,cross,0.5,10.738352670558617
Kriging,mae,test,0.5,3.018766756038403
Kriging,rmse,test,0.5,5.479133213721042
Kriging,mae,cross,0.5,11.018766756038403
Kriging,rmse,cross,0.5,11.835259726690062
Ensemble,mae,test,0.5,1.0714859404149202
Ensemble,rmse,test,0.5,2.950020034229824
Ensemble,mae,cross,0.5,6.215750589497688
Ensemble,rmse,cross,0.5,8.56459312831429
LinReg,mae,test,0.1,2.0453786510573906
LinReg,rmse,test,0.1,3.2026596748152114
LinReg,mae,cross,0.1,31.03953768081263
LinReg,rmse,cross,0.1,31.669760777454123
ANN,mae,test,0.1,1.6521873474121094
ANN,rmse,test,0.1,2.5645686556128546
ANN,mae,cross,0.1,2.898193359375
ANN,rmse,cross,0.1,4.4806654946568525
IDW,mae,test,0.1,1.0969051629422495
IDW,rmse,test,0.1,2.000287518637727
IDW,mae,cross,0.1,9.466250836749907
IDW,rmse,cross,0.1,10.592147621159482
Kriging,mae,test,0.1,3.1160714286365874
Kriging,rmse,test,0.1,4.927812333712016
Kriging,mae,cross,0.1,10.883928571363413
Kriging,rmse,cross,0.1,11.711825684047858
Ensemble,mae,test,0.1,0.5652362841090621
Ensemble,rmse,test,0.1,1.6144424577827559
Ensemble,mae,cross,0.1,6.305799502675441
Ensemble,rmse,cross,0.1,8.648059554030269
LinReg,mae,test,0.2,1.7652031524029894
LinReg,rmse,test,0.2,3.1338606264073205
LinReg,mae,cross,0.2,30.148226138078996
LinReg,rmse,cross,0.2,30.807389485012386
ANN,mae,test,0.2,1.4068756103515625
ANN,rmse,test,0.2,2.533561527224388
ANN,mae,cross,0.2,2.4284133911132812
ANN,rmse,cross,0.2,4.516121133399264
IDW,mae,test,0.2,0.9342573470632374
IDW,rmse,test,0.2,2.0166498089000084
IDW,mae,cross,0.2,9.375966097130629
IDW,rmse,cross,0.2,10.525010238945923
Kriging,mae,test,0.2,2.999999999913335
Kriging,rmse,test,0.2,4.8835736093783035
Kriging,mae,cross,0.2,10.860971524202
Kriging,rmse,cross,0.2,11.690835362229874
Ensemble,mae,test,0.2,0.7280427069136373
Ensemble,rmse,test,0.2,1.816278823908728
Ensemble,mae,cross,0.2,6.422938629141754
Ensemble,rmse,cross,0.2,8.794608583967978
LinReg,mae,test,0.3,2.249993721336267
LinReg,rmse,test,0.3,3.5227072871972966
LinReg,mae,cross,0.3,30.678893054001932
LinReg,rmse,cross,0.3,31.30612438830972
ANN,mae,test,0.3,1.5004348754882812
ANN,rmse,test,0.3,2.7153302282368124
