model,metric,split,size,value
LinReg,mae,test,0.1,3.2467219856063565
LinReg,rmse,test,0.1,4.469986254021796
LinReg,mae,cross,0.1,2.162076945370515
LinReg,rmse,cross,0.1,3.6464123523387078
ANN,mae,test,0.1,2.7473487854003906
ANN,rmse,test,0.1,3.92621258368641
ANN,mae,cross,0.1,2.4780502319335938
ANN,rmse,cross,0.1,3.7990798470949025
IDW,mae,test,0.1,4.0099135966611925
IDW,rmse,test,0.1,4.505869831659894
IDW,mae,cross,0.1,7.105427357601002e-15
IDW,rmse,cross,0.1,1.5546197454964719
Kriging,mae,test,0.1,3.1190476189298835
Kriging,rmse,test,0.1,4.528451252712432
Kriging,mae,cross,0.1,1.177227204607334e-10
Kriging,rmse,cross,0.1,3.346021145192549
Ensemble,mae,test,0.1,3.61281116002516
Ensemble,rmse,test,0.1,5.596744001247064
Ensemble,mae,cross,0.1,0.1514017985754208
Ensemble,rmse,cross,0.1,1.93727592981537
LinReg,mae,test,0.2,3.3043708409925543
LinReg,rmse,test,0.2,5.140477071149616
LinReg,mae,cross,0.2,2.192278717847614
LinReg,rmse,cross,0.2,3.6917329445179634
ANN,mae,test,0.2,2.9004955291748047
ANN,rmse,test,0.2,4.642041101949142
ANN,mae,cross,0.2,2.0456466674804688
ANN,rmse,cross,0.2,4.230716679855143
IDW,mae,test,0.2,3.973977473204158
IDW,rmse,test,0.2,5.0799834473499095
IDW,mae,cross,0.2,7.105427357601002e-15
IDW,rmse,cross,0.2,2.351792002520172
Kriging,mae,test,0.2,3.0318257956211028
Kriging,rmse,test,0.2,5.273746596683907
Kriging,mae,cross,0.2,2.4442670110147446e-11
Kriging,rmse,cross,0.2,3.721623116253183
Ensemble,mae,test,0.2,2.9298378286979556
Ensemble,rmse,test,0.2,5.150182463419798
Ensemble,mae,cross,0.2,0.19102687180277655
Ensemble,rmse,cross,0.2,2.416776859082116
LinReg,mae,test,0.3,2.186333122037567
LinReg,rmse,test,0.3,4.4880211926375395
LinReg,mae,cross,0.3,2.219547491500272
LinReg,rmse,cross,0.3,3.747591898207079
ANN,mae,test,0.3,2.840778350830078
ANN,rmse,test,0.3,4.171956061456299
ANN,mae,cross,0.3,2.1471710205078125
ANN,rmse,cross,0.3,3.442116090727399
IDW,mae,test,0.3,2.821414766749399
IDW,rmse,test,0.3,4.4022190508662815
IDW,mae,cross,0.3,1.4210854715202004e-14
IDW,rmse,cross,0.3,2.4871992214067666
Kriging,mae,test,0.3,3.5134099616974197
Kriging,rmse,test,0.3,4.913030450222292
Kriging,mae,cross,0.3,0.4865900382189068
Kriging,rmse,cross,0.3,3.886513604746926
Ensemble,mae,test,0.3,2.0485824217854542
Ensemble,rmse,test,0.3,4.192846515643225
Ensemble,mae,cross,0.3,0.2561978253567858
Ensemble,rmse,cross,0.3,2.4082696322614296
LinReg,mae,test,0.4,2.3082757137869407
LinReg,rmse,test,0.4,4.675258941683522
LinReg,mae,cross,0.4,2.2353381611489596
LinReg,rmse,cross,0.4,3.818682290517255
ANN,mae,test,0.4,3.280670166015625
ANN,rmse,test,0.4,4.389725165363582
ANN,mae,cross,0.4,2.4908905029296875
ANN,rmse,cross,0.4,3.6111634440467895
IDW,mae,test,0.4,2.662784184073388
IDW,rmse,test,0.4,4.466794972071374
IDW,mae,cross,0.4,1.4210854715202004e-14
IDW,rmse,cross,0.4,2.8373406434464807
Kriging,mae,test,0.4,3.406250000013074
Kriging,rmse,test,0.4,4.867314430429286
Kriging,mae,cross,0.4,1.4062499999501625
Kriging,rmse,cross,0.4,4.0422351054907155
Ensemble,mae,test,0.4,3.7645428626955635
Ensemble,rmse,test,0.4,5.0162083214748865
Ensemble,mae,cross,0.4,0.4230245490558815
Ensemble,rmse,cross,0.4,3.195307547830758
LinReg,mae,test,0.5,4.840915826255024
LinReg,rmse,test,0.5,6.632536747891385
LinReg,mae,cross,0.5,3.09265000055143
LinReg,rmse,cross,0.5,5.199206175820412
ANN,mae,test,0.5,3.3829498291015625
ANN,rmse,test,0.5,4.623886438265173
ANN,mae,cross,0.5,3.2873611450195312
ANN,rmse,cross,0.5,4.520540974312774
IDW,mae,test,0.5,2.59726291524931
IDW,rmse,test,0.5,4.206483055572778
IDW,mae,cross,0.5,0.3829001026514973
IDW,rmse,cross,0.5,2.9867496058951124
Kriging,mae,test,0.5,4.0428954423734496
Kriging,rmse,test,0.5,4.898277584837649
Kriging,mae,cross,0.5,1.957104557654958
Kriging,rmse,cross,0.5,4.286807275429911
Ensemble,mae,test,0.5,5.00367740652284
Ensemble,rmse,test,0.5,5.492244178869685
Ensemble,mae,cross,0.5,1.0202605421710302
Ensemble,rmse,cross,0.5,3.9029166250937917
LinReg,mae,test,0.1,3.2467219856063565
LinReg,rmse,test,0.1,4.469986254021796
LinReg,mae,cross,0.1,2.162076945370515
LinReg,rmse,cross,0.1,3.6464123523387078
ANN,mae,test,0.1,3.147186279296875
ANN,rmse,test,0.1,4.255493157380109
ANN,mae,cross,0.1,2.386821746826172
ANN,rmse,cross,0.1,3.8607291734398475
IDW,mae,test,0.1,4.0099135966611925
IDW,rmse,test,0.1,4.505869831659894
IDW,mae,cross,0.1,7.105427357601002e-15
IDW,rmse,cross,0.1,1.5546197454964719
Kriging,mae,test,0.1,3.1190476189298835
Kriging,rmse,test,0.1,4.528451252712432
Kriging,mae,cross,0.1,1.177227204607334e-10
Kriging,rmse,cross,0.1,3.346021145192549
Ensemble,mae,test,0.1,3.61281116002516
Ensemble,rmse,test,0.1,5.596744001247064
Ensemble,mae,cross,0.1,0.1514017985754208
Ensemble,rmse,cross,0.1,1.93727592981537
LinReg,mae,test,0.2,3.3043708409925543
LinReg,rmse,test,0.2,5.140477071149616
LinReg,mae,cross,0.2,2.192278717847614
LinReg,rmse,cross,0.2,3.6917329445179634
ANN,mae,test,0.2,2.891815185546875
ANN,rmse,test,0.2,4.734283226483445
ANN,mae,cross,0.2,2.116657257080078
ANN,rmse,cross,0.2,3.5825319005609897
IDW,mae,test,0.2,3.973977473204158
IDW,rmse,test,0.2,5.0799834473499095
IDW,mae,cross,0.2,7.105427357601002e-15
IDW,rmse,cross,0.2,2.351792002520172
Kriging,mae,test,0.2,3.0318257956211028
Kriging,rmse,test,0.2,5.273746596683907
Kriging,mae,cross,0.2,2.4442670110147446e-11
Kriging,rmse,cross,0.2,3.721623116253183
Ensemble,mae,test,0.2,2.9298378286979556
Ensemble,rmse,test,0.2,5.150182463419798
Ensemble,mae,cross,0.2,0.19102687180277655
Ensemble,rmse,cross,0.2,2.416776859082116
LinReg,mae,test,0.3,2.186333122037567
LinReg,rmse,test,0.3,4.4880211926375395
LinReg,mae,cross,0.3,2.219547491500272
LinReg,rmse,cross,0.3,3.747591898207079
ANN,mae,test,0.3,2.27947998046875
ANN,rmse,test,0.3,4.207067060677731
ANN,mae,cross,0.3,2.071044921875
ANN,rmse,cross,0.3,3.481411398659559
IDW,mae,test,0.3,2.821414766749399
IDW,rmse,test,0.3,4.4022190508662815
IDW,mae,cross,0.3,1.4210854715202004e-14
IDW,rmse,cross,0.3,2.4871992214067666
Kriging,mae,test,0.3,3.5134099616974197
Kriging,rmse,test,0.3,4.913030450222292
Kriging,mae,cross,0.3,0.4865900382189068
Kriging,rmse,cross,0.3,3.886513604746926
Ensemble,mae,test,0.3,2.0485824217854542
Ensemble,rmse,test,0.3,4.192846515643225
Ensemble,mae,cross,0.3,0.2561978253567858
Ensemble,rmse,cross,0.3,2.4082696322614296
LinReg,mae,test,0.4,2.3082757137869407
LinReg,rmse,test,0.4,4.675258941683522
LinReg,mae,cross,0.4,2.2353381611489596
LinReg,rmse,cross,0.4,3.818682290517255
ANN,mae,test,0.4,2.6977500915527344
ANN,rmse,test,0.4,4.311769164401019
ANN,mae,cross,0.4,3.3065948486328125
ANN,rmse,cross,0.4,4.570379483802939
IDW,mae,test,0.4,2.662784184073388
IDW,rmse,test,0.4,4.466794972071374
IDW,mae,cross,0.4,1.4210854715202004e-14
IDW,rmse,cross,0.4,2.8373406434464807
Kriging,mae,test,0.4,3.406250000013074
Kriging,rmse,test,0.4,4.867314430429286
Kriging,mae,cross,0.4,1.4062499999501625
