model,metric,split,size,value
LinReg,mae,test,0.1,3.0858989562947414
LinReg,rmse,test,0.1,4.452936447112179
LinReg,mae,cross,0.1,2.1072195224821826
LinReg,rmse,cross,0.1,3.6219540366665686
ANN,mae,test,0.1,2.9923248291015625
ANN,rmse,test,0.1,4.057531540025016
ANN,mae,cross,0.1,1.8691444396972656
ANN,rmse,cross,0.1,3.2086056816624287
IDW,mae,test,0.1,3.7361475658887286
IDW,rmse,test,0.1,4.411956075690022
IDW,mae,cross,0.1,7.105427357601002e-15
IDW,rmse,cross,0.1,1.5200145013735957
Kriging,mae,test,0.1,3.1190476189298835
Kriging,rmse,test,0.1,4.528451252712432
Kriging,mae,cross,0.1,1.177227204607334e-10
Kriging,rmse,cross,0.1,3.346021145192549
Ensemble,mae,test,0.1,3.625040903667916
Ensemble,rmse,test,0.1,5.488493858899987
Ensemble,mae,cross,0.1,0.13451602415686637
Ensemble,rmse,cross,0.1,1.901066604902203
LinReg,mae,test,0.2,3.176017699412853
LinReg,rmse,test,0.2,5.129967564909663
LinReg,mae,cross,0.2,2.1881874483291597
LinReg,rmse,cross,0.2,3.6717349898790173
ANN,mae,test,0.2,3.61492919921875
ANN,rmse,test,0.2,4.760099590189605
ANN,mae,cross,0.2,3.17156982421875
ANN,rmse,cross,0.2,4.301147917104001
IDW,mae,test,0.2,3.8247820877586918
IDW,rmse,test,0.2,5.123451846512237
IDW,mae,cross,0.2,7.105427357601002e-15
IDW,rmse,cross,0.2,2.365940785658897
Kriging,mae,test,0.2,3.0318257956211028
Kriging,rmse,test,0.2,5.273746596683907
Kriging,mae,cross,0.2,2.4442670110147446e-11
Kriging,rmse,cross,0.2,3.721623116253183
Ensemble,mae,test,0.2,3.0739632973784268
Ensemble,rmse,test,0.2,5.5582583235927885
Ensemble,mae,cross,0.2,0.14417410995167756
Ensemble,rmse,cross,0.2,2.5835443070594892
LinReg,mae,test,0.3,2.1662494042903546
LinReg,rmse,test,0.3,4.475202373330455
LinReg,mae,cross,0.3,2.2023398653333714
LinReg,rmse,cross,0.3,3.7314958048841476
ANN,mae,test,0.3,2.371814727783203
ANN,rmse,test,0.3,4.358020068796703
ANN,mae,cross,0.3,2.209930419921875
ANN,rmse,cross,0.3,3.3269650453685298
IDW,mae,test,0.3,2.865979664394615
IDW,rmse,test,0.3,4.432452146572008
IDW,mae,cross,0.3,1.4210854715202004e-14
IDW,rmse,cross,0.3,2.4988597686549325
Kriging,mae,test,0.3,3.5134099616974197
Kriging,rmse,test,0.3,4.913030450222292
Kriging,mae,cross,0.3,0.4865900382189068
Kriging,rmse,cross,0.3,3.886513604746926
Ensemble,mae,test,0.3,1.9743215553465134
Ensemble,rmse,test,0.3,4.238351843933637
Ensemble,mae,cross,0.3,0.1956966408504286
Ensemble,rmse,cross,0.3,2.425044018669766
LinReg,mae,test,0.4,2.3181973879311926
LinReg,rmse,test,0.4,4.726818009047541
LinReg,mae,cross,0.4,2.2910228966437245
LinReg,rmse,cross,0.4,3.8273757417537544
ANN,mae,test,0.4,3.897216796875
ANN,rmse,test,0.4,4.863534573858124
ANN,mae,cross,0.4,2.741485595703125
ANN,rmse,cross,0.4,4.489843949455037
IDW,mae,test,0.4,2.577513439430547
IDW,rmse,test,0.4,4.508699273340526
