model,metric,split,size,value
LinReg,mae,test,0.1,2.037315105562257
LinReg,rmse,test,0.1,3.099616847146347
LinReg,mae,cross,0.1,9.28790686817959
LinReg,rmse,cross,0.1,10.40940973945535
ANN,mae,test,0.1,1.9730758666992188
ANN,rmse,test,0.1,2.5113784774803305
ANN,mae,cross,0.1,10.155830383300781
ANN,rmse,cross,0.1,10.07270343078148
IDW,mae,test,0.1,0.44291618483904927
IDW,rmse,test,0.1,2.1344622683320513
IDW,mae,cross,0.1,11.557275028160774
IDW,rmse,cross,0.1,12.01674608929071
Kriging,mae,test,0.1,1.3885336736955054
Kriging,rmse,test,0.1,2.8260835022305617
Kriging,mae,cross,0.1,11.727620323767255
Kriging,rmse,cross,0.1,12.284384110175585
Ensemble,mae,test,0.1,0.5608421245128028
Ensemble,rmse,test,0.1,1.892350881859804
Ensemble,mae,cross,0.1,9.153791174444265
Ensemble,rmse,cross,0.1,10.26312397549461
LinReg,mae,test,0.2,2.404790348016853
LinReg,rmse,test,0.2,3.8909813405879503
LinReg,mae,cross,0.2,9.444036795450089
LinReg,rmse,cross,0.2,10.491950415524695
ANN,mae,test,0.2,1.9292716979980469
ANN,rmse,test,0.2,3.1494701480411433
ANN,mae,cross,0.2,9.236587524414062
ANN,rmse,cross,0.2,10.166809727575435
IDW,mae,test,0.2,0.4676422410940191
IDW,rmse,test,0.2,2.282315073578756
IDW,mae,cross,0.2,11.532541817897112
IDW,rmse,cross,0.2,12.017149627149331
Kriging,mae,test,0.2,1.3571995163087323
Kriging,rmse,test,0.2,3.238287564446936
Kriging,mae,cross,0.2,11.82700095104299
Kriging,rmse,cross,0.2,12.271263859427185
Ensemble,mae,test,0.2,0.519228508863911
Ensemble,rmse,test,0.2,2.0515201146178375
Ensemble,mae,cross,0.2,9.393388363734715
Ensemble,rmse,cross,0.2,10.28221033733907
LinReg,mae,test,0.3,2.3434927533506595
LinReg,rmse,test,0.3,3.6982842605868953
LinReg,mae,cross,0.3,9.510471391907515
LinReg,rmse,cross,0.3,10.467051256084826
ANN,mae,test,0.3,2.08673095703125
ANN,rmse,test,0.3,3.139264541254567
ANN,mae,cross,0.3,3.5176239013671875
ANN,rmse,cross,0.3,6.072781567694487
IDW,mae,test,0.3,0.6388265079498296
IDW,rmse,test,0.3,2.3205729090257607
IDW,mae,cross,0.3,11.443127912279039
IDW,rmse,cross,0.3,11.988072489622397
