model,metric,split,size,value
LinReg,mae,test,0.1,2.6017379551266373
LinReg,rmse,test,0.1,3.834138504995203
LinReg,mae,cross,0.1,14.237877601359344
LinReg,rmse,cross,0.1,15.279848655658283
ANN,mae,test,0.1,2.2721710205078125
ANN,rmse,test,0.1,2.8442477628951015
ANN,mae,cross,0.1,3.509307861328125
ANN,rmse,cross,0.1,7.21349024793254
IDW,mae,test,0.1,0.7601281900546581
IDW,rmse,test,0.1,1.5510099897896068
IDW,mae,cross,0.1,11.150755248070368
IDW,rmse,cross,0.1,11.54138189691675
Kriging,mae,test,0.1,2.1896687420364174
Kriging,rmse,test,0.1,4.954112904580287
Kriging,mae,cross,0.1,11.954281549517816
Kriging,rmse,cross,0.1,12.385769365285396
Ensemble,mae,test,0.1,1.085296421514414
Ensemble,rmse,test,0.1,1.721558506227363
Ensemble,mae,cross,0.1,3.537550780619256
Ensemble,rmse,cross,0.1,5.676769903695054
LinReg,mae,test,0.2,2.980246164231133
LinReg,rmse,test,0.2,4.321526900136719
LinReg,mae,cross,0.2,17.868104531473264
LinReg,rmse,cross,0.2,18.37737372252134
ANN,mae,test,0.2,2.689178466796875
ANN,rmse,test,0.2,2.8918969279307962
ANN,mae,cross,0.2,3.2196197509765625
ANN,rmse,cross,0.2,5.64044181130988
IDW,mae,test,0.2,1.2093436823940067
IDW,rmse,test,0.2,2.728305224271288
IDW,mae,cross,0.2,11.120921622684875
IDW,rmse,cross,0.2,11.516704467033243
Kriging,mae,test,0.2,1.999999999999389
Kriging,rmse,test,0.2,4.601677070873477
Kriging,mae,cross,0.2,11.940213722246995
Kriging,rmse,cross,0.2,12.348810843511952
Ensemble,mae,test,0.2,1.5495162584089286
Ensemble,rmse,test,0.2,2.616017758388992
Ensemble,mae,cross,0.2,4.456552083528209
Ensemble,rmse,cross,0.2,6.002025391433945
LinReg,mae,test,0.3,2.4779982787319526
LinReg,rmse,test,0.3,3.887400708991436
LinReg,mae,cross,0.3,16.54103268626448
LinReg,rmse,cross,0.3,17.17303990869721
ANN,mae,test,0.3,2.058361053466797
ANN,rmse,test,0.3,2.973913255569906
ANN,mae,cross,0.3,3.1877059936523438
ANN,rmse,cross,0.3,5.0606642085308104
IDW,mae,test,0.3,1.3493375116592503
IDW,rmse,test,0.3,3.7665299173115487
IDW,mae,cross,0.3,11.335645397174417
IDW,rmse,cross,0.3,11.69861212257287
Kriging,mae,test,0.3,2.053479920445106
Kriging,rmse,test,0.3,4.926316901042128
Kriging,mae,cross,0.3,12.080549926850281
Kriging,rmse,cross,0.3,12.428887100881704
Ensemble,mae,test,0.3,1.672579906647453
Ensemble,rmse,test,0.3,2.839499162585973
Ensemble,mae,cross,0.3,5.878720067031949
Ensemble,rmse,cross,0.3,7.218635500114461
LinReg,mae,test,0.4,3.10054596633109
LinReg,rmse,test,0.4,9.129419136954613
LinReg,mae,cross,0.4,38.80281055364401
LinReg,rmse,cross,0.4,40.0552856507476
ANN,mae,test,0.4,3.371917724609375
ANN,rmse,test,0.4,4.5897331323055
ANN,mae,cross,0.4,3.928497314453125
ANN,rmse,cross,0.4,6.3146825402215345
IDW,mae,test,0.4,3.1485865136672118
IDW,rmse,test,0.4,5.881462023096209
IDW,mae,cross,0.4,12.402237468693727
IDW,rmse,cross,0.4,12.660879698910218
Kriging,mae,test,0.4,3.1095603687518576
Kriging,rmse,test,0.4,6.000297314388751
Kriging,mae,cross,0.4,12.128672697697226
Kriging,rmse,cross,0.4,12.588797903962197
Ensemble,mae,test,0.4,3.2554500371245396
Ensemble,rmse,test,0.4,6.118928863915502
Ensemble,mae,cross,0.4,12.697384408407672
Ensemble,rmse,cross,0.4,13.017751354023819
LinReg,mae,test,0.5,3.10054596633109
LinReg,rmse,test,0.5,9.129419136954613
LinReg,mae,cross,0.5,38.80281055364401
LinReg,rmse,cross,0.5,40.0552856507476
ANN,mae,test,0.5,2.7412033081054688
ANN,rmse,test,0.5,5.294236199978427
ANN,mae,cross,0.5,4.1356048583984375
ANN,rmse,cross,0.5,5.804169675104705
IDW,mae,test,0.5,3.1485865136672118
IDW,rmse,test,0.5,5.881462023096209
IDW,mae,cross,0.5,12.402237468693727
IDW,rmse,cross,0.5,12.660879698910218
Kriging,mae,test,0.5,3.1095603687518576
