model,metric,split,size,value
LinReg,mae,test,0.1,2.24956285899772
LinReg,rmse,test,0.1,3.374028816047918
LinReg,mae,cross,0.1,15.733840559226657
LinReg,rmse,cross,0.1,16.43960351068903
ANN,mae,test,0.1,1.9733734130859375
ANN,rmse,test,0.1,2.754405849708752
ANN,mae,cross,0.1,2.2891845703125
ANN,rmse,cross,0.1,4.825195914697585
IDW,mae,test,0.1,0.740317711745476
IDW,rmse,test,0.1,1.9473655026021826
IDW,mae,cross,0.1,10.687286533781503
IDW,rmse,cross,0.1,11.233859750680907
Kriging,mae,test,0.1,1.7504195456083522
Kriging,rmse,test,0.1,2.569720470582251
Kriging,mae,cross,0.1,12.133930811034446
Kriging,rmse,cross,0.1,12.465600519349467
Ensemble,mae,test,0.1,0.6790329818363148
Ensemble,rmse,test,0.1,1.727120591939988
Ensemble,mae,cross,0.1,4.962244645743283
Ensemble,rmse,cross,0.1,6.424293485842221
LinReg,mae,test,0.2,2.330286529354339
LinReg,rmse,test,0.2,3.3802509241752388
LinReg,mae,cross,0.2,14.67880381171426
LinReg,rmse,cross,0.2,15.456723341348077
ANN,mae,test,0.2,1.9135208129882812
ANN,rmse,test,0.2,2.786041979819681
ANN,mae,cross,0.2,3.034271240234375
ANN,rmse,cross,0.2,4.983556592894118
IDW,mae,test,0.2,0.884444266438841
IDW,rmse,test,0.2,2.240992491554848
IDW,mae,cross,0.2,10.740103129926752
IDW,rmse,cross,0.2,11.277091742112459
Kriging,mae,test,0.2,1.5500560550086604
Kriging,rmse,test,0.2,3.0518046283813844
Kriging,mae,cross,0.2,12.069892745607163
Kriging,rmse,cross,0.2,12.423249609640376
Ensemble,mae,test,0.2,0.6791166423237129
Ensemble,rmse,test,0.2,2.0785283384761915
Ensemble,mae,cross,0.2,4.9836087960905076
Ensemble,rmse,cross,0.2,6.461214143999823
LinReg,mae,test,0.3,2.282488659326148
LinReg,rmse,test,0.3,3.227460888329026
LinReg,mae,cross,0.3,14.938982402120452
LinReg,rmse,cross,0.3,15.700005744467001
ANN,mae,test,0.3,1.9534988403320312
ANN,rmse,test,0.3,2.9816318627101968
ANN,mae,cross,0.3,2.6509246826171875
ANN,rmse,cross,0.3,5.031026060804477
IDW,mae,test,0.3,0.9420457458489722
IDW,rmse,test,0.3,2.2428855485472217
IDW,mae,cross,0.3,10.735983301310597
IDW,rmse,cross,0.3,11.26910855002404
Kriging,mae,test,0.3,1.897246425385518
Kriging,rmse,test,0.3,3.1367247201002293
Kriging,mae,cross,0.3,11.922890792801525
Kriging,rmse,cross,0.3,12.36482893509163
Ensemble,mae,test,0.3,0.9421208853889738
Ensemble,rmse,test,0.3,2.3446546642300867
Ensemble,mae,cross,0.3,5.117498987977783
Ensemble,rmse,cross,0.3,6.6326794718107225
LinReg,mae,test,0.4,2.336122668219133
LinReg,rmse,test,0.4,3.3065798211750197
LinReg,mae,cross,0.4,14.138529093605868
LinReg,rmse,cross,0.4,14.972730233261945
ANN,mae,test,0.4,1.9725494384765625
ANN,rmse,test,0.4,2.792701456741414
ANN,mae,cross,0.4,2.5763397216796875
ANN,rmse,cross,0.4,4.75931663486395
IDW,mae,test,0.4,1.0855886102378207
IDW,rmse,test,0.4,2.3596825340853442
IDW,mae,cross,0.4,10.705294740424037
